yf_symbol,symbol,name,market_cap,price,ma200,diff,peak,peak_diff,rsi,eps_growth,hist_per_avg,foreign_supply,per,pbr,roe,debt_ratio,revenue_growth,operating_growth,eps_cagr,eps3y,score_per,score_pbr,score_roe,score_rsi,score_peak_diff,score,grade,data_date,us_10y_bond,peg,cagr,rank
LMT,LMT,LMT,0,510.95001220703125,532.4056758117675,-4.0299464448838735,672.2987670898438,-23.999561323195227,43.206638688593166,-11.5,19.77,76.0,24.755331,15.692085,67.64,276.365,0.3,,-11.68,27.55 -> 22.31 -> 21.49,4,0,20,5,5,34,D,2026-06-19,4.45,,-11.68,1
MSFT,MSFT,마이크로소프트,0,379.3999938964844,449.55540206909177,-15.605508876039547,538.6585693359375,-29.565774036749907,18.554684693142505,23.4,33.6,75.77,22.569899,6.802087,34.01,30.271,18.3,,18.71,9.68 -> 11.8 -> 13.64,4,0,20,1,5,30,D,2026-06-19,4.45,0.96,18.71,2
AMZN,AMZN,아마존,0,244.38999938964844,232.8036501312256,4.976876115083207,274.989990234375,-11.127674435948041,31.12324069531732,74.8,41.19,68.02,31.656736,5.947242,24.29,53.3,16.6,,57.24,2.9 -> 5.53 -> 7.17,0,0,20,3,5,28,D,2026-06-19,4.45,0.42,57.24,3
PFE,PFE,PFE,0,25.209999084472656,25.22081467628479,-0.042883594169948,28.086383819580078,-10.241207104426827,37.33680460290647,-10.1,27.66,69.39,19.244274,1.5945603,8.31,71.602,5.4,,91.72,0.37 -> 1.41 -> 1.36,4,6,6,5,5,26,D,2026-06-19,4.45,,91.72,4
NEE,NEE,NEE,0,86.75,84.72381492614745,2.391517751671997,97.16828918457031,-10.721902456037755,51.29147052291245,160.0,24.14,86.98,22.017767,3.2759335,10.32,156.686,7.3,,-4.52,3.6 -> 3.37 -> 3.28,4,0,12,5,5,26,D,2026-06-19,4.45,0.14,-4.52,5
AVGO,AVGO,브로드컴,0,411.3500061035156,359.1572048950195,14.532021214429461,481.57000732421875,-14.58147313012109,42.82182669307541,,,,,,,,,,,-,0,0,0,5,5,10,D,2026-06-19,4.45,,,6
TSLA,TSLA,테슬라,0,400.489990234375,416.9637503051758,-3.950885432784897,489.8800048828125,-18.247328684056228,38.55827075388702,,,,,,,,,,,-,0,0,0,5,5,10,D,2026-06-19,4.45,,,7
CVX,CVX,쉐브론,0,173.6300048828125,169.10193893432617,2.6777137962001056,209.23358154296875,-17.01618659758238,37.75991639413724,,,,,,,,,,,-,0,0,0,5,5,10,D,2026-06-19,4.45,,,8
V,V,비자,0,327.239990234375,327.9501754760742,-0.21655278600423233,370.3843994140625,-11.648549249898407,50.72896378576209,,,,,,,,,,,-,0,0,0,5,5,10,D,2026-06-19,4.45,,,9
WMT,WMT,월마트,0,117.18000030517578,116.04194999694825,0.9807231852424603,134.1999969482422,-12.682561125266362,54.19847255392222,,,,,,,,,,,-,0,0,0,5,5,10,D,2026-06-19,4.45,,,10
NVDA,NVDA,엔비디아,0,210.69000244140625,189.68439262390137,11.073979006356078,235.465576171875,-10.521951502747113,49.869354169419346,,,,,,,,,,,-,0,0,0,5,5,10,D,2026-06-19,4.45,,,11
META,META,메타 플랫폼스,0,577.219970703125,653.6996487426758,-11.699513405988759,787.419189453125,-26.694703604567554,36.41351438773458,,,,,,,,,,,-,0,0,0,5,5,10,D,2026-06-19,4.45,,,12
EL,EL,EL,0,84.80999755859375,92.53036140441894,-8.34360066106528,118.7766342163086,-28.597069517778156,42.35597958946524,,,,,,,,,,,-,0,0,0,5,5,10,D,2026-06-19,4.45,,,13
AMGN,AMGN,AMGN,0,337.6000061035156,327.87753768920896,2.9652743163889648,385.25079345703125,-12.368770723591082,50.52754851006416,,,,,,,,,,,-,0,0,0,5,5,10,D,2026-06-19,4.45,,,14
COP,COP,COP,0,107.73999786376953,103.83564956665039,3.760123149817641,132.81297302246094,-18.87840817662529,39.50907136573847,,,,,,,,,,,-,0,0,0,5,5,10,D,2026-06-19,4.45,,,15
SPGI,SPGI,SPGI,0,410.9200134277344,466.87284423828123,-11.984597412564396,559.45751953125,-26.550274313583277,43.76549697542054,,,,,,,,,,,-,0,0,0,5,5,10,D,2026-06-19,4.45,,,16
TMUS,TMUS,TMUS,0,181.6699981689453,205.0761432647705,-11.413392471305595,266.7991943359375,-31.90759116753652,41.60939156747501,,,,,,,,,,,-,0,0,0,5,5,10,D,2026-06-19,4.45,,,17
XOM,XOM,엑슨모빌,0,137.80999755859375,133.03103134155273,3.5923695162305256,170.31399536132812,-19.0847485749928,38.27509739787839,,,,,,,,,,,-,0,0,0,5,5,10,D,2026-06-19,4.45,,,18
MA,MA,마스터카드,0,489.7900085449219,533.6377061462402,-8.216754006753446,596.24853515625,-17.85472338031491,47.7847057530331,,,,,,,,,,,-,0,0,0,5,5,10,D,2026-06-19,4.45,,,19
COST,COST,코스트코,0,951.4500122070312,955.8820126342773,-0.4636555943794875,1094.3199462890625,-13.055590786452909,47.978413432818115,,,,,,,,,,,-,0,0,0,5,5,10,D,2026-06-19,4.45,,,20
SYK,SYK,SYK,0,307.79998779296875,349.50985626220705,-11.933817522429752,400.5293273925781,-23.15169783028669,51.7219420558564,,,,,,,,,,,-,0,0,0,5,5,10,D,2026-06-19,4.45,,,21
TMO,TMO,TMO,0,464.6099853515625,524.7799725341797,-11.465755236819417,638.1787109375,-27.197511075065613,37.65218780108663,,,,,,,,,,,-,0,0,0,5,5,10,D,2026-06-19,4.45,,,22
