yf_symbol,symbol,name,market_cap,price,ma200,diff,peak,peak_diff,rsi,price_source,eps_growth,hist_per_avg,foreign_supply,per,pbr,roe,debt_ratio,revenue_growth,operating_growth,eps_cagr,eps3y,revenue,operating_income,net_income,operating_margin,net_margin,operating_cashflow,free_cashflow,cash,total_debt,net_cash,peg,cagr,data_date,us_10y_bond,score_per,score_pbr,score_roe,score_peg,score_cagr,score_eps3y,score_rsi,score_peak_diff,score,grade,rank
NVDA,NVDA,엔비디아,5103.12,208.64999389648438,190.09240051269532,9.762406773620436,235.74000549316406,-11.49147830891403,38.23220739076636,daily_close,214.5,,70.87,32.26493,26.107807,114.29,6.555,85.2,65.6,,-,,,,,,,,,,,0.15,,2026-06-22,4.51,0,0,20,20,0,10,5,5,60,B,1
GOOGL,GOOGL,알파벳A,4490.91,346.3,311.69479972839355,11.102270651214248,402.6199951171875,-13.988375093192989,36.271990320571106,postMarketPrice,82.0,23.78,80.76,28.093893,9.313914,38.88,20.026,21.8,,36.52,5.8 -> 8.04 -> 10.81,,,,,,,,,,,0.34,36.52,2026-06-22,4.51,0,0,20,20,15,10,5,5,75,A,2
GOOG,GOOG,알파벳C,4483.96,345.3994,311.2106994628906,10.985708587819984,399.0400085449219,-13.442413641809873,38.040199797494736,postMarketPrice,82.0,,61.1,28.007622,9.299489,38.88,20.026,21.8,36.12,,-,,,,,,,,,,,0.34,,2026-06-22,4.51,0,0,20,20,0,10,5,5,60,B,3
AAPL,AAPL,애플,4376.98,295.65,268.48579956054687,10.117555745560855,315.20001220703125,-6.202414800095355,42.18751280827584,postMarketPrice,21.8,30.46,65.82,36.122425,41.04821,141.47,79.548,16.6,,10.32,6.13 -> 6.08 -> 7.46,,,,,,,,,,,1.66,10.32,2026-06-22,4.51,0,0,20,5,8,8,5,0,46,C,4
MSFT,MSFT,마이크로소프트,2818.35,367.3399963378906,450.6593994140625,-18.488331361667353,542.0700073242188,-32.23384592865326,9.281591244622888,daily_close,23.4,33.6,75.77,22.569899,6.802087,34.01,30.271,18.3,,18.71,9.68 -> 11.8 -> 13.64,,,,,,,,,,,0.96,18.71,2026-06-22,4.51,4,0,20,16,12,8,1,5,66,B,5
AMZN,AMZN,아마존,2628.93,233.0303,232.83765007019042,0.0827400249708391,274.989990234375,-15.258624577066454,30.160263036554497,postMarketPrice,74.8,,68.02,31.656736,5.947242,24.29,53.3,16.6,13.14,,-,,,,,,,,,,,0.42,,2026-06-22,4.51,0,0,20,20,0,10,3,5,58,B,6
AVGO,AVGO,브로드컴,1957.03,392.1300048828125,360.40215057373047,8.80345865266728,481.57000732421875,-18.572585726085396,36.57909496361222,daily_close,85.4,,79.91,68.44426,22.319588,37.28,74.018,47.9,48.99,,-,,,,,,,,,,,0.8,,2026-06-22,4.51,0,0,20,16,0,10,5,5,56,B,7
TSLA,TSLA,테슬라,1504.13,405.04998779296875,417.3185502624512,-2.9398555280532723,489.8800048828125,-17.31648898593779,46.101785617838985,daily_close,8.3,176.51,44.93,370.82404,18.28972,4.9,18.738,15.8,,-49.94,4.31 -> 2.04 -> 1.08,,,,,,,,,,,44.68,-49.94,2026-06-22,4.51,0,0,0,0,0,5,5,5,15,D,8
META,META,메타 플랫폼스,1465.23,563.8499755859375,654.0500494384765,-13.791004821416767,790.0,-28.626585368868675,39.95281028020302,daily_close,62.4,,79.34,21.005095,6.0118937,32.93,35.608,33.1,40.62,,-,,,,,,,,,,,0.34,,2026-06-22,4.51,4,0,20,20,0,10,5,5,64,B,9
BRK-B,BRK-B,버크셔해서웨이,1055.69,488.69000244140625,490.1845997619629,-0.304904993196935,539.7999877929688,-9.4683191010306,71.64706716322878,daily_close,119.6,11.79,67.31,14.575937,0.00096815516,10.5,17.669,4.4,,-16.27,44.27 -> 41.27 -> 31.04,,,,,,,,,,,0.12,-16.27,2026-06-22,4.51,8,10,12,20,0,10,1,0,61,B,10
LLY,LLY,일라이릴리,979.64,1104.49,967.9097030639648,14.110851095270943,1160.949951171875,-4.863254536931909,54.818228774943215,postMarketPrice,169.9,,85.36,39.067207,31.462324,107.46,139.015,55.5,49.39,,-,,,,,,,,,,,0.23,,2026-06-22,4.51,0,0,20,20,0,10,5,0,55,B,11
WMT,WMT,월마트,932.53,117.0888,116.55179973602294,0.46073957261347315,134.1999969482422,-12.75051962545243,58.12342890893111,postMarketPrice,19.4,,38.09,41.260563,9.37365,24.13,74.816,7.3,4.22,,-,,,,,,,,,,,2.13,,2026-06-22,4.51,0,0,20,0,0,8,3,5,36,D,12
AMD,AMD,AMD,876.24,551.6300048828125,263.0977501678467,109.66732118799678,551.6300048828125,0.0,55.935693969268314,daily_close,91.2,135.05,72.16,178.52824,13.588135,8.06,6.005,37.8,,123.61,0.53 -> 1.0 -> 2.65,,,,,,,,,,,1.96,123.61,2026-06-22,4.51,0,0,6,5,15,10,3,0,39,D,13
JPM,JPM,JP모건 체이스,871.43,331.81,307.2590007019043,7.990327131837062,334.6099853515625,-0.8367907337315875,77.31686108700029,postMarketPrice,17.2,11.99,75.65,15.575671,2.5332804,16.47,,12.7,,11.06,16.23 -> 19.75 -> 20.02,,,,,,,,,,,0.91,11.06,2026-06-22,4.51,8,3,16,16,8,8,1,0,60,B,14
INTC,INTC,Intel Corporation,673.43,140.94000244140625,56.09660002708435,151.24517773511786,140.94000244140625,0.0,67.6454188855572,daily_close,,,64.05,,6.0418453,-2.91,36.028,7.2,6.88,,-,,,,,,,,,,,,,2026-06-22,4.51,0,0,0,0,0,0,1,0,1,D,15
V,V,비자,622.33,326.6000061035156,328.97099822998047,-0.7207298330922484,373.30999755859375,-12.512386960048302,53.33567224048997,daily_close,35.5,,91.67,28.480417,17.55391,60.35,67.233,17.1,67.35,,-,,,,,,,,,,,0.8,,2026-06-22,4.51,0,0,20,16,0,10,5,5,56,B,16
XOM,XOM,엑슨모빌,571.22,138.47000122070312,134.64534984588624,2.8405372923718044,171.47000122070312,-19.24534890363995,30.731161475907697,daily_close,-43.4,,68.74,23.200336,2.2202709,9.87,18.261,2.6,6.35,,-,,,,,,,,,,,,,2026-06-22,4.51,4,3,6,0,0,0,3,5,21,D,17
ORCL,ORCL,오라클,530.03,175.42,204.7054991912842,-14.306161440205756,328.3299865722656,-46.572044231668144,14.763731443192867,postMarketPrice,21.9,32.58,43.99,31.664946,15.797188,53.38,362.758,20.6,,18.9,3.07 -> 3.71 -> 4.34,,,,,,,,,,,1.45,18.9,2026-06-22,4.51,0,0,20,10,12,8,1,3,54,C,18
AMAT,AMAT,"Applied Materials, Inc.",489.96,640.1799926757812,320.23690002441407,99.90825311729395,640.1799926757812,0.0,78.53804657516056,daily_close,33.5,18.76,85.13,58.163055,20.492462,39.69,30.399,11.4,,3.34,8.11 -> 8.61 -> 8.66,,,,,,,,,,,1.74,3.34,2026-06-22,4.51,0,0,20,5,4,10,1,0,40,C,19
CSCO,CSCO,시스코 시스템즈,471.16,121.52999877929688,82.91459995269776,46.57249609674165,130.0,-6.515385554387019,50.252393940963344,daily_close,37.1,18.51,82.86,39.84667,9.639545,25.23,67.541,12.0,,-7.8,3.07 -> 2.54 -> 2.61,,,,,,,,,,,1.07,-7.8,2026-06-22,4.51,0,0,20,10,0,10,5,0,45,C,20
CAT,CAT,"Caterpillar, Inc.",454.06,1022.280029296875,673.3822991943359,51.812726666557104,1022.280029296875,0.0,72.52785556521899,daily_close,30.2,19.61,72.88,49.02138,24.334625,51.33,230.793,22.2,,-3.31,20.12 -> 22.05 -> 18.81,,,,,,,,,,,1.62,-3.31,2026-06-22,4.51,0,0,20,5,0,10,1,0,36,D,21
MA,MA,마스터카드,432.77,484.0899963378906,534.2707981872559,-9.39239090356899,598.9600219726562,-19.17824586296173,44.36362929543728,daily_close,21.2,35.12,91.55,28.327934,64.65021,232.08,282.059,15.8,,18.17,11.83 -> 13.89 -> 16.52,,,,,,,,,,,1.34,18.17,2026-06-22,4.51,0,0,20,10,12,8,5,5,60,B,22
COST,COST,코스트코,421.95,951.3499755859375,957.9553988647461,-0.6895334883687277,1094.3199462890625,-13.064732228261859,52.374477814008216,daily_close,45.5,45.01,73.79,47.835598,25.523098,29.15,60.257,21.5,,13.4,14.16 -> 16.56 -> 18.21,,,,,,,,,,,1.05,13.4,2026-06-22,4.51,0,0,20,10,8,10,5,5,58,B,23
BAC,BAC,뱅크오브아메리카,398.83,57.369998931884766,52.268050060272216,9.761123412350956,57.369998931884766,0.0,83.75579223269625,daily_close,24.4,11.85,70.64,13.945409,1.4535484,10.64,,8.1,,11.22,3.08 -> 3.21 -> 3.81,,,,,,,,,,,0.57,11.22,2026-06-22,4.51,8,6,12,20,8,8,1,0,63,B,24
