yf_symbol,symbol,name,market_cap,price,ma200,diff,peak,peak_diff,rsi,price_source,price_basis,price_time,after_market_price,after_market_change_pct,eps_growth,hist_per_avg,foreign_supply,per,pbr,roe,debt_ratio,revenue_growth,operating_growth,eps_cagr,eps3y,revenue,operating_income,net_income,operating_margin,net_margin,operating_cashflow,free_cashflow,cash,total_debt,net_cash,peg,cagr,data_date,us_10y_bond,score_per,score_pbr,score_roe,score_peg,score_cagr,score_eps3y,score_rsi,score_peak_diff,score,grade,rank
NVDA,NVDA,엔비디아,5103.12,195.7100067138672,190.5312004852295,2.7180882792155385,235.74000549316406,-16.98057090291264,32.65830618674754,daily_close,일봉 종가,2026-06-26 00:26 KST,,,214.5,60.85,70.87,29.910414,24.202604,114.29,6.555,85.2,60.08,102.92,1.19 -> 2.94 -> 4.9,215938000000.0,130387000000.0,120067000000.0,60.38,55.6,102718000000.0,96676000000.0,10605000000.0,11040000000.0,-435000000.0,0.14,102.92,2026-06-24,4.25,0,0,20,20,15,10,3,5,73,A,1
GOOGL,GOOGL,알파벳A,4490.91,341.6400146484375,313.35339988708495,9.027064895911604,402.6199951171875,-15.145790375115627,29.54332744524733,daily_close,일봉 종가,2026-06-26 00:26 KST,,,82.0,23.78,80.76,26.317837,8.738422,38.88,20.026,21.8,14.81,36.52,5.8 -> 8.04 -> 10.81,402836000000.0,129039000000.0,132170000000.0,32.03,32.81,164713000000.0,73266000000.0,30708000000.0,59291000000.0,-28583000000.0,0.32,36.52,2026-06-24,4.25,0,0,20,20,15,10,3,5,73,A,2
GOOG,GOOG,알파벳C,4483.96,341.239990234375,312.8625493621826,9.070258146922367,399.0400085449219,-14.484767710714413,31.69169534129729,daily_close,일봉 종가,2026-06-26 00:26 KST,,,82.0,23.92,61.1,25.987034,8.622007,38.88,20.026,21.8,14.81,36.52,5.8 -> 8.04 -> 10.81,402836000000.0,129039000000.0,132170000000.0,32.03,32.81,164713000000.0,73266000000.0,30708000000.0,59291000000.0,-28583000000.0,0.32,36.52,2026-06-24,4.25,0,0,20,20,15,10,3,5,73,A,3
AAPL,AAPL,애플,4376.98,276.80999755859375,269.2199993896484,2.8192549536262894,315.20001220703125,-12.17957270357654,23.490444920635852,daily_close,일봉 종가,2026-06-26 00:26 KST,,,21.8,30.46,65.82,35.48184,40.369144,141.47,79.548,16.6,7.98,10.32,6.13 -> 6.08 -> 7.46,416161000000.0,133050000000.0,112010000000.0,31.97,26.92,111482000000.0,98767000000.0,35934000000.0,98657000000.0,-62723000000.0,1.63,10.32,2026-06-24,4.25,0,0,20,5,8,8,1,5,47,C,4
MSFT,MSFT,마이크로소프트,2818.35,354.80999755859375,448.6245993041992,-20.91160446643108,542.0700073242188,-34.545355255861345,15.537368949866917,daily_close,일봉 종가,2026-06-26 00:26 KST,,,23.4,33.6,75.77,21.792486,6.5521626,34.01,30.271,18.3,17.45,18.71,9.68 -> 11.8 -> 13.64,281724000000.0,128528000000.0,101832000000.0,45.62,36.15,136162000000.0,71611000000.0,30242000000.0,60588000000.0,-30346000000.0,0.93,18.71,2026-06-24,4.25,4,0,20,16,12,8,1,5,66,B,5
AMZN,AMZN,아마존,2628.93,229.5800018310547,232.80820014953613,-1.3866342836755439,274.989990234375,-16.513324126677194,30.758233941836437,daily_close,일봉 종가,2026-06-26 00:26 KST,,,74.8,41.19,68.02,31.02027,5.5861096,24.29,53.3,16.6,16.59,57.24,2.9 -> 5.53 -> 7.17,716924000000.0,79975000000.0,77670000000.0,11.16,10.83,139514000000.0,7695000000.0,86810000000.0,152987000000.0,-66177000000.0,0.41,57.24,2026-06-24,4.25,0,0,20,20,15,10,3,5,73,A,6
AVGO,AVGO,브로드컴,1957.03,381.2550048828125,361.1863255310059,5.55632313108815,481.57000732421875,-20.83082436939824,39.722702308416984,daily_close,일봉 종가,2026-06-26 00:26 KST,,,85.4,63.62,79.91,63.507504,20.675259,37.28,74.018,47.9,73.88,20.26,3.3 -> 1.23 -> 4.77,63887000000.0,26075000000.0,23126000000.0,40.81,36.2,27537000000.0,26914000000.0,16178000000.0,65136000000.0,-48958000000.0,0.74,20.26,2026-06-24,4.25,0,0,20,16,12,10,5,5,68,B,7
TSLA,TSLA,테슬라,1504.13,376.1650085449219,417.80622528076174,-9.966633864265036,489.8800048828125,-23.212826652333597,36.4397263397098,daily_close,일봉 종가,2026-06-26 00:26 KST,,,8.3,176.51,44.93,344.52292,17.149837,4.9,18.738,15.8,-37.51,-49.94,4.31 -> 2.04 -> 1.08,94827000000.0,4849000000.0,3794000000.0,5.11,4.0,14747000000.0,6220000000.0,16513000000.0,14719000000.0,1794000000.0,41.51,-49.94,2026-06-24,4.25,0,0,0,0,0,5,5,5,15,D,8
META,META,메타 플랫폼스,1465.23,551.8599853515625,651.14169921875,-15.247328497976284,790.0,-30.144305651700947,26.55310738440629,daily_close,일봉 종가,2026-06-26 00:26 KST,,,62.4,22.36,79.33,20.286285,5.8082757,32.93,35.608,33.1,20.03,25.69,14.87 -> 23.86 -> 23.49,200966000000.0,83276000000.0,60458000000.0,41.44,30.08,115800000000.0,46109000000.0,35873000000.0,83897000000.0,-48024000000.0,0.33,25.69,2026-06-24,4.25,4,0,20,20,15,10,3,5,77,A,9
BRK-B,BRK-B,버크셔해서웨이,1055.69,493.1300048828125,490.0860498046875,0.6211062484512888,539.7999877929688,-8.645791768349529,67.27837640597429,daily_close,일봉 종가,2026-06-26 00:26 KST,,,119.6,11.79,67.32,14.726489,0.0009787375,10.5,17.669,4.4,,-16.27,44.27 -> 41.27 -> 31.04,410522000000.0,,66968000000.0,,16.31,45969000000.0,25042000000.0,51877000000.0,129081000000.0,-77204000000.0,0.12,-16.27,2026-06-24,4.25,8,10,12,20,0,10,1,0,61,B,10
LLY,LLY,일라이릴리,979.64,1138.989990234375,973.6825527954102,16.977549506702434,1160.949951171875,-1.8915510453601712,54.181896921740766,daily_close,일봉 종가,2026-06-26 00:26 KST,,,169.9,66.6,85.36,39.68952,31.997595,107.46,139.015,55.5,74.27,98.92,5.8 -> 11.71 -> 22.95,65179000000.0,29696000000.0,20640000000.0,45.56,31.67,16813000000.0,5964000000.0,7268000000.0,42503000000.0,-35235000000.0,0.23,98.92,2026-06-24,4.25,0,0,20,20,15,10,5,0,70,A,11
WMT,WMT,월마트,932.53,117.07499694824219,116.81067470550538,0.22628260936185862,134.1999969482422,-12.760805059186934,47.665844855546474,daily_close,일봉 종가,2026-06-26 00:26 KST,,,19.4,36.02,38.09,41.90141,10.04389,24.13,74.816,7.3,1.63,19.45,1.91 -> 2.41 -> 2.73,713163000000.0,29825000000.0,21893000000.0,4.18,3.07,41565000000.0,14923000000.0,10727000000.0,67095000000.0,-56368000000.0,2.16,19.45,2026-06-24,4.25,0,0,20,0,12,8,5,5,50,C,12
AMD,AMD,AMD,876.24,520.3400268554688,268.57570014953615,93.7405456136786,551.6300048828125,-5.6722762993994404,49.56714115451882,daily_close,일봉 종가,2026-06-26 00:26 KST,,,91.2,135.05,72.16,172.34438,13.11747,8.06,6.005,37.8,77.09,123.61,0.53 -> 1.0 -> 2.65,34639000000.0,3694000000.0,4335000000.0,10.66,12.51,7709000000.0,6735000000.0,5539000000.0,3847000000.0,1692000000.0,1.89,123.61,2026-06-24,4.25,0,0,6,5,15,10,5,0,41,C,13
JPM,JPM,JP모건 체이스,871.43,340.7023010253906,307.8449122619629,10.673357737829841,340.7023010253906,0.0,74.86333789203977,daily_close,일봉 종가,2026-06-26 00:26 KST,,,17.2,11.99,75.65,15.97748,2.5973876,16.47,,12.7,,11.06,16.23 -> 19.75 -> 20.02,181847000000.0,,57048000000.0,,31.37,-147782000000.0,-147782000000.0,343338000000.0,499982000000.0,-156644000000.0,0.93,11.06,2026-06-24,4.25,8,3,16,16,8,8,1,0,60,B,14
INTC,INTC,Intel Corporation,673.43,129.89999389648438,57.69784996032715,125.13836128348488,140.94000244140625,-7.833126403919,59.68983695212532,daily_close,일봉 종가,2026-06-26 00:26 KST,,,98.63,65.53,64.04,,5.9363303,-2.91,36.028,7.2,6.88,,1.94 -> 0.4,52853000000.0,-23000000.0,-267000000.0,-0.04,-0.51,9697000000.0,-4949000000.0,14265000000.0,46585000000.0,-32320000000.0,,,2026-06-24,4.25,0,0,0,0,0,10,3,0,13,D,15
V,V,비자,622.33,336.6499938964844,328.77524841308593,2.3951758903408407,373.30999755859375,-9.820257668388674,66.70047881833645,daily_close,일봉 종가,2026-06-26 00:26 KST,,,35.5,28.25,91.66,28.990402,17.821587,60.35,67.233,17.1,10.39,10.99,8.28 -> 9.73 -> 10.2,40000000000.0,26556000000.0,20058000000.0,66.39,50.14,23059000000.0,21577000000.0,17164000000.0,25171000000.0,-8007000000.0,0.82,10.99,2026-06-24,4.25,0,0,20,16,8,10,1,0,55,B,16
XOM,XOM,엑슨모빌,571.22,137.8300018310547,135.06024978637694,2.0507529410456633,171.47000122070312,-19.618591677939975,26.069375378942155,daily_close,일봉 종가,2026-06-26 00:26 KST,,,-43.4,12.2,68.74,23.047136,2.2056098,9.87,18.261,2.6,-14.41,-13.19,8.89 -> 7.84 -> 6.7,323905000000.0,33938000000.0,28844000000.0,10.48,8.91,51970000000.0,23612000000.0,10681000000.0,41710000000.0,-31029000000.0,,-13.19,2026-06-24,4.25,4,3,6,0,0,0,3,5,21,D,17
ORCL,ORCL,오라클,530.03,151.53500366210938,203.60522422790527,-25.57410830849367,328.3299865722656,-53.84673655789997,8.993753344782505,daily_close,일봉 종가,2026-06-26 00:26 KST,,,21.9,36.14,43.92,26.024889,13.005752,53.38,388.87,20.6,24.33,25.36,3.71 -> 4.34 -> 5.83,67357000000.0,22444000000.0,17087000000.0,33.32,25.37,31977000000.0,-23686000000.0,31289000000.0,156189000000.0,-124900000000.0,1.19,25.36,2026-06-24,4.25,0,0,20,10,15,8,1,3,57,B,18
AMAT,AMAT,"Applied Materials, Inc.",489.96,629.5399780273438,326.84364974975585,92.61196554050963,640.1799926757812,-1.6620348605343136,67.1220351566227,daily_close,일봉 종가,2026-06-26 00:26 KST,,,33.5,18.76,85.13,55.5632,19.558012,39.69,30.399,11.4,7.66,3.34,8.11 -> 8.61 -> 8.66,28368000000.0,8470000000.0,6998000000.0,29.86,24.67,7958000000.0,5698000000.0,7241000000.0,7050000000.0,191000000.0,1.66,3.34,2026-06-24,4.25,0,0,20,5,4,10,1,0,40,C,19
CSCO,CSCO,시스코 시스템즈,471.16,119.0199966430664,83.70524997711182,42.18940469756792,130.0,-8.446156428410456,31.976356375722673,daily_close,일봉 종가,2026-06-26 00:26 KST,,,37.1,18.51,82.86,39.561462,9.602451,25.23,67.541,12.0,-3.59,-7.8,3.07 -> 2.54 -> 2.61,56654000000.0,12504000000.0,10180000000.0,22.07,17.97,14193000000.0,13288000000.0,8346000000.0,28093000000.0,-19747000000.0,1.07,-7.8,2026-06-24,4.25,0,0,20,10,0,10,3,0,43,C,20
CAT,CAT,"Caterpillar, Inc.",454.06,1042.5400390625,682.1580494689941,52.829690989358646,1042.5400390625,0.0,63.8105581676184,daily_close,일봉 종가,2026-06-26 00:26 KST,,,30.2,19.61,72.88,49.763447,24.66614,51.33,230.793,22.2,-14.7,-3.31,20.12 -> 22.05 -> 18.81,67589000000.0,11151000000.0,8884000000.0,16.5,13.14,11739000000.0,7453000000.0,9980000000.0,43330000000.0,-33350000000.0,1.65,-3.31,2026-06-24,4.25,0,0,20,5,0,10,3,0,38,D,21
MA,MA,마스터카드,432.77,499.0799865722656,532.8462983703613,-6.336970323593387,598.9600219726562,-16.67557628828696,60.8141896201574,daily_close,일봉 종가,2026-06-26 00:26 KST,,,21.2,35.12,91.54,28.578613,65.26003,232.08,282.059,15.8,19.52,18.17,11.83 -> 13.89 -> 16.52,32791000000.0,19514000000.0,14968000000.0,59.51,45.65,17648000000.0,16433000000.0,10566000000.0,19000000000.0,-8434000000.0,1.35,18.17,2026-06-24,4.25,0,0,20,10,12,8,3,5,58,B,22
COST,COST,코스트코,421.95,945.3250122070312,957.8197241210937,-1.304495157011697,1094.3199462890625,-13.61529912593538,37.67164670659335,daily_close,일봉 종가,2026-06-26 00:26 KST,,,45.5,45.01,73.79,48.320263,25.781694,29.15,60.257,21.5,11.83,13.4,14.16 -> 16.56 -> 18.21,275235000000.0,10383000000.0,8099000000.0,3.77,2.94,13335000000.0,7837000000.0,14161000000.0,8173000000.0,5988000000.0,1.06,13.4,2026-06-24,4.25,0,0,20,10,8,10,5,5,58,B,23
BAC,BAC,뱅크오브아메리카,398.83,58.775001525878906,52.39087507247925,12.185569423239544,58.775001525878906,0.0,80.19674317690823,daily_close,일봉 종가,2026-06-26 00:26 KST,,,24.4,11.85,70.63,14.325061,1.4931202,10.64,,8.1,,11.22,3.08 -> 3.21 -> 3.81,113097000000.0,,30509000000.0,,26.98,12613000000.0,12613000000.0,239319000000.0,365904000000.0,-126585000000.0,0.59,11.22,2026-06-24,4.25,8,6,12,20,8,8,1,0,63,B,24
GE,GE,GE Aerospace,373.67,376.29998779296875,307.1356504821777,22.519149829141853,376.29998779296875,0.0,77.30996587272593,daily_close,일봉 종가,2026-06-26 00:26 KST,,,-1.8,276.01,80.98,45.45093,21.140581,45.43,116.527,24.7,28.38,-1.32,8.36 -> 5.99 -> 8.14,45855000000.0,8680000000.0,8704000000.0,18.93,18.98,8537000000.0,7264000000.0,12392000000.0,20495000000.0,-8103000000.0,,-1.32,2026-06-24,4.25,0,0,20,0,0,0,1,0,21,D,25
