yf_symbol,symbol,name,market_cap,price,ma20,ma60,ma120,ma200,diff,peak,peak_diff,rsi,return_20d,return_60d,price_source,price_basis,price_time,after_market_price,after_market_change_pct,eps_growth,hist_per_avg,foreign_supply,per,pbr,roe,debt_ratio,revenue_growth,operating_growth,eps_cagr,eps3y,revenue,operating_income,net_income,operating_margin,net_margin,operating_cashflow,free_cashflow,cash,total_debt,net_cash,dividend_yield,payout_ratio,dividend_per_share,dividend_total,dividend_source,dividend_growth_3y,dividend_consecutive_years,dividend_cut_flag,dividend_history_years,dividend_history_source,sector,industry,analyst_buy_ratio,analyst_opinion_score,analyst_opinion_count,consensus_revision,target_mean,target_high,target_low,target_upside,earnings_surprise_pct,finnhub_source,consensus_source,fundamental_refreshed_at,peg,cagr,peer_per_avg,peer_pbr_avg,peer_roe_avg,peer_group_count,peer_per_count,peer_pbr_count,peer_roe_count,peer_per_gap,peer_pbr_gap,cashflow_status,financial_currency,dart_year,dart_fs_div,dart_report_code,dart_source,data_date,us_10y_bond,score_per,score_pbr,score_roe,score_peg,score_cagr,score_eps3y,score_rsi,score_peak_diff,score,grade,rank
NVDA,NVDA,엔비디아,5103.12,217.5,207.8029983520508,208.21283315022785,199.7473331451416,194.3465502166748,11.91348637653288,235.74000549316406,-7.73733989485844,54.255320152869665,2.69,-7.74,daily_close,일봉 종가,2026-08-12 12:38 KST,,,214.5,60.85,70.84,30.30368,24.483273,114.29,6.555,85.2,60.08,102.92,1.19 -> 2.94 -> 4.9,215938000000.0,130387000000.0,120067000000.0,60.38,55.6,102718000000.0,96676000000.0,10605000000.0,11040000000.0,-435000000.0,0.46,0.61,1.0,,yfinance,,,,,,Technology,Semiconductors,92.65,,,-0.31,,,,,3.02,Finnhub,,2026-08-12,0.14,102.92,40.45,9.68,35.48,23,21,22,22,-25.08,152.93,,,,,,,2026-08-11,4.68,0,0,20,20,15,10,5,0,70,A,1
GOOGL,GOOGL,알파벳A,4490.91,343.79998779296875,348.22699584960935,360.7538324991862,343.93216603597006,330.10774955749514,4.147808784806738,402.6199951171875,-14.609311022195623,50.65391657361913,-4.37,-14.28,daily_close,일봉 종가,2026-08-12 12:38 KST,,,294.0,23.78,80.65,17.267704,6.754951,48.68,18.859,24.2,14.81,36.52,5.8 -> 8.04 -> 10.81,402836000000.0,129039000000.0,132170000000.0,32.03,32.81,164713000000.0,73266000000.0,30708000000.0,59291000000.0,-28583000000.0,0.26,4.26,0.88,,yfinance,,2.0,False,2.0,yfinance dividend history,Communication Services,Internet Content & Information,88.57,4.61,55.0,1.61,428.04,515.0,340.0,24.5,6.53,Finnhub,yfinance,2026-08-12,0.06,36.52,19.56,4.76,23.94,7,6,6,6,-11.72,41.91,,,,,,,2026-08-11,4.68,8,0,20,20,15,10,5,5,83,A,2
GOOG,GOOG,알파벳C,4483.96,343.0,347.45899963378906,358.7231653849284,342.13508224487305,329.2710991668701,4.1694824926533505,399.0400085449219,-14.043706732382244,50.44734297702883,-4.01,-13.64,daily_close,일봉 종가,2026-08-12 12:38 KST,344.25,0.36443148688046645,294.0,23.92,60.32,18.83525,7.075802,48.68,18.859,24.2,14.81,36.52,5.8 -> 8.04 -> 10.81,402836000000.0,129039000000.0,132170000000.0,32.03,32.81,164713000000.0,73266000000.0,30708000000.0,59291000000.0,-28583000000.0,0.26,4.26,0.88,,yfinance,,2.0,False,2.0,yfinance dividend history,Communication Services,Internet Content & Information,88.57,4.6,14.0,1.61,421.79,475.0,340.0,22.97,6.53,Finnhub,yfinance,2026-08-11,0.06,36.52,18.78,4.76,23.94,7,6,6,6,0.29,48.65,,,,,,,2026-08-11,4.68,4,0,20,20,15,10,5,5,79,A,3
AAPL,AAPL,애플,4376.98,304.9100036621094,322.48150024414065,308.91200052897136,287.2505831400553,279.8724995422363,8.946039414670889,340.0799865722656,-10.341679692663352,36.48890277062489,-3.16,2.25,daily_close,일봉 종가,2026-08-12 12:38 KST,,,28.7,30.44,66.29,34.966743,41.42799,148.75,78.445,16.4,7.98,10.32,6.13 -> 6.08 -> 7.46,416161000000.0,133050000000.0,112010000000.0,31.97,26.92,111482000000.0,98767000000.0,35934000000.0,98657000000.0,-62723000000.0,0.35,12.04,1.08,,yfinance,4.22,10.0,False,10.0,yfinance dividend history,Technology,Consumer Electronics,68.52,3.87,41.0,1.85,322.28,400.0,215.0,5.7,1.69,Finnhub,yfinance,2026-08-12,1.22,10.32,40.45,9.68,35.48,23,21,22,22,-13.56,327.98,,,,,,,2026-08-11,4.68,0,0,20,10,8,8,5,5,56,B,4
MSFT,MSFT,마이크로소프트,2818.35,503.80999755859375,435.53300018310546,411.8461649576823,405.2055819193522,432.93539962768557,16.370709808405294,542.0700073242188,-7.058130730103504,87.37236684367926,30.88,23.05,daily_close,일봉 종가,2026-08-12 12:38 KST,502.34,-0.29177617866203864,31.7,32.36,76.03,28.036173,8.458155,34.04,29.118,17.7,20.78,23.34,11.8 -> 13.64 -> 17.95,331839000000.0,155237000000.0,133749000000.0,46.78,40.31,182935000000.0,66987000000.0,20935000000.0,56826000000.0,-35891000000.0,0.72,19.83,3.64,,yfinance,10.21,10.0,False,10.0,yfinance dividend history,Technology,Software - Infrastructure,92.75,4.64,53.0,0.1,567.2,870.0,400.0,12.58,6.42,Finnhub,yfinance,2026-08-12,0.88,23.34,40.45,9.83,35.92,23,21,22,22,-30.69,-13.96,,,,,,,2026-08-11,4.68,0,0,20,16,12,10,1,0,59,B,5
AMZN,AMZN,아마존,2628.93,272.2699890136719,254.37050018310546,250.84966684977215,241.10400009155273,237.08850006103515,14.838968968794244,284.0199890136719,-4.13703276336455,63.85127717868915,10.01,1.89,daily_close,일봉 종가,2026-08-12 12:38 KST,,,242.3,41.19,67.81,22.83119,5.552037,30.56,45.617,19.6,16.59,57.24,2.9 -> 5.53 -> 7.17,716924000000.0,79975000000.0,77670000000.0,11.16,10.83,139514000000.0,7695000000.0,86810000000.0,152987000000.0,-66177000000.0,,0.0,0.0,,yfinance,,,,,,Consumer Cyclical,Internet Retail,93.33,4.65,61.0,0.0,321.95,400.0,207.0,18.25,5.24,Finnhub,yfinance,2026-08-04,0.09,57.24,24.64,16.06,38.64,8,7,4,4,-7.34,-65.43,,,,,,,2026-08-11,4.68,4,0,20,20,15,10,3,0,72,A,6
AVGO,AVGO,브로드컴,1957.03,416.0799865722656,395.1235015869141,398.9636678059896,379.6813339233398,368.3670504760742,12.952552633175973,481.57000732421875,-13.59927315985477,59.810605169301496,6.93,-5.39,daily_close,일봉 종가,2026-08-12 12:38 KST,,,85.4,63.62,79.86,61.352158,20.040152,37.28,74.018,47.9,73.88,20.26,3.3 -> 1.23 -> 4.77,63887000000.0,26075000000.0,23126000000.0,40.81,36.2,27537000000.0,26914000000.0,16178000000.0,65136000000.0,-48958000000.0,0.62,41.26,2.6,,yfinance,,,,,,Technology,Semiconductors,92.86,,,-0.12,,,,,0.51,Finnhub,,2026-08-08,0.72,20.26,34.97,9.68,35.48,23,21,22,22,75.44,107.03,,,,,,,2026-08-11,4.68,0,0,20,16,12,10,3,5,66,B,7
TSLA,TSLA,테슬라,1504.13,332.80999755859375,336.9704986572266,384.28583170572915,387.01966603597003,407.70635009765624,-18.37017071750854,489.8800048828125,-32.06295536838507,33.62740032661068,-16.0,-24.92,daily_close,일봉 종가,2026-08-12 12:38 KST,332.99,0.05408564728424911,-3.0,176.51,43.11,305.33026,15.1311655,4.67,18.373,25.5,-37.51,-49.94,4.31 -> 2.04 -> 1.08,94827000000.0,4849000000.0,3794000000.0,5.11,4.0,14747000000.0,6220000000.0,16513000000.0,14719000000.0,1794000000.0,,0.0,0.0,,yfinance,,,,,,Consumer Cyclical,Auto Manufacturers,49.18,3.64,40.0,0.85,396.62,600.0,125.0,19.17,-7.04,Finnhub,yfinance,2026-08-12,,-49.94,22.83,11.27,45.9,8,7,4,4,1237.41,34.26,,,,,,,2026-08-11,4.68,0,0,0,0,0,0,3,5,8,D,8
META,META,메타 플랫폼스,1465.23,599.1199951171875,606.0799957275391,601.3374959309896,614.4364140828451,629.9319482421874,-4.891314563577874,790.0,-24.162025934533226,40.82313450492964,-9.37,-3.12,daily_close,일봉 종가,2026-08-12 12:38 KST,599.8051,0.11435186413341662,-13.4,22.36,79.0,22.323452,5.802965,29.85,42.997,28.0,20.03,25.69,14.87 -> 23.86 -> 23.49,200966000000.0,83276000000.0,60458000000.0,41.44,30.08,115800000000.0,46109000000.0,35873000000.0,83897000000.0,-48024000000.0,0.35,7.91,2.1,,yfinance,,2.0,False,2.0,yfinance dividend history,Communication Services,Internet Content & Information,87.32,4.65,57.0,-1.41,756.95,1000.0,580.0,26.34,0.38,Finnhub,yfinance,2026-08-11,,25.69,18.05,5.23,33.35,7,6,6,6,23.68,10.96,,,,,,,2026-08-11,4.68,4,0,20,0,15,0,5,5,49,C,9
BRK-B,BRK-B,버크셔해서웨이,1055.69,516.3800048828125,505.4899963378906,494.3638331095378,488.09724985758464,491.3479496765137,5.0945679579570955,539.7999877929688,-4.338640874356335,70.72647948676138,5.15,6.68,daily_close,일봉 종가,2026-08-12 12:38 KST,,,119.6,11.79,67.47,14.743223,0.0009789749,10.5,17.669,4.4,,-16.27,44.27 -> 41.27 -> 31.04,410522000000.0,,66968000000.0,,16.31,45969000000.0,25042000000.0,51877000000.0,129081000000.0,-77204000000.0,,0.0,0.0,,yfinance,,,,,,Financial Services,Insurance - Diversified,10.0,4.0,3.0,0.0,520.33,570.0,481.0,0.76,-3.3,Finnhub,yfinance,2026-08-04,0.12,-16.27,20.68,3.39,16.1,17,16,16,16,-28.71,-99.97,,,,,,,2026-08-11,4.68,8,10,12,20,0,10,1,0,61,B,10
