yf_symbol,symbol,name,market_cap,price,ma20,ma60,ma120,ma200,diff,peak,peak_diff,rsi,return_20d,return_60d,price_source,price_basis,price_time,after_market_price,after_market_change_pct,eps_growth,hist_per_avg,foreign_supply,per,pbr,roe,debt_ratio,revenue_growth,operating_growth,eps_cagr,eps3y,revenue,operating_income,net_income,operating_margin,net_margin,operating_cashflow,free_cashflow,cash,total_debt,net_cash,dividend_yield,payout_ratio,dividend_per_share,dividend_total,dividend_source,dividend_growth_3y,dividend_consecutive_years,dividend_cut_flag,dividend_history_years,dividend_history_source,sector,industry,analyst_buy_ratio,analyst_opinion_score,analyst_opinion_count,consensus_revision,target_mean,target_high,target_low,target_upside,earnings_surprise_pct,finnhub_source,consensus_source,cashflow_status,financial_currency,fundamental_refreshed_at,dart_year,dart_fs_div,dart_report_code,dart_source,peg,cagr,peer_per_avg,peer_pbr_avg,peer_roe_avg,peer_group_count,peer_per_count,peer_pbr_count,peer_roe_count,peer_per_gap,peer_pbr_gap,data_date,us_10y_bond,score_per,score_pbr,score_roe,score_peg,score_cagr,score_eps3y,score_rsi,score_peak_diff,score,grade,rank
NVDA,NVDA,엔비디아,5103.12,217.55999755859375,212.37899932861328,208.384499613444,201.36641642252604,195.1765002441406,11.468336242557003,235.74000549316406,-7.711889162188677,71.91513762573501,2.59,1.04,daily_close,일봉 종가,2026-08-20 11:41 KST,218.8244,0.5811741384423005,214.5,60.85,70.84,30.30368,24.483273,114.29,6.555,85.2,60.08,102.92,1.19 -> 2.94 -> 4.9,215938000000.0,130387000000.0,120067000000.0,60.38,55.6,102718000000.0,96676000000.0,10605000000.0,11040000000.0,-435000000.0,0.46,0.61,1.0,,yfinance,,,,,,Technology,Semiconductors,92.65,,,-0.31,,,,,3.02,Finnhub,,,,2026-08-12,,,,,0.14,102.92,40.45,10.68,35.48,23,21,22,22,-25.08,129.24,2026-08-19,4.25,0,0,20,20,15,10,1,0,66,B,1
GOOGL,GOOGL,알파벳A,4490.91,344.7200012207031,345.99399719238284,356.21716562906903,345.66733271280924,332.4223994445801,3.6993902326287817,402.6199951171875,-14.38080438097265,56.11455368662885,0.77,-9.99,daily_close,일봉 종가,2026-08-20 11:41 KST,,,294.0,23.78,80.65,17.267704,6.754951,48.68,18.859,24.2,14.81,36.52,5.8 -> 8.04 -> 10.81,402836000000.0,129039000000.0,132170000000.0,32.03,32.81,164713000000.0,73266000000.0,30708000000.0,59291000000.0,-28583000000.0,0.26,4.26,0.88,,yfinance,,2.0,False,2.0,yfinance dividend history,Communication Services,Internet Content & Information,88.57,4.61,55.0,1.61,428.04,515.0,340.0,24.17,6.53,Finnhub,yfinance,,,2026-08-12,,,,,0.06,36.52,19.56,4.76,23.94,7,6,6,6,-11.72,41.91,2026-08-19,4.25,8,0,20,20,15,10,3,5,81,A,2
GOOG,GOOG,알파벳C,4483.96,341.70001220703125,344.6925018310547,354.30983276367186,343.743665822347,331.49414932250977,3.0787460066428576,399.0400085449219,-14.369485542810073,54.771546756391636,-0.06,-9.93,daily_close,일봉 종가,2026-08-20 11:41 KST,341.7519,0.01518518908840124,294.0,23.92,60.32,18.83525,7.075802,48.68,18.859,24.2,14.81,36.52,5.8 -> 8.04 -> 10.81,402836000000.0,129039000000.0,132170000000.0,32.03,32.81,164713000000.0,73266000000.0,30708000000.0,59291000000.0,-28583000000.0,0.26,4.26,0.88,,yfinance,,2.0,False,2.0,yfinance dividend history,Communication Services,Internet Content & Information,88.57,4.6,14.0,1.61,421.79,475.0,340.0,23.44,6.53,Finnhub,yfinance,,,2026-08-11,,,,,0.06,36.52,18.78,4.76,23.94,7,6,6,6,0.29,48.65,2026-08-19,4.25,4,0,20,20,15,10,5,5,79,A,3
AAPL,AAPL,애플,4376.98,316.8299865722656,316.0399993896484,309.4585001627604,289.2108329772949,281.0953994750977,12.712618977008084,340.0799865722656,-6.83662694601391,37.473568816767155,-2.78,2.59,daily_close,일봉 종가,2026-08-20 11:41 KST,317.07,0.07575464378578434,28.7,30.44,66.29,34.966743,41.42799,148.75,78.445,16.4,7.98,10.32,6.13 -> 6.08 -> 7.46,416161000000.0,133050000000.0,112010000000.0,31.97,26.92,111482000000.0,98767000000.0,35934000000.0,98657000000.0,-62723000000.0,0.34,12.04,1.08,,yfinance,4.22,10.0,False,10.0,yfinance dividend history,Technology,Consumer Electronics,68.52,3.87,41.0,1.85,322.28,400.0,215.0,1.72,1.69,Finnhub,yfinance,,,2026-08-12,,,,,1.22,10.32,40.45,10.68,35.48,23,21,22,22,-13.56,287.9,2026-08-19,4.25,0,0,20,10,8,8,5,0,51,C,4
MSFT,MSFT,마이크로소프트,2818.35,484.30999755859375,463.0364990234375,418.66949768066405,409.8682484944662,431.6650495910645,12.195786528791752,542.0700073242188,-10.655452060655705,65.93110809562016,24.07,15.71,daily_close,일봉 종가,2026-08-20 11:41 KST,484.86,0.11356413127518025,31.7,32.36,76.03,28.036173,8.458155,34.04,29.118,17.7,20.78,23.34,11.8 -> 13.64 -> 17.95,331839000000.0,155237000000.0,133749000000.0,46.78,40.31,182935000000.0,66987000000.0,20935000000.0,56826000000.0,-35891000000.0,0.75,19.83,3.64,,yfinance,10.21,10.0,False,10.0,yfinance dividend history,Technology,Software - Infrastructure,92.75,4.64,53.0,0.1,567.2,870.0,400.0,17.12,6.42,Finnhub,yfinance,,,2026-08-12,,,,,0.88,23.34,40.45,11.14,35.92,23,21,22,22,-30.69,-24.07,2026-08-19,4.25,0,0,20,16,12,10,1,5,64,B,5
AMZN,AMZN,아마존,2628.93,265.8399963378906,258.7299995422363,250.74183349609376,243.88983345031738,238.22340003967284,11.592730308449388,284.0199890136719,-6.4009553478667724,66.64473443069018,8.57,-0.18,daily_close,일봉 종가,2026-08-20 11:41 KST,266.6,0.2858876288665797,242.3,41.19,67.81,22.83119,5.552037,30.56,45.617,19.6,16.59,57.24,2.9 -> 5.53 -> 7.17,716924000000.0,79975000000.0,77670000000.0,11.16,10.83,139514000000.0,7695000000.0,86810000000.0,152987000000.0,-66177000000.0,,0.0,0.0,,yfinance,,,,,,Consumer Cyclical,Internet Retail,93.33,4.65,61.0,0.0,321.95,400.0,207.0,21.11,5.24,Finnhub,yfinance,,,2026-08-19,,,,,0.09,57.24,23.64,16.06,38.64,8,7,4,4,-3.42,-65.43,2026-08-19,4.25,4,0,20,20,15,10,1,0,70,A,6
AVGO,AVGO,브로드컴,1957.03,362.4800109863281,398.16050109863284,396.602500406901,382.89208399454753,369.1964503479004,-1.8192047500032165,481.57000732421875,-24.729529357444566,38.33916985222018,-8.65,-12.47,daily_close,일봉 종가,2026-08-20 11:41 KST,,,85.4,63.62,80.06,69.45743,22.574606,37.28,74.018,47.9,73.88,20.26,3.3 -> 1.23 -> 4.77,63887000000.0,26075000000.0,23126000000.0,40.81,36.2,27537000000.0,26914000000.0,16178000000.0,65136000000.0,-48958000000.0,0.72,41.26,2.6,,yfinance,12.71,10.0,False,10.0,yfinance dividend history,Technology,Semiconductors,91.07,4.69,45.0,-0.16,527.88,675.0,215.88,45.63,0.51,Finnhub,yfinance,,,2026-08-18,,,,,0.81,20.26,34.97,10.68,35.48,23,21,22,22,98.62,111.37,2026-08-19,4.25,0,0,20,16,12,10,5,5,68,B,7
TSLA,TSLA,테슬라,1504.13,351.1199951171875,324.3784973144531,376.6119979858398,383.5055826822917,404.4050997924805,-13.176170306120301,489.8800048828125,-28.32530586726411,76.64859825899946,-6.12,-17.58,daily_close,일봉 종가,2026-08-20 11:41 KST,,,-3.0,176.51,43.11,305.33026,15.1311655,4.67,18.373,25.5,-37.51,-49.94,4.31 -> 2.04 -> 1.08,94827000000.0,4849000000.0,3794000000.0,5.11,4.0,14747000000.0,6220000000.0,16513000000.0,14719000000.0,1794000000.0,,0.0,0.0,,yfinance,,,,,,Consumer Cyclical,Auto Manufacturers,49.18,3.64,40.0,0.85,396.62,600.0,125.0,12.96,-7.04,Finnhub,yfinance,,,2026-08-12,,,,,,-49.94,22.83,11.27,45.9,8,7,4,4,1237.41,34.26,2026-08-19,4.25,0,0,0,0,0,0,1,5,6,D,8
META,META,메타 플랫폼스,1465.23,546.030029296875,581.7624938964843,597.5306610107422,610.5584966023763,625.079848022461,-12.646355337749663,790.0,-30.88227477254747,52.26185873954245,-12.94,-10.53,daily_close,일봉 종가,2026-08-20 11:41 KST,,,-13.4,22.36,79.0,22.323452,5.802965,29.85,42.997,28.0,20.03,25.69,14.87 -> 23.86 -> 23.49,200966000000.0,83276000000.0,60458000000.0,41.44,30.08,115800000000.0,46109000000.0,35873000000.0,83897000000.0,-48024000000.0,0.38,7.91,2.1,,yfinance,,2.0,False,2.0,yfinance dividend history,Communication Services,Internet Content & Information,87.32,4.65,57.0,-1.41,756.95,1000.0,580.0,38.63,0.38,Finnhub,yfinance,,,2026-08-11,,,,,,25.69,18.05,5.23,33.35,7,6,6,6,23.68,10.96,2026-08-19,4.25,4,0,20,0,15,0,5,5,49,C,9
BRK-B,BRK-B,버크셔해서웨이,1055.69,499.6199951171875,509.4449951171875,496.41333262125653,488.4419995625814,491.9265495300293,1.5639419328979598,539.7999877929688,-7.443496403188436,42.216026127755214,2.09,2.72,daily_close,일봉 종가,2026-08-20 11:41 KST,,,119.6,11.79,67.47,14.743223,0.0009789749,10.5,17.669,4.4,,-16.27,44.27 -> 41.27 -> 31.04,410522000000.0,,66968000000.0,,16.31,45969000000.0,25042000000.0,51877000000.0,129081000000.0,-77204000000.0,,0.0,0.0,,yfinance,,,,,,Financial Services,Insurance - Diversified,10.0,4.0,3.0,0.0,520.33,570.0,481.0,4.15,-3.3,Finnhub,yfinance,,,2026-08-19,,,,,0.12,-16.27,20.68,3.37,16.8,17,16,16,16,-28.71,-99.97,2026-08-19,4.25,8,10,12,20,0,10,5,0,65,B,10
