yf_symbol,symbol,name,market_cap,market_cap_as_of,market_cap_source,price,ma20,ma60,ma120,ma200,diff,peak,peak_diff,rsi,return_20d,return_60d,price_source,price_basis,price_time,after_market_price,after_market_change_pct,eps_growth,hist_per_avg,foreign_supply,per,pbr,roe,debt_ratio,revenue_growth,operating_growth,eps_cagr,eps3y,revenue,operating_income,net_income,operating_margin,net_margin,operating_cashflow,free_cashflow,cash,total_debt,net_cash,dividend_yield,payout_ratio,dividend_per_share,dividend_total,dividend_source,dividend_growth_3y,dividend_consecutive_years,dividend_cut_flag,dividend_history_years,dividend_history_source,sector,industry,analyst_buy_ratio,analyst_opinion_score,analyst_opinion_count,consensus_revision,target_mean,target_high,target_low,target_upside,earnings_surprise_pct,finnhub_source,consensus_source,cashflow_status,financial_currency,fundamental_refreshed_at,dart_year,dart_fs_div,dart_report_code,dart_source,peg,cagr,peer_per_avg,peer_pbr_avg,peer_roe_avg,peer_group_count,peer_per_count,peer_pbr_count,peer_roe_count,peer_per_gap,peer_pbr_gap,data_date,us_10y_bond,score_per,score_pbr,score_roe,score_peg,score_cagr,score_eps3y,score_rsi,score_peak_diff,score,grade,rank
NVDA,NVDA,엔비디아,5356.707,2026-09-18,Naver exchange listing (USD),222.27000427246094,218.87849960327148,211.47916615804036,208.27116661071778,198.37815002441405,12.043591617880574,235.74000549316406,-5.713922502260112,54.70119813447905,2.5,11.69,daily_close,일봉 종가,2026-09-19 15:15 KST,222.53,0.11697292596456611,127.8,60.78,71.53,28.248383,23.026468,117.21,16.971,105.9,60.08,102.92,1.19 -> 2.94 -> 4.9,215938000000.0,130387000000.0,120067000000.0,60.38,55.6,102718000000.0,96676000000.0,10605000000.0,11040000000.0,-435000000.0,0.45,3.54,1.0,,yfinance,35.72,10.0,False,10.0,yfinance dividend history,Technology,Semiconductors,94.2,4.72,57.0,0.08,327.65,515.0,180.0,47.41,3.44,Finnhub,yfinance,,,2026-09-16,,,,,0.22,102.92,39.6,13.18,34.82,32,30,30,30,-28.67,74.71,2026-09-18,5.0,0,0,20,20,15,10,5,0,70,A,1
AAPL,AAPL,애플,4905.5417234,2026-09-18,Naver exchange listing (USD),336.1300048828125,322.63999938964844,316.55133260091145,300.8141662597656,286.3411993408203,17.38792938515655,340.0799865722656,-1.161486075457066,65.37525258254767,7.98,14.69,daily_close,일봉 종가,2026-09-19 15:15 KST,334.8,-0.39568168967128603,28.7,30.44,66.4,36.29439,43.05027,148.75,78.445,16.4,7.98,10.32,6.13 -> 6.08 -> 7.46,416161000000.0,133050000000.0,112010000000.0,31.97,26.92,111482000000.0,98767000000.0,35934000000.0,98657000000.0,-62723000000.0,0.32,12.04,1.08,,yfinance,4.22,10.0,False,10.0,yfinance dividend history,Technology,Consumer Electronics,68.52,3.82,39.0,1.85,324.45,400.0,215.0,-3.47,1.69,Finnhub,yfinance,,,2026-09-16,,,,,1.26,10.32,39.6,13.18,34.82,32,30,30,30,-8.35,226.63,2026-09-18,5.0,0,0,20,10,8,8,1,0,47,C,2
MSFT,MSFT,마이크로소프트,3666.585852546,2026-09-18,Naver exchange listing (USD),493.7799987792969,497.51000061035154,450.32449900309246,428.05383224487304,431.6031494140625,14.406023090805679,542.0700073242188,-8.908445014933104,38.875735387329506,2.62,35.11,daily_close,일봉 종가,2026-09-19 15:15 KST,493.99,0.042529308846508705,31.7,32.3,75.91,26.81687,8.112818,34.04,29.118,17.7,20.78,23.34,11.8 -> 13.64 -> 17.95,331839000000.0,155237000000.0,133749000000.0,46.78,40.31,182935000000.0,66987000000.0,20935000000.0,56826000000.0,-35891000000.0,0.74,19.83,3.64,,yfinance,10.21,10.0,False,10.0,yfinance dividend history,Technology,Software - Infrastructure,92.75,4.64,53.0,0.1,569.56,870.0,400.0,15.35,6.42,Finnhub,yfinance,,,2026-09-16,,,,,0.85,23.34,39.6,14.61,36.64,32,30,30,30,-32.28,-44.47,2026-09-18,5.0,0,0,20,16,12,10,5,0,63,B,3
AMZN,AMZN,아마존닷컴,2736.595616352,2026-09-18,Naver exchange listing (USD),253.7100067138672,256.1334999084473,253.25566609700522,251.9074166615804,240.30074989318848,5.58019765924118,284.0199890136719,-10.671777857982262,36.161887989547694,-2.46,8.3,daily_close,일봉 종가,2026-09-19 15:15 KST,,,242.3,41.19,68.71,19.794327,4.9102745,30.56,45.617,19.6,16.59,57.24,2.9 -> 5.53 -> 7.17,716924000000.0,79975000000.0,77670000000.0,11.16,10.83,139514000000.0,7695000000.0,86810000000.0,152987000000.0,-66177000000.0,,0.0,0.0,,yfinance,,,,,,Consumer Cyclical,Internet Retail,93.24,4.68,59.0,-0.09,328.22,405.0,230.0,29.37,5.13,Finnhub,yfinance,,,2026-09-18,,,,,0.08,57.24,21.75,15.93,9.38,6,5,4,4,-8.99,-69.18,2026-09-18,5.0,4,0,20,20,15,10,5,5,79,A,4
GOOGL,GOOGL,알파벳 Class A,2342.96662,2026-09-18,Naver exchange listing (USD),349.5400085449219,341.7864990234375,347.4399988810221,352.776416015625,337.49589935302737,3.5686683052987647,402.6199951171875,-13.183643936217337,52.34910613917273,2.6,1.23,daily_close,일봉 종가,2026-09-19 15:15 KST,350.83,0.3690540205821169,294.0,23.77,81.0,17.547304,6.7781363,48.68,18.859,24.2,14.81,36.52,5.8 -> 8.04 -> 10.81,402836000000.0,129039000000.0,132170000000.0,32.03,32.81,164713000000.0,73266000000.0,30708000000.0,59291000000.0,-28583000000.0,0.25,4.26,0.88,,yfinance,,2.0,False,2.0,yfinance dividend history,Communication Services,Internet Content & Information,90.0,4.63,54.0,1.43,428.07,515.0,340.0,22.47,6.53,Finnhub,yfinance,,,2026-09-16,,,,,0.06,36.52,18.84,3.43,18.34,8,7,7,7,-6.86,97.61,2026-09-18,5.0,8,0,20,20,15,10,5,5,83,A,5
TSM,TSM,TSMC ADR,2254.40465358,2026-09-18,Naver exchange listing (USD),434.6700134277344,422.4885009765625,421.7565002441406,410.99016698201496,379.32505004882813,14.590379246448931,477.57000732421875,-8.982974901805315,60.07521287096931,4.49,-1.4,daily_close,일봉 종가,2026-09-19 15:15 KST,,,77.4,0.68,15.49,32.158527,87.592865,39.97,16.504,36.0,46.45,43.13,161.7 -> 226.25 -> 331.25,3809054300000.0,1936095600000.0,1697604000000.0,50.83,44.57,2274975600000.0,992378400000.0,2767856400000.0,1064582700000.0,1703273700000.0,0.94,25.74,4.08,,yfinance,18.92,9.0,False,9.0,yfinance dividend history,Technology,Semiconductors,95.35,4.6,19.0,0.0,552.38,700.0,440.0,27.08,7.14,Finnhub,yfinance,,,2026-09-16,,,,,0.42,43.13,39.6,13.18,34.82,32,30,30,30,-18.79,564.59,2026-09-18,5.0,0,0,20,20,15,10,3,0,68,B,6
SPCX,SPCX,스페이스X,2072.705590354,2026-09-18,Naver exchange listing (USD),152.7100067138672,145.33450088500976,138.37649993896486,,,,211.38999938964844,-27.759114832872623,60.73138772147338,13.96,-1.18,daily_close,일봉 종가,2026-09-19 15:15 KST,,,-25857.58,,48.16,,15.342792,,31.211,91.9,,,-,,,,,,,,,,,,0.0,0.0,,yfinance,,,,,,Industrials,Aerospace & Defense,,4.33,19.0,,220.68,450.0,117.0,44.51,,,yfinance,,,2026-09-17,,,,,,,34.48,8.68,39.7,8,7,7,7,,76.76,2026-09-18,5.0,0,0,0,0,0,0,3,5,8,D,7
GOOG,GOOG,알파벳 Class C,1903.55407,2026-09-18,Naver exchange listing (USD),344.4100036621094,338.4584991455078,345.21483306884767,350.4134157816569,336.1786993408203,2.448490739427882,399.0400085449219,-13.690357786934173,51.33112818203055,1.84,-0.18,daily_close,일봉 종가,2026-09-19 15:15 KST,,,294.0,23.92,60.32,18.83525,7.075802,48.68,18.859,24.2,14.81,36.52,5.8 -> 8.04 -> 10.81,402836000000.0,129039000000.0,132170000000.0,32.03,32.81,164713000000.0,73266000000.0,30708000000.0,59291000000.0,-28583000000.0,0.26,4.26,0.88,,yfinance,,2.0,False,2.0,yfinance dividend history,Communication Services,Internet Content & Information,88.57,4.6,14.0,1.61,421.79,475.0,340.0,22.47,6.53,Finnhub,yfinance,,,2026-09-15,,,,,0.06,36.52,18.79,3.43,18.34,8,7,7,7,0.24,106.29,2026-09-18,5.0,4,0,20,20,15,10,5,5,79,A,8
AVGO,AVGO,브로드컴,1707.097776023,2026-09-18,Naver exchange listing (USD),357.6099853515625,359.31799774169923,379.10266571044923,389.28500010172525,369.0968000793457,-3.1121415101170915,481.57000732421875,-25.740810284557387,42.65245453567308,-1.76,-6.4,daily_close,일봉 종가,2026-09-19 15:15 KST,356.9,-0.19853622120325967,215.3,63.62,79.82,43.304848,16.258501,44.25,59.604,85.5,73.88,20.26,3.3 -> 1.23 -> 4.77,63887000000.0,26075000000.0,23126000000.0,40.81,36.2,27537000000.0,26914000000.0,16178000000.0,65136000000.0,-48958000000.0,0.73,32.4,2.6,,yfinance,12.71,10.0,False,10.0,yfinance dividend history,Technology,Semiconductors,91.23,4.74,47.0,0.16,531.85,715.0,215.88,48.72,0.53,Finnhub,yfinance,,,2026-09-17,,,,,0.2,20.26,37.91,13.18,34.82,32,30,30,30,14.23,23.36,2026-09-18,5.0,0,0,20,20,12,10,5,5,72,A,9
META,META,메타,1696.002269294,2026-09-18,Naver exchange listing (USD),665.75,614.6100006103516,603.9039957682292,608.6298309326172,624.1584976196289,6.663612293830788,790.0,-15.727848101265824,77.86670522757188,21.97,19.38,daily_close,일봉 종가,2026-09-19 15:15 KST,,,-13.4,22.36,79.02,25.050808,6.4923916,29.85,42.997,28.0,20.03,25.69,14.87 -> 23.86 -> 23.49,200966000000.0,83276000000.0,60458000000.0,41.44,30.08,115800000000.0,46109000000.0,35873000000.0,83897000000.0,-48024000000.0,0.32,7.91,2.1,,yfinance,,2.0,False,2.0,yfinance dividend history,Communication Services,Internet Content & Information,87.32,4.66,57.0,0.0,758.28,1000.0,580.0,13.9,0.38,Finnhub,yfinance,,,2026-09-15,,,,,,25.69,18.79,3.43,18.34,8,7,7,7,33.32,89.28,2026-09-18,5.0,0,0,20,0,15,0,1,5,41,C,10
