yf_symbol,symbol,name,market_cap,market_cap_as_of,market_cap_source,price,ma20,ma60,ma120,ma200,diff,peak,peak_diff,rsi,return_20d,return_60d,price_source,price_basis,price_time,after_market_price,after_market_change_pct,eps_growth,hist_per_avg,foreign_supply,per,pbr,roe,debt_ratio,revenue_growth,operating_growth,eps_cagr,eps3y,revenue,operating_income,net_income,operating_margin,net_margin,operating_cashflow,free_cashflow,cash,total_debt,net_cash,dividend_yield,payout_ratio,dividend_per_share,dividend_total,dividend_source,dividend_growth_3y,dividend_consecutive_years,dividend_cut_flag,dividend_history_years,dividend_history_source,sector,industry,analyst_buy_ratio,analyst_opinion_score,analyst_opinion_count,consensus_revision,target_mean,target_high,target_low,target_upside,earnings_surprise_pct,finnhub_source,consensus_source,fundamental_refreshed_at,peg,cagr,peer_per_avg,peer_pbr_avg,peer_roe_avg,peer_group_count,peer_per_count,peer_pbr_count,peer_roe_count,peer_per_gap,peer_pbr_gap,cashflow_status,financial_currency,dart_year,dart_fs_div,dart_report_code,dart_source,data_date,us_10y_bond,score_per,score_pbr,score_roe,score_peg,score_cagr,score_eps3y,score_rsi,score_peak_diff,score,grade,rank
NVDA,NVDA,엔비디아,5424.187,2026-09-25,Naver exchange listing (USD),225.07000732421875,221.75449981689454,213.9874994913737,210.4466667175293,199.47324996948242,12.832175421342157,235.74000549316406,-4.52617202015579,43.715852130663194,-1.28,13.91,daily_close,일봉 종가,2026-09-26 15:26 KST,,,127.8,60.78,71.42,28.453857,23.73405,117.21,16.971,105.9,60.08,102.92,1.19 -> 2.94 -> 4.9,215938000000.0,130387000000.0,120067000000.0,60.38,55.6,102718000000.0,96676000000.0,10605000000.0,11040000000.0,-435000000.0,0.44,3.54,1.0,,yfinance,35.72,10.0,False,10.0,yfinance dividend history,Technology,Semiconductors,94.2,4.7,59.0,0.08,327.7,515.0,180.0,45.6,3.44,Finnhub,yfinance,2026-09-26,0.22,102.92,39.22,14.97,35.18,33,31,30,31,-27.45,58.54,,,,,,,2026-09-25,4.25,0,0,20,20,15,10,5,0,70,A,1
AAPL,AAPL,애플,4977.6369726,2026-09-25,Naver exchange listing (USD),341.07000732421875,329.39600067138673,321.0235000610352,304.330083211263,287.7663493347168,18.523242245917217,341.07000732421875,0.0,74.39873466682201,8.42,15.86,daily_close,일봉 종가,2026-09-26 15:26 KST,341.4603,0.11443183727681408,28.7,30.44,66.4,36.29439,43.05027,148.75,78.445,16.4,7.98,10.32,6.13 -> 6.08 -> 7.46,416161000000.0,133050000000.0,112010000000.0,31.97,26.92,111482000000.0,98767000000.0,35934000000.0,98657000000.0,-62723000000.0,0.32,12.04,1.08,,yfinance,4.22,10.0,False,10.0,yfinance dividend history,Technology,Consumer Electronics,68.52,3.82,39.0,1.85,324.45,400.0,215.0,-4.87,1.69,Finnhub,yfinance,2026-09-26,1.26,10.32,39.22,14.97,35.18,33,31,30,31,-7.46,187.58,,,,,,,2026-09-25,4.25,0,0,20,10,8,8,1,0,47,C,2
MSFT,MSFT,마이크로소프트,3832.843816089,2026-09-25,Naver exchange listing (USD),516.1699829101562,500.0404998779297,461.3683319091797,433.63266525268557,432.06089920043945,19.46695103985731,542.0700073242188,-4.777985142898964,59.889496111007276,2.2,34.32,daily_close,일봉 종가,2026-09-26 15:26 KST,517.89,0.33322687230790016,31.7,32.3,75.91,26.81687,8.112818,34.04,29.118,17.7,20.78,23.34,11.8 -> 13.64 -> 17.95,331839000000.0,155237000000.0,133749000000.0,46.78,40.31,182935000000.0,66987000000.0,20935000000.0,56826000000.0,-35891000000.0,0.71,19.83,3.64,,yfinance,10.21,10.0,False,10.0,yfinance dividend history,Technology,Software - Infrastructure,92.75,4.64,53.0,0.1,569.56,870.0,400.0,10.34,6.42,Finnhub,yfinance,2026-09-26,0.85,23.34,39.22,15.51,38.1,33,31,30,31,-31.62,-47.69,,,,,,,2026-09-25,4.25,0,0,20,16,12,10,3,0,61,B,3
AMZN,AMZN,아마존닷컴,2693.018909521,2026-09-25,Naver exchange listing (USD),249.6699981689453,254.30599975585938,254.6201665242513,253.7357500712077,240.84784996032715,3.6629549361023397,284.0199890136719,-12.094215961353711,40.04503402580678,-2.57,3.3,daily_close,일봉 종가,2026-09-26 15:26 KST,249.9799,0.12412457777364636,242.3,41.19,68.71,19.794327,4.9102745,30.56,45.617,19.6,16.59,57.24,2.9 -> 5.53 -> 7.17,716924000000.0,79975000000.0,77670000000.0,11.16,10.83,139514000000.0,7695000000.0,86810000000.0,152987000000.0,-66177000000.0,,0.0,0.0,,yfinance,,,,,,Consumer Cyclical,Internet Retail,93.24,4.68,59.0,-0.09,328.22,405.0,230.0,31.46,5.13,Finnhub,yfinance,2026-09-23,0.08,57.24,21.21,16.29,9.38,6,5,4,4,-6.67,-69.86,,,,,,,2026-09-25,4.25,4,0,20,20,15,10,5,5,79,A,4
TSM,TSM,TSMC ADR,2337.07704914,2026-09-25,Naver exchange listing (USD),450.6099853515625,430.1885009765625,421.77699991861977,415.72958348592124,383.1671000671387,17.601429056045383,477.57000732421875,-5.645250237491001,61.47419058576232,5.46,1.44,daily_close,일봉 종가,2026-09-26 15:26 KST,451.3493,0.1640697437853536,77.4,0.68,15.49,32.158527,87.592865,39.97,16.504,36.0,46.45,43.13,161.7 -> 226.25 -> 331.25,3809054300000.0,1936095600000.0,1697604000000.0,50.83,44.57,2274975600000.0,992378400000.0,2767856400000.0,1064582700000.0,1703273700000.0,0.91,25.74,4.08,,yfinance,18.92,9.0,False,9.0,yfinance dividend history,Technology,Semiconductors,95.35,4.6,19.0,0.0,552.38,700.0,440.0,22.58,7.14,Finnhub,yfinance,2026-09-26,0.42,43.13,39.22,14.97,35.18,33,31,30,31,-18.0,485.12,,,,,,,2026-09-25,4.25,0,0,20,20,15,10,3,0,68,B,5
GOOGL,GOOGL,알파벳 Class A,2305.29576,2026-09-25,Naver exchange listing (USD),343.9200134277344,342.1739990234375,347.05516560872394,355.07666600545247,338.20684936523435,1.689251436871493,402.6199951171875,-14.57949987614693,53.99123913492207,0.96,-4.79,daily_close,일봉 종가,2026-09-26 15:26 KST,,,294.0,23.77,81.0,17.547304,6.7781363,48.68,18.859,24.2,14.81,36.52,5.8 -> 8.04 -> 10.81,402836000000.0,129039000000.0,132170000000.0,32.03,32.81,164713000000.0,73266000000.0,30708000000.0,59291000000.0,-28583000000.0,0.26,4.26,0.88,,yfinance,,2.0,False,2.0,yfinance dividend history,Communication Services,Internet Content & Information,90.0,4.63,54.0,1.43,428.07,515.0,340.0,24.47,6.53,Finnhub,yfinance,2026-09-26,0.06,36.52,18.84,3.43,18.34,8,7,7,7,-6.86,97.61,,,,,,,2026-09-25,4.25,8,0,20,20,15,10,5,5,83,A,6
SPCX,SPCX,스페이스X,2018.007119205,2026-09-25,Naver exchange listing (USD),148.67999267578125,148.39550094604493,137.5901667277018,,,,211.38999938964844,-29.665550354761976,50.77150283918629,5.54,-5.62,daily_close,일봉 종가,2026-09-26 15:26 KST,,,-25857.58,,48.16,,15.342792,,31.211,91.9,,,-,,,,,,,,,,,,0.0,0.0,,yfinance,,,,,,Industrials,Aerospace & Defense,,4.33,19.0,,220.68,450.0,117.0,48.43,,,yfinance,2026-09-22,,,34.48,8.37,39.7,8,7,7,7,,83.31,,,,,,,2026-09-25,4.25,0,0,0,0,0,0,5,5,10,D,7
META,META,메타,1914.858529084,2026-09-25,Naver exchange listing (USD),751.6599731445312,660.8594970703125,619.2253295898438,616.2629969278971,626.4722476196289,19.982964289411235,790.0,-4.853167956388449,76.51449838467008,31.62,22.64,daily_close,일봉 종가,2026-09-26 15:26 KST,,,-13.4,22.34,79.02,28.011168,7.5847645,29.85,42.997,28.0,20.03,25.69,14.87 -> 23.86 -> 23.49,200966000000.0,83276000000.0,60458000000.0,41.44,30.08,115800000000.0,46109000000.0,35873000000.0,83897000000.0,-48024000000.0,0.28,7.91,2.1,,yfinance,,2.0,False,2.0,yfinance dividend history,Communication Services,Internet Content & Information,87.32,4.66,57.0,0.0,786.8,1000.0,580.0,4.67,0.38,Finnhub,yfinance,2026-09-25,,25.69,18.79,3.43,18.34,8,7,7,7,49.07,121.13,,,,,,,2026-09-25,4.25,0,0,20,0,15,0,1,0,36,D,8
GOOG,GOOG,알파벳 Class C,1885.14916,2026-09-25,Naver exchange listing (USD),341.0799865722656,338.80149993896487,344.7809997558594,352.63283259073893,336.7875993347168,1.274508695102768,399.0400085449219,-14.52486485853997,54.49026594479022,1.0,-4.7,daily_close,일봉 종가,2026-09-26 15:26 KST,341.12,0.011731391260009265,294.0,23.92,60.32,18.83525,7.075802,48.68,18.859,24.2,14.81,36.52,5.8 -> 8.04 -> 10.81,402836000000.0,129039000000.0,132170000000.0,32.03,32.81,164713000000.0,73266000000.0,30708000000.0,59291000000.0,-28583000000.0,0.26,4.26,0.88,,yfinance,,2.0,False,2.0,yfinance dividend history,Communication Services,Internet Content & Information,88.57,4.6,14.0,1.61,421.79,475.0,340.0,23.66,6.53,Finnhub,yfinance,2026-09-25,0.06,36.52,18.79,3.43,18.34,8,7,7,7,0.24,106.29,,,,,,,2026-09-25,4.25,4,0,20,20,15,10,5,5,79,A,9
AVGO,AVGO,브로드컴,1684.184352671,2026-09-25,Naver exchange listing (USD),352.80999755859375,358.03199615478513,377.8008321126302,391.2847501118978,368.35085006713865,-4.219035331590058,481.57000732421875,-26.737547564696417,46.97636221452548,-5.04,-4.48,daily_close,일봉 종가,2026-09-26 15:26 KST,353.6991,0.25200602237995745,215.3,63.5,79.82,46.31673,17.367111,44.25,59.604,85.5,73.88,20.26,3.3 -> 1.23 -> 4.77,63887000000.0,26075000000.0,23126000000.0,40.81,36.2,27537000000.0,26914000000.0,16178000000.0,65136000000.0,-48958000000.0,0.74,32.4,2.6,,yfinance,12.71,10.0,False,10.0,yfinance dividend history,Technology,Semiconductors,91.23,4.74,47.0,0.16,531.85,715.0,215.88,50.75,0.53,Finnhub,yfinance,2026-09-22,0.22,20.26,36.6,14.97,35.18,33,31,30,31,26.55,16.01,,,,,,,2026-09-25,4.25,0,0,20,20,12,10,5,5,72,A,10
