yf_symbol,symbol,name,market_cap,price,ma200,diff,peak,peak_diff,rsi,eps_growth,hist_per_avg,foreign_supply,per,pbr,roe,debt_ratio,revenue_growth,operating_growth,eps_cagr,eps3y,score_per,score_pbr,score_roe,score_rsi,score_peak_diff,score,grade,data_date,us_10y_bond,peg,cagr,rank
043260.KQ,043260,성호전자,27057,38150.0,20802.76,83.38912721196611,53200.0,-28.289473684210524,54.042553191476486,871.74,6.42,1.24,6.53,4.65,46.27,128.77,11.72,20.63,101.28,331 -> 138 -> 1341,15,0,20,5,5,45,C,2026-06-19,4.45,0.01,101.28,1
031330.KQ,031330,에스에이엠티,16479,16480.0,5881.225,180.21373098291596,18860.0,-12.61930010604454,53.27029156810513,39.34,6.2,9.1,5.39,2.23,16.55,183.14,30.01,68.99,51.79,329 -> 544 -> 758,15,3,16,5,5,44,C,2026-06-19,4.45,0.14,51.79,2
041510.KQ,041510,에스엠,17491,76400.0,108250.5,-29.42295878540977,153000.0,-50.06535947712418,46.13583138171789,1844.22,43.74,32.93,13.0,1.75,41.65,47.76,18.71,109.62,103.18,3664 -> 778 -> 15126,8,6,20,5,3,42,C,2026-06-19,4.45,0.01,103.18,3
035900.KQ,035900,JYP Ent.,19365,54500.0,67927.5,-19.767399065179784,85100.0,-35.95769682726204,42.30769230766383,64.27,25.19,18.49,14.0,2.89,29.21,36.19,36.57,20.97,23.33,2971 -> 2751 -> 4519,8,3,20,5,5,41,C,2026-06-19,4.45,0.22,23.33,4
257720.KQ,257720,실리콘투,21771,33200.0,42381.75,-21.664395641992133,61800.0,-46.27831715210356,37.11790393008562,31.11,14.49,6.82,10.0,4.42,46.89,55.09,61.43,49.27,103.34,631 -> 1990 -> 2609,12,0,20,5,3,40,C,2026-06-19,4.45,0.32,103.34,5
003380.KQ,003380,하림지주,11446,10220.0,11178.65,-8.575722470960265,19610.0,-47.88373278939317,36.616161616032166,772.77,17.26,8.98,4.46,0.3,7.29,170.94,7.67,15.92,148.93,331 -> 235 -> 2051,15,10,6,5,3,39,D,2026-06-19,4.45,0.01,148.93,6
145020.KQ,145020,휴젤,29775,242000.0,259472.5,-6.733854262012352,388000.0,-37.628865979381445,46.97674418604039,3.3,21.91,58.08,17.0,2.6,16.06,9.86,13.97,20.88,22.87,7517 -> 10985 -> 11348,8,3,16,5,5,37,D,2026-06-19,4.45,5.15,22.87,7
214450.KQ,214450,파마리서치,30545,294000.0,420210.0,-30.034982508745628,711000.0,-58.64978902953587,49.59016393442053,65.07,24.5,7.71,16.0,4.88,26.88,44.21,53.18,70.02,37.82,7481 -> 8608 -> 14209,8,0,20,5,3,36,D,2026-06-19,4.45,0.25,37.82,8
214150.KQ,214150,클래시스,30465,46700.0,54521.0,-14.34493131087104,75600.0,-38.22751322751323,55.34246575338221,32.76,30.47,70.57,17.0,5.83,26.21,27.73,38.66,39.38,32.57,1146 -> 1517 -> 2014,8,0,20,3,5,36,D,2026-06-19,4.45,0.52,32.57,9
195940.KQ,195940,HK이노엔,11416,40300.0,49416.25,-18.44787898717527,57600.0,-30.03472222222222,32.46268656713026,22.91,20.56,14.13,12.0,0.85,5.87,57.85,18.52,25.74,26.83,1661 -> 2174 -> 2672,12,8,6,3,5,34,D,2026-06-19,4.45,0.52,26.83,10
