yf_symbol,symbol,name,market_cap,price,ma200,diff,peak,peak_diff,rsi,price_source,eps_growth,hist_per_avg,foreign_supply,per,pbr,roe,debt_ratio,revenue_growth,operating_growth,eps_cagr,eps3y,revenue,operating_income,net_income,operating_margin,net_margin,operating_cashflow,free_cashflow,cash,total_debt,net_cash,peg,cagr,data_date,us_10y_bond,score_per,score_pbr,score_roe,score_peg,score_cagr,score_eps3y,score_rsi,score_peak_diff,score,grade,rank
196170.KQ,196170,알테오젠,187820,350500.0,422917.5,-17.123316013170417,559000.0,-37.29874776386404,46.56319290465343,daily_close,124.85,217.44,14.67,69.0,37.83,39.42,53.76,109.82,320.87,,1171 -> 2633,,,,,,,,,,,0.55,,2026-06-22,4.45,0,0,20,20,0,10,5,5,60,B,1
247540.KQ,247540,에코프로비엠,163083,166700.0,172812.0,-3.5367914265213067,246000.0,-32.23577235772358,30.147783251227366,regularMarketPrice,,364.17,14.15,420.0,9.28,2.29,142.16,-8.5,,,-,,,,,,,,,,,,,2026-06-22,4.45,0,0,0,0,0,0,3,5,8,D,2
086520.KQ,086520,에코프로,155463,114500.0,112393.0,1.8746719101723417,185000.0,-38.108108108108105,36.59359190555628,regularMarketPrice,,336.78,19.6,256.64,7.14,-8.39,117.92,9.11,,,-,,,,,,,,,,,,,2026-06-22,4.45,0,0,0,0,0,0,5,5,10,D,3
277810.KQ,277810,레인보우로보틱스,111161,573000.0,531892.5,7.728535371339134,880000.0,-34.88636363636364,21.874999999999204,daily_close,-33.64,3949.62,6.94,,86.12,1.07,7.08,76.68,,,110 -> 73,,,,,,,,,,,,,2026-06-22,4.45,0,0,0,0,0,0,1,5,6,D,4
036930.KQ,036930,주성엔지니어링,91986,197900.0,68523.5,188.8060300480857,250500.0,-20.998003992015967,52.42566510171857,daily_close,-66.22,32.8,7.6,,15.04,6.17,50.37,-24.11,-67.8,3.49,705 -> 2235 -> 755,,,,,,,,,,,,3.49,2026-06-22,4.45,0,0,6,0,4,0,5,5,20,D,5
950160.KQ,950160,코오롱티슈진,86250,101600.0,80378.5,26.401960723327754,138800.0,-26.801152737752158,55.070603337602435,regularMarketPrice,,,4.8,,68.46,-183.43,561.65,1.96,,,-,52.0,-223.0,-1926.0,-428.85,-3703.85,,,,,,,,2026-06-22,4.45,0,0,0,0,0,0,3,5,8,D,6
240810.KQ,240810,원익IPS,84669,172500.0,89815.75,92.05985587160382,183300.0,-5.8919803600654665,66.73058485138574,regularMarketPrice,304.73,46.26,17.33,45.0,7.73,9.05,20.06,21.6,596.23,,423 -> 1712,,,,,,,,,,,0.15,,2026-06-22,4.45,0,0,6,20,0,10,1,0,37,D,7
058470.KQ,058470,리노공업,70419,92400.0,80847.25,14.289601687132214,127000.0,-27.244094488188974,46.49499284691486,daily_close,34.19,27.95,27.71,38.0,9.89,22.45,8.3,33.9,42.51,17.07,1455 -> 1486 -> 1994,,,,,,,,,,,1.11,17.07,2026-06-22,4.45,0,0,20,10,12,10,5,5,62,B,8
028300.KQ,028300,HLB,67664,50800.0,49544.75,2.533568137895539,95100.0,-46.58254468980021,39.46188340804697,regularMarketPrice,,,19.73,,16.27,-44.32,88.14,23.64,,,-,842.0,-1042.0,-2354.0,-123.75,-279.57,,,,,,,,2026-06-22,4.45,0,0,0,0,0,0,5,3,8,D,9
039030.KQ,039030,이오테크닉스,63815,518000.0,346501.5,49.49430233346753,612000.0,-15.359477124183007,56.11510791366766,regularMarketPrice,33.53,50.01,25.12,52.0,8.69,8.9,13.06,18.7,158.97,24.98,2973 -> 3478 -> 4644,,,,,,,,,,,1.55,24.98,2026-06-22,4.45,0,0,6,5,12,10,3,5,41,C,10
440110.KQ,440110,파두,58062,115900.0,45931.4,152.33282678080792,128300.0,-9.66484801247077,54.0268456375712,daily_close,,,25.76,,173.5,-131.08,518.5,112.41,,,-,924.0,-655.0,-762.0,-70.89,-82.47,,,,,,,,2026-06-22,4.45,0,0,0,0,0,0,5,0,5,D,11
000250.KQ,000250,삼천당제약,56649,241500.0,375419.5,-35.67196163225405,1184000.0,-79.60304054054053,26.38888888888684,regularMarketPrice,,1036.5,6.71,581.42,19.9,1.94,54.36,9.91,226.92,,-,,,,,,,,,,,,,2026-06-22,4.45,0,0,0,0,0,0,3,1,4,D,12
298380.KQ,298380,에이비엘바이오,54699,97700.0,148666.5,-34.28243753636495,245500.0,-60.20366598778004,38.54838709676549,daily_close,,,12.91,-98.0,30.72,-23.48,79.29,137.43,,,-,,,,,,,,,,,,,2026-06-22,4.45,0,0,0,0,0,0,5,1,6,D,13
