yf_symbol,symbol,name,market_cap,price,ma200,diff,peak,peak_diff,rsi,price_source,eps_growth,hist_per_avg,foreign_supply,per,pbr,roe,debt_ratio,revenue_growth,operating_growth,eps_cagr,eps3y,revenue,operating_income,net_income,operating_margin,net_margin,operating_cashflow,free_cashflow,cash,total_debt,net_cash,cagr,peg,data_date,us_10y_bond,score_per,score_pbr,score_roe,score_peg,score_cagr,score_eps3y,score_rsi,score_peak_diff,score,grade,rank
196170.KQ,196170,알테오젠,178442,333000.0,422392.5,-21.16337292920684,559000.0,-40.429338103756706,44.87179487179219,regularMarketPrice,124.85,217.44,14.67,69.0,37.83,39.42,53.76,109.82,320.87,,1171 -> 2633,,,,,,,,,,,,0.55,2026-06-23,4.51,0,0,20,20,0,10,5,5,60,B,1
247540.KQ,247540,에코프로비엠,147626,150900.0,172907.5,-12.727903647904226,246000.0,-38.65853658536585,28.254847645425713,regularMarketPrice,,364.17,14.15,420.0,9.28,2.29,142.16,-8.5,,,-,,,,,,,,,,,,,2026-06-23,4.51,0,0,0,0,0,0,3,5,8,D,2
086520.KQ,086520,에코프로,139849,103000.0,112632.0,-8.551743731799133,185000.0,-44.32432432432433,31.911764705875783,daily_close,,336.78,19.6,256.64,7.14,-8.39,117.92,9.11,,,-,,,,,,,,,,,,,2026-06-23,4.51,0,0,0,0,0,0,3,5,8,D,3
277810.KQ,277810,레인보우로보틱스,97581,503000.0,532960.0,-5.6214350045031525,880000.0,-42.84090909090909,19.626168224298425,regularMarketPrice,-33.64,3949.62,6.94,,86.12,1.07,7.08,76.68,,,110 -> 73,,,,,,,,,,,,,2026-06-23,4.51,0,0,0,0,0,0,1,5,6,D,4
036930.KQ,036930,주성엔지니어링,85618,184200.0,69310.0,165.76251623142403,250500.0,-26.46706586826347,47.53780535090863,daily_close,-66.22,32.8,7.6,,15.04,6.17,50.37,-24.11,-67.8,3.49,705 -> 2235 -> 755,,,,,,,,,,,3.49,,2026-06-23,4.51,0,0,6,0,4,0,5,5,20,D,5
950160.KQ,950160,코오롱티슈진,80817,95200.0,80670.75,18.010555250818918,138800.0,-31.412103746397698,40.85714285713468,daily_close,,,4.8,,68.46,-183.43,561.65,1.96,,,-,52.0,-223.0,-1926.0,-428.85,-3703.85,,,,,,,,2026-06-23,4.51,0,0,0,0,0,0,5,5,10,D,6
240810.KQ,240810,원익IPS,73674,150100.0,90360.75,66.11194572864878,183300.0,-18.112384069830878,61.538461538457724,regularMarketPrice,304.73,46.26,17.33,45.0,7.73,9.05,20.06,21.6,596.23,,423 -> 1712,,,,,,,,,,,,0.15,2026-06-23,4.51,0,0,6,20,0,10,3,5,44,C,7
058470.KQ,058470,리노공업,64703,84900.0,81038.0,4.765665490263827,127000.0,-33.1496062992126,44.58161865568417,regularMarketPrice,34.19,27.95,27.71,38.0,9.89,22.45,8.3,33.9,42.51,17.07,1455 -> 1486 -> 1994,,,,,,,,,,,17.07,1.11,2026-06-23,4.51,0,0,20,10,12,10,5,5,62,B,8
028300.KQ,028300,HLB,63269,47500.0,49597.0,-4.2280783111881775,95100.0,-50.05257623554154,39.63963963961464,daily_close,,,19.73,,16.27,-44.32,88.14,23.64,,,-,842.0,-1042.0,-2354.0,-123.75,-279.57,,,,,,,,2026-06-23,4.51,0,0,0,0,0,0,5,3,8,D,9
039030.KQ,039030,이오테크닉스,56669,460000.0,347744.0,32.281218367534734,612000.0,-24.836601307189543,52.348993288589384,regularMarketPrice,33.53,50.01,25.12,52.0,8.69,8.9,13.06,18.7,158.97,24.98,2973 -> 3478 -> 4644,,,,,,,,,,,24.98,1.55,2026-06-23,4.51,0,0,6,5,12,10,5,5,43,C,10
000250.KQ,000250,삼천당제약,52427,223500.0,375616.5,-40.49782158132031,1184000.0,-81.1233108108108,27.377521613830638,daily_close,,1036.5,6.71,581.42,19.9,1.94,54.36,9.91,226.92,,-,,,,,,,,,,,,,2026-06-23,4.51,0,0,0,0,0,0,3,1,4,D,11
298380.KQ,298380,에이비엘바이오,51564,92100.0,148683.0,-38.056132846391314,245500.0,-62.4847250509165,38.05732484075585,regularMarketPrice,,,12.91,-98.0,30.72,-23.48,79.29,137.43,,,-,,,,,,,,,,,,,2026-06-23,4.51,0,0,0,0,0,0,5,1,6,D,12
