yf_symbol,symbol,name,market_cap,price,ma200,diff,peak,peak_diff,rsi,price_source,price_basis,price_time,eps_growth,hist_per_avg,foreign_supply,per,pbr,roe,debt_ratio,revenue_growth,operating_growth,eps_cagr,eps3y,revenue,operating_income,net_income,operating_margin,net_margin,operating_cashflow,free_cashflow,cash,total_debt,net_cash,peg,cagr,data_date,us_10y_bond,score_per,score_pbr,score_roe,score_peg,score_cagr,score_eps3y,score_rsi,score_peak_diff,score,grade,rank
196170.KQ,196170,알테오젠,200948,377000.0,421797.5,-10.620617713476253,559000.0,-32.55813953488372,58.44930417494704,nxt_web_latest,NXT 체결가,2026-06-25 17:44 KST,124.85,217.44,14.92,73.0,40.13,39.42,53.76,109.82,320.87,,1171 -> 2633,2159.0,1069.0,1452.0,49.51,67.25,,,,,,0.58,,2026-06-25,4.25,0,0,20,20,0,10,3,5,58,B,1
247540.KQ,247540,에코프로비엠,140875,143600.0,173084.0,-17.03450347808001,246000.0,-41.6260162601626,32.039800995020414,nxt_web_latest,NXT 체결가,2026-06-25 17:44 KST,,364.17,14.29,367.0,7.89,2.29,142.16,-8.5,,,-,25316.0,1433.0,916.0,5.66,3.62,,,,,,,,2026-06-25,4.25,0,0,0,0,0,0,3,5,8,D,2
086520.KQ,086520,에코프로,138491,101700.0,113128.0,-10.101831553638355,185000.0,-45.027027027027025,37.668161434969704,nxt_web_latest,NXT 체결가,2026-06-25 17:44 KST,,336.78,20.17,225.66,6.28,-8.39,117.92,9.11,,,-,34130.0,2138.0,-1055.0,6.26,-3.09,,,,,,,,2026-06-25,4.25,0,0,0,0,0,0,5,3,8,D,3
277810.KQ,277810,레인보우로보틱스,100103,514000.0,535245.0,-3.969210361610104,880000.0,-41.590909090909086,28.03468208092373,nxt_web_latest,NXT 체결가,2026-06-25 17:44 KST,-33.64,3949.62,6.92,,75.32,1.07,7.08,76.68,,,110 -> 73,341.0,-25.0,14.0,-7.33,4.11,,,,,,,,2026-06-25,4.25,0,0,0,0,0,0,3,5,8,D,4
950160.KQ,950160,코오롱티슈진,85146,100300.0,81293.75,23.37971861305451,138800.0,-27.737752161383284,50.84745762710767,daily_close,정규장 종가,2026-06-25 17:48 KST,,,4.72,,67.59,-183.43,561.65,1.96,,,-,52.0,-223.0,-1926.0,-428.85,-3703.85,,,,,,,,2026-06-25,4.25,0,0,0,0,0,0,5,5,10,D,5
036930.KQ,036930,주성엔지니어링,77576,166900.0,70789.5,135.76942908199663,250500.0,-33.37325349301397,38.10049696300092,daily_close,정규장 종가,2026-06-25 17:48 KST,-66.22,32.8,7.56,,13.0,6.17,50.37,-24.11,-67.8,3.49,705 -> 2235 -> 755,3107.0,313.0,357.0,10.07,11.49,,,,,,,3.49,2026-06-25,4.25,0,0,6,0,4,0,5,5,20,D,6
240810.KQ,240810,원익IPS,75932,154000.0,91476.0,68.35016835016835,183300.0,-15.984724495362792,55.6122448979552,nxt_web_latest,NXT 체결가,2026-06-25 17:44 KST,304.73,46.26,17.25,44.0,7.66,9.05,20.06,21.6,596.23,,423 -> 1712,9098.0,738.0,840.0,8.11,9.23,,,,,,0.14,,2026-06-25,4.25,0,0,6,20,0,10,3,5,44,C,7
058470.KQ,058470,리노공업,67599,88000.0,81432.5,8.064961778159825,127000.0,-30.708661417322837,45.80745341613911,nxt_web_latest,NXT 체결가,2026-06-25 17:44 KST,34.19,27.95,27.52,36.0,9.47,22.45,8.3,33.9,42.51,17.07,1455 -> 1486 -> 1994,3725.0,1770.0,1520.0,47.52,40.81,,,,,,1.05,17.07,2026-06-25,4.25,0,0,20,10,12,10,5,5,62,B,8
028300.KQ,028300,HLB,65267,49150.0,49716.5,-1.1394607424094616,95100.0,-48.31756046267087,46.66666666663944,nxt_web_latest,NXT 체결가,2026-06-25 17:44 KST,,,19.69,,15.69,-44.32,88.14,23.64,,,-,842.0,-1042.0,-2354.0,-123.75,-279.57,,,,,,,,2026-06-25,4.25,0,0,0,0,0,0,5,3,8,D,9
039030.KQ,039030,이오테크닉스,58764,473000.0,350454.0,34.967784645060405,612000.0,-22.712418300653596,49.90909090908964,nxt_web_latest,NXT 체결가,2026-06-25 17:44 KST,33.53,50.01,25.28,49.0,8.31,8.9,13.06,18.7,158.97,24.98,2973 -> 3478 -> 4644,3809.0,808.0,576.0,21.21,15.12,,,,,,1.46,24.98,2026-06-25,4.25,0,0,6,10,12,10,5,5,48,C,10
141080.KQ,141080,리가켐바이오,57676,156200.0,169656.5,-7.931614762770657,213500.0,-26.8384074941452,60.40126715944197,nxt_web_latest,NXT 체결가,2026-06-25 17:44 KST,,483.55,11.37,-130.0,12.26,-13.22,29.7,12.47,,,-,1416.0,-1065.0,-916.0,-75.21,-64.69,,,,,,,,2026-06-25,4.25,0,0,0,0,0,0,3,5,8,D,11
000250.KQ,000250,삼천당제약,53483,227000.0,376043.0,-39.634563068585244,1184000.0,-80.8277027027027,31.609195402296308,nxt_web_latest,NXT 체결가,2026-06-25 17:44 KST,,1036.5,7.29,522.94,17.9,1.94,54.36,9.91,226.92,,-,2318.0,85.0,120.0,3.67,5.18,,,,,,,,2026-06-25,4.25,0,0,0,0,0,0,3,1,4,D,12
298380.KQ,298380,에이비엘바이오,53188,94700.0,148706.0,-36.31729721732815,245500.0,-61.425661914460285,46.36363636362653,nxt_web_latest,NXT 체결가,2026-06-25 17:44 KST,,,13.22,-94.0,29.45,-23.48,79.29,137.43,,,-,793.0,-404.0,-379.0,-50.95,-47.79,,,,,,,,2026-06-25,4.25,0,0,0,0,0,0,5,1,6,D,13
319660.KQ,319660,피에스케이,49417,170100.0,62883.5,170.50021070710122,180200.0,-5.60488346281909,65.17549896764686,nxt_web_latest,NXT 체결가,2026-06-25 17:44 KST,-0.73,10.42,24.89,34.0,8.72,15.54,19.84,14.85,5.48,22.31,1813 -> 2732 -> 2712,4572.0,885.0,785.0,19.36,17.17,,,,,,,22.31,2026-06-25,4.25,0,0,16,0,12,0,1,0,29,D,14
222800.KQ,222800,심텍,47279,125800.0,64090.75,96.28417517348447,134100.0,-6.1894108873974645,60.984848484840406,nxt_web_latest,NXT 체결가,2026-06-25 17:44 KST,,,14.05,35.0,7.9,-32.1,181.13,14.55,,,-,14106.0,119.0,-1646.0,0.84,-11.67,,,,,,,,2026-06-25,4.25,0,0,0,0,0,0,3,0,3,D,15
440110.KQ,440110,파두,43834,87500.0,47053.8,85.95735094721361,128300.0,-31.80046765393609,34.361851332391566,daily_close,정규장 종가,2026-06-25 17:48 KST,,,26.64,,130.99,-131.08,518.5,112.41,,,-,924.0,-655.0,-762.0,-70.89,-82.47,,,,,,,,2026-06-25,4.25,0,0,0,0,0,0,3,5,8,D,16
403870.KQ,403870,HPSP,41973,51000.0,40387.25,26.277476183696585,83500.0,-38.92215568862276,50.40045766589582,daily_close,정규장 종가,2026-06-25 17:48 KST,-16.35,35.96,30.09,36.0,14.15,24.79,19.95,-4.63,-4.26,-6.21,989 -> 1040 -> 870,1730.0,899.0,727.0,51.97,42.02,,,,,,,-6.21,2026-06-25,4.25,0,0,20,0,0,0,5,5,30,D,17
087010.KQ,087010,펩트론,41971,183700.0,274390.0,-33.051496045774265,386000.0,-52.409326424870464,29.295774647885025,nxt_web_latest,NXT 체결가,2026-06-25 17:44 KST,,,5.69,,30.77,-9.41,26.03,75.0,,,-,56.0,-213.0,-138.0,-380.36,-246.43,,,,,,,,2026-06-25,4.25,0,0,0,0,0,0,3,3,6,D,18
095340.KQ,095340,ISC,40528,190400.0,149093.0,27.70552608103667,271000.0,-29.741697416974173,46.40479360851765,nxt_web_latest,NXT 체결가,2026-06-25 17:44 KST,2.68,60.46,23.23,45.0,7.22,10.6,15.85,26.19,34.15,91.78,720 -> 2579 -> 2648,2202.0,601.0,563.0,27.29,25.57,,,,,,16.79,91.78,2026-06-25,4.25,0,0,12,0,15,2,5,5,39,D,19
347850.KQ,347850,디앤디파마텍,37751,84500.0,76365.0,10.652785962155438,111200.0,-24.010791366906474,46.41101278268781,nxt_web_latest,NXT 체결가,2026-06-25 17:44 KST,,,6.96,,49.94,-31.49,23.5,-62.28,,,-,43.0,-340.0,-240.0,-790.7,-558.14,,,,,,,,2026-06-25,4.25,0,0,0,0,0,0,5,5,10,D,20
108490.KQ,108490,로보티즈,37532,256000.0,246924.57,3.6753855641016173,405000.0,-36.79012345679013,32.79999999999755,nxt_web_latest,NXT 체결가,2026-06-25 17:44 KST,,691.83,7.51,313.0,10.51,2.49,1.79,29.67,,,-,389.0,33.0,53.0,8.48,13.62,,,,,,,,2026-06-25,4.25,0,0,0,0,0,0,3,5,8,D,21
084370.KQ,084370,유진테크,37261,162400.0,104509.5,55.39257196714175,196100.0,-17.185109637939828,51.65987186953568,nxt_web_latest,NXT 체결가,2026-06-25 17:44 KST,-32.89,30.03,37.92,40.0,7.67,9.81,18.16,3.61,-15.52,31.84,1066 -> 2761 -> 1853,3503.0,517.0,445.0,14.76,12.7,,,,,,,31.84,2026-06-25,4.25,0,0,6,0,15,0,5,5,31,D,22
080220.KQ,080220,제주반도체,37232,108100.0,41642.1,159.59305606585644,134000.0,-19.328358208955223,57.4186991869837,daily_close,정규장 종가,2026-06-25 17:48 KST,102.29,22.3,2.07,32.88,11.93,19.21,47.94,86.2,273.96,53.63,486 -> 567 -> 1147,3022.0,359.0,395.0,11.88,13.07,,,,,,0.32,53.63,2026-06-25,4.25,0,0,16,20,15,10,3,5,69,B,23
214370.KQ,214370,케어젠,37009,67500.0,84377.0,-20.001896251348118,150100.0,-55.029980013324455,42.81098546041036,nxt_web_latest,NXT 체결가,2026-06-25 17:44 KST,-37.87,92.25,3.69,158.39,15.7,9.23,8.85,-11.86,-40.35,-29.05,743 -> 602 -> 374,728.0,204.0,201.0,28.02,27.61,,,,,,,-29.05,2026-06-25,4.25,0,0,6,0,0,0,5,3,14,D,24
178320.KQ,178320,서진시스템,33798,53100.0,38956.0,36.30762912003286,80800.0,-34.28217821782179,33.527131782936635,daily_close,정규장 종가,2026-06-25 17:48 KST,,15.93,16.0,,3.81,-12.63,212.62,-12.15,-98.99,,-,10663.0,11.0,-1024.0,0.1,-9.6,,,,,,,,2026-06-25,4.25,0,0,0,0,0,0,3,5,8,D,25
310210.KQ,310210,보로노이,33710,185200.0,230952.0,-19.810177006477538,363500.0,-49.05089408528198,41.565881604070135,nxt_web_latest,NXT 체결가,2026-06-25 17:44 KST,,,6.58,,36.27,-50.18,64.97,-23.47,,,-,75.0,-544.0,-427.0,-725.33,-569.33,,,,,,,,2026-06-25,4.25,0,0,0,0,0,0,5,3,8,D,26
214450.KQ,214450,파마리서치,33506,320500.0,412167.5,-22.24035131348299,711000.0,-54.922644163150494,61.8421052631522,nxt_web_latest,NXT 체결가,2026-06-25 17:44 KST,65.07,24.5,8.49,17.0,5.35,26.88,44.21,53.18,70.02,37.82,7481 -> 8608 -> 14209,5363.0,2144.0,1683.0,39.98,31.38,,,,,,0.26,37.82,2026-06-25,4.25,8,0,20,20,15,10,3,3,79,A,27
067310.KQ,067310,하나마이크론,32308,48600.0,31270.55,55.41779725652412,56800.0,-14.43661971830986,58.28220858893703,daily_close,정규장 종가,2026-06-25 17:48 KST,,44.79,21.64,20.0,6.85,9.89,209.16,22.68,19.57,,-,15344.0,1277.0,656.0,8.32,4.28,,,,,,,,2026-06-25,4.25,4,0,6,0,0,0,3,5,18,D,28
095610.KQ,095610,테스,32156,168000.0,68588.75,144.9381276083906,183400.0,-8.396946564885496,59.2694693314898,nxt_web_latest,NXT 체결가,2026-06-25 17:44 KST,33.69,92.12,10.88,33.0,7.18,15.76,24.43,46.23,50.13,504.31,79 -> 2158 -> 2885,3511.0,578.0,569.0,16.46,16.21,,,,,,0.98,504.31,2026-06-25,4.25,0,0,16,16,15,10,3,0,60,B,29
145020.KQ,145020,휴젤,31252,254000.0,258240.0,-1.6418835192069392,388000.0,-34.5360824742268,53.00751879698689,nxt_web_latest,NXT 체결가,2026-06-25 17:44 KST,3.3,21.91,57.92,18.0,2.73,16.06,9.86,13.97,20.88,22.87,7517 -> 10985 -> 11348,4251.0,2009.0,1470.0,47.26,34.58,,,,,,5.45,22.87,2026-06-25,4.25,8,3,16,0,12,2,5,5,51,C,30
214150.KQ,214150,클래시스,30367,46500.0,54364.75,-14.466635089833026,75600.0,-38.492063492063494,59.15841584154315,nxt_web_latest,NXT 체결가,2026-06-25 17:44 KST,32.76,30.47,70.63,17.0,5.81,26.21,27.73,38.66,39.38,32.57,1146 -> 1517 -> 2014,3368.0,1706.0,1320.0,50.65,39.19,,,,,,0.52,32.57,2026-06-25,4.25,8,0,20,20,15,10,3,5,81,A,31
005290.KQ,005290,동진쎄미켐,28849,56400.0,46052.5,22.468921339775257,66000.0,-14.545454545454545,52.043269230751726,nxt_web_latest,NXT 체결가,2026-06-25 17:44 KST,-35.98,13.86,15.88,22.42,2.56,9.52,82.11,7.31,-1.71,-11.78,2476 -> 3010 -> 1927,11941.0,1724.0,941.0,14.44,7.88,,,,,,,-11.78,2026-06-25,4.25,4,3,6,0,0,0,5,5,23,D,32
226950.KQ,226950,올릭스,28593,141900.0,138121.5,2.7356349301158764,207000.0,-31.44927536231884,46.650124069473506,nxt_web_latest,NXT 체결가,2026-06-25 17:44 KST,,,9.55,,21.67,-18.83,30.18,157.89,,,-,147.0,-300.0,-157.0,-204.08,-106.8,,,,,,,,2026-06-25,4.25,0,0,0,0,0,0,5,5,10,D,33
064760.KQ,064760,티씨케이,28451,252500.0,204478.5,23.484865156972493,348500.0,-27.546628407460545,47.18100890207323,nxt_web_latest,NXT 체결가,2026-06-25 17:44 KST,-2.77,18.81,67.18,26.0,5.39,13.5,9.3,9.29,3.97,6.91,5246 -> 6167 -> 5996,3013.0,839.0,699.0,27.85,23.2,,,,,,,6.91,2026-06-25,4.25,0,0,12,0,4,0,5,5,26,D,34
319400.KQ,319400,현대무벡스,28233,25300.0,22767.025,11.125630160286635,46350.0,-45.415318230852215,34.21588594702733,nxt_web_latest,NXT 체결가,2026-06-25 17:44 KST,-56.77,99.75,1.7,281.67,17.98,6.79,76.81,15.38,-26.02,65.83,36 -> 229 -> 99,3939.0,182.0,113.0,4.62,2.87,,,,,,,65.83,2026-06-25,4.25,0,0,6,0,15,0,3,3,27,D,35
