yf_symbol,symbol,name,market_cap,price,ma200,diff,peak,peak_diff,rsi,price_source,price_basis,price_time,after_market_price,after_market_change_pct,eps_growth,hist_per_avg,foreign_supply,per,pbr,roe,debt_ratio,revenue_growth,operating_growth,eps_cagr,eps3y,revenue,operating_income,net_income,operating_margin,net_margin,operating_cashflow,free_cashflow,cash,total_debt,net_cash,peg,cagr,data_date,us_10y_bond,score_per,score_pbr,score_roe,score_peg,score_cagr,score_eps3y,score_rsi,score_peak_diff,score,grade,rank
196170.KQ,196170,알테오젠,184069,344500.0,421425.0,-18.253544521563743,559000.0,-38.372093023255815,61.249999999996426,nxt_web_latest,NXT 체결가,2026-06-26 17:41 KST,,,124.85,217.44,15.0,67.0,36.76,39.42,53.76,109.82,320.87,,1171 -> 2633,2159.0,1069.0,1452.0,49.51,67.25,,,,,,0.54,,2026-06-26,4.25,0,0,20,20,0,10,3,5,58,B,1
247540.KQ,247540,에코프로비엠,130799,133100.0,173119.0,-23.116469018420855,246000.0,-45.89430894308943,35.61946902654316,nxt_web_latest,NXT 체결가,2026-06-26 17:41 KST,,,,364.17,14.33,345.0,7.32,2.29,142.16,-8.5,,,-,25316.0,1433.0,916.0,5.66,3.62,,,,,,,,2026-06-26,4.25,0,0,0,0,0,0,5,3,8,D,2
086520.KQ,086520,에코프로,129530,95200.0,113342.5,-16.00679356816728,185000.0,-48.54054054054054,41.86046511626933,nxt_web_latest,NXT 체결가,2026-06-26 17:41 KST,,,,336.78,20.16,211.06,5.87,-8.39,117.92,9.11,,,-,34130.0,2138.0,-1055.0,6.26,-3.09,,,,,,,,2026-06-26,4.25,0,0,0,0,0,0,5,3,8,D,3
277810.KQ,277810,레인보우로보틱스,93119,486000.0,536255.0,-9.371474391847162,880000.0,-44.77272727272727,29.938271604936972,nxt_web_latest,NXT 체결가,2026-06-26 17:41 KST,,,-33.64,3949.62,6.91,,70.06,1.07,7.08,76.68,,,110 -> 73,341.0,-25.0,14.0,-7.33,4.11,,,,,,,,2026-06-26,4.25,0,0,0,0,0,0,3,5,8,D,4
240810.KQ,240810,원익IPS,80399,164700.0,92091.25,78.84435274795379,183300.0,-10.147299509001636,66.61026508741719,nxt_web_latest,NXT 체결가,2026-06-26 17:41 KST,,,304.73,46.26,17.06,47.0,8.12,9.05,20.06,21.6,596.23,,423 -> 1712,9098.0,738.0,840.0,8.11,9.23,,,,,,0.15,,2026-06-26,4.25,0,0,6,20,0,10,1,5,42,C,5
058470.KQ,058470,리노공업,64246,84200.0,81618.0,3.163517851454336,127000.0,-33.70078740157481,49.33110367891822,nxt_web_latest,NXT 체결가,2026-06-26 17:41 KST,,,34.19,27.95,27.5,34.0,9.0,22.45,8.3,33.9,42.51,17.07,1455 -> 1486 -> 1994,3725.0,1770.0,1520.0,47.52,40.81,,,,,,0.99,17.07,2026-06-26,4.25,0,0,20,16,12,10,5,5,68,B,6
028300.KQ,028300,HLB,63535,47950.0,49766.25,-3.6495617009519505,95100.0,-49.57939011566772,48.6956521738834,nxt_web_latest,NXT 체결가,2026-06-26 17:41 KST,,,,,19.7,,15.27,-44.32,88.14,23.64,,,-,842.0,-1042.0,-2354.0,-123.75,-279.57,,,,,,,,2026-06-26,4.25,0,0,0,0,0,0,5,3,8,D,7
039030.KQ,039030,이오테크닉스,59749,488000.0,351834.0,38.70177413211913,612000.0,-20.26143790849673,59.28646379852921,nxt_web_latest,NXT 체결가,2026-06-26 17:41 KST,,,33.53,50.01,25.35,50.0,8.45,8.9,13.06,18.7,158.97,24.98,2973 -> 3478 -> 4644,3809.0,808.0,576.0,21.21,15.12,,,,,,1.49,24.98,2026-06-26,4.25,0,0,6,10,12,10,3,5,46,C,8
319660.KQ,319660,피에스케이,54515,189400.0,63713.25,197.26940628519185,188200.0,0.6376195536663124,76.08401084010119,nxt_web_latest,NXT 체결가,2026-06-26 17:41 KST,,,-0.73,10.42,24.7,36.0,9.62,15.54,19.84,14.85,5.48,22.31,1813 -> 2732 -> 2712,4572.0,885.0,785.0,19.36,17.17,,,,,,,22.31,2026-06-26,4.25,0,0,16,0,12,0,1,0,29,D,9
141080.KQ,141080,리가켐바이오,52900,143900.0,169629.0,-15.167807391424814,213500.0,-32.59953161592506,64.99999999998965,nxt_web_latest,NXT 체결가,2026-06-26 17:41 KST,,,,483.55,11.01,-119.0,11.25,-13.22,29.7,12.47,,,-,1416.0,-1065.0,-916.0,-75.21,-64.69,,,,,,,,2026-06-26,4.25,0,0,0,0,0,0,3,5,8,D,10
298380.KQ,298380,에이비엘바이오,49660,89200.0,148676.0,-40.003766579676615,245500.0,-63.66598778004074,50.081833060545,nxt_web_latest,NXT 체결가,2026-06-26 17:41 KST,,,,,13.21,-88.0,27.5,-23.48,79.29,137.43,,,-,793.0,-404.0,-379.0,-50.95,-47.79,,,,,,,,2026-06-26,4.25,0,0,0,0,0,0,5,1,6,D,11
000250.KQ,000250,삼천당제약,49377,210500.0,376115.5,-44.03314939160976,1184000.0,-82.22128378378379,39.71119133573605,nxt_web_latest,NXT 체결가,2026-06-26 17:41 KST,,,,1036.5,7.39,482.8,16.52,1.94,54.36,9.91,226.92,,-,2318.0,85.0,120.0,3.67,5.18,,,,,,,,2026-06-26,4.25,0,0,0,0,0,0,5,1,6,D,12
222800.KQ,222800,심텍,46754,127200.0,64584.75,96.95051850475538,134100.0,-5.1454138702460845,61.92307692306859,nxt_web_latest,NXT 체결가,2026-06-26 17:41 KST,,,,,13.85,34.0,7.81,-32.1,181.13,14.55,,,-,14106.0,119.0,-1646.0,0.84,-11.67,,,,,,,,2026-06-26,4.25,0,0,0,0,0,0,3,0,3,D,13
084370.KQ,084370,유진테크,39553,172600.0,105133.75,64.17182874195964,196100.0,-11.98368179500255,63.96629941671487,nxt_web_latest,NXT 체결가,2026-06-26 17:41 KST,,,-32.89,30.03,37.85,43.0,8.15,9.81,18.16,3.61,-15.52,31.84,1066 -> 2761 -> 1853,3503.0,517.0,445.0,14.76,12.7,,,,,,,31.84,2026-06-26,4.25,0,0,6,0,15,0,3,5,29,D,14
095340.KQ,095340,ISC,39002,183500.0,149722.5,22.560069461837735,271000.0,-32.28782287822878,53.49194167305642,nxt_web_latest,NXT 체결가,2026-06-26 17:41 KST,,,2.68,60.46,23.31,44.0,6.94,10.6,15.85,26.19,34.15,91.78,720 -> 2579 -> 2648,2202.0,601.0,563.0,27.29,25.57,,,,,,16.42,91.78,2026-06-26,4.25,0,0,12,0,15,2,5,5,39,D,15
087010.KQ,087010,펩트론,38939,170000.0,273637.5,-37.87401215111233,386000.0,-55.95854922279793,31.044776119400396,nxt_web_latest,NXT 체결가,2026-06-26 17:41 KST,,,,,5.34,,28.55,-9.41,26.03,75.0,,,-,56.0,-213.0,-138.0,-380.36,-246.43,,,,,,,,2026-06-26,4.25,0,0,0,0,0,0,3,3,6,D,16
