yf_symbol,symbol,name,market_cap,price,ma200,diff,peak,peak_diff,rsi,price_source,price_basis,price_time,after_market_price,after_market_change_pct,eps_growth,hist_per_avg,foreign_supply,per,pbr,roe,debt_ratio,revenue_growth,operating_growth,eps_cagr,eps3y,revenue,operating_income,net_income,operating_margin,net_margin,operating_cashflow,free_cashflow,cash,total_debt,net_cash,dart_source,dart_year,dart_fs_div,dart_report_code,peg,cagr,data_date,us_10y_bond,score_per,score_pbr,score_roe,score_peg,score_cagr,score_eps3y,score_rsi,score_peak_diff,score,grade,rank
196170.KQ,196170,알테오젠,199877,372500.0,421097.5,-11.540676446666152,559000.0,-33.36314847942755,59.99999999999638,nxt_web_latest,NXT 체결가,2026-06-29 18:27 KST,,,124.85,217.44,14.6,73.0,39.92,39.42,53.76,109.82,320.87,,1171 -> 2633,2159.0,1069.0,1452.0,49.51,67.25,1241.27,907.09,663.81,2443.0,-1779.19,OpenDART,2025,CFS,11011,0.58,,2026-06-29,4.25,0,0,20,20,0,10,3,5,58,B,1
086520.KQ,086520,에코프로,160215,121500.0,113679.5,6.87942856891524,185000.0,-34.32432432432432,56.57568238212417,nxt_web_latest,NXT 체결가,2026-06-29 18:27 KST,,,,336.78,20.39,261.06,7.26,-8.39,117.92,9.11,,,-,34130.0,2138.0,-1055.0,6.26,-3.09,3390.76,-4729.89,11867.67,52913.98,-41046.31,OpenDART,2025,CFS,11011,,,2026-06-29,4.25,0,0,0,0,0,0,3,5,8,D,2
247540.KQ,247540,에코프로비엠,151148,158500.0,173285.5,-8.532450782090827,246000.0,-35.56910569105691,43.65924491770948,nxt_web_latest,NXT 체결가,2026-06-29 18:27 KST,,,,364.17,14.54,399.0,8.46,2.29,142.16,-8.5,,,-,25316.0,1433.0,916.0,5.66,3.62,2147.07,-2234.95,5185.48,28660.15,-23474.67,OpenDART,2025,CFS,11011,,,2026-06-29,4.25,0,0,0,0,0,0,5,5,10,D,3
277810.KQ,277810,레인보우로보틱스,100103,519000.0,537467.5,-3.436021712940782,880000.0,-41.02272727272727,34.582132564840094,nxt_web_latest,NXT 체결가,2026-06-29 18:27 KST,,,-33.64,3949.62,6.95,,75.32,1.07,7.08,76.68,,,110 -> 73,341.0,-25.0,14.0,-7.33,4.11,-92.86,-274.67,101.1,94.75,6.35,OpenDART,2025,CFS,11011,,,2026-06-29,4.25,0,0,0,0,0,0,3,5,8,D,4
240810.KQ,240810,원익IPS,78043,159600.0,92683.0,72.1998640527389,183300.0,-12.92962356792144,61.88207266229382,nxt_web_latest,NXT 체결가,2026-06-29 18:27 KST,,,304.73,46.26,16.67,45.0,7.88,9.05,20.06,21.6,596.23,,423 -> 1712,9098.0,738.0,840.0,8.11,9.23,1566.07,1245.35,1072.74,1946.21,-873.47,OpenDART,2025,CFS,11011,0.15,,2026-06-29,4.25,0,0,6,20,0,10,3,5,44,C,5
028300.KQ,028300,HLB,67931,51200.0,49832.5,2.744193046706467,95100.0,-46.16193480546793,54.44015444012501,nxt_web_latest,NXT 체결가,2026-06-29 18:27 KST,,,,,19.61,,16.33,-44.32,88.14,23.64,,,-,842.0,-1042.0,-2354.0,-123.75,-279.57,-925.88,-1101.21,409.83,4357.64,-3947.81,OpenDART,2025,CFS,11011,,,2026-06-29,4.25,0,0,0,0,0,0,5,3,8,D,6
058470.KQ,058470,리노공업,65008,86100.0,81809.5,5.244500944266864,127000.0,-32.20472440944882,35.39445628996812,nxt_web_latest,NXT 체결가,2026-06-29 18:27 KST,,,34.19,27.95,27.52,35.0,9.11,22.45,8.3,33.9,42.51,17.07,1455 -> 1486 -> 1994,3725.0,1770.0,1520.0,47.52,40.81,1794.69,1192.33,852.03,607.09,244.94,OpenDART,2025,OFS,11011,1.02,17.07,2026-06-29,4.25,0,0,20,10,12,10,5,5,62,B,7
141080.KQ,141080,리가켐바이오,60304,163400.0,169706.5,-3.716121657096222,213500.0,-23.466042154566743,68.08290155439427,nxt_web_latest,NXT 체결가,2026-06-29 18:27 KST,,,,483.55,9.89,-136.0,12.82,-13.22,29.7,12.47,,,-,1416.0,-1065.0,-916.0,-75.21,-64.69,-1245.33,-1305.74,986.5,1606.95,-620.45,OpenDART,2025,CFS,11011,,,2026-06-29,4.25,0,0,0,0,0,0,1,5,6,D,8
298380.KQ,298380,에이비엘바이오,59682,106700.0,148751.0,-28.269389785614884,245500.0,-56.537678207739305,59.44148936169106,nxt_web_latest,NXT 체결가,2026-06-29 18:27 KST,,,,,13.01,-105.0,33.04,-23.48,79.29,137.43,,,-,793.0,-404.0,-379.0,-50.95,-47.79,-412.53,-419.05,1119.82,1242.37,-122.55,OpenDART,2025,CFS,11011,,,2026-06-29,4.25,0,0,0,0,0,0,3,3,6,D,9
039030.KQ,039030,이오테크닉스,56238,460000.0,353084.0,30.280613111894056,612000.0,-24.836601307189543,52.558635394454726,nxt_web_latest,NXT 체결가,2026-06-29 18:27 KST,,,33.53,50.01,25.49,47.0,7.96,8.9,13.06,18.7,158.97,24.98,2973 -> 3478 -> 4644,3809.0,808.0,576.0,21.21,15.12,1002.88,962.08,2363.05,898.52,1464.53,OpenDART,2025,CFS,11011,1.4,24.98,2026-06-29,4.25,0,0,6,10,12,10,5,5,48,C,10
000250.KQ,000250,삼천당제약,55946,240500.0,376346.0,-36.096039283000216,1184000.0,-79.6875,48.77300613496513,nxt_web_latest,NXT 체결가,2026-06-29 18:27 KST,,,,1036.5,7.49,547.02,18.72,1.94,54.36,9.91,226.92,,-,2318.0,85.0,120.0,3.67,5.18,97.93,-497.95,959.44,1976.38,-1016.94,OpenDART,2025,CFS,11011,,,2026-06-29,4.25,0,0,0,0,0,0,5,1,6,D,11
319660.KQ,319660,피에스케이,51502,178000.0,64479.75,176.05566088578198,188200.0,-5.419766206163656,65.11450381678694,nxt_web_latest,NXT 체결가,2026-06-29 18:27 KST,,,-0.73,10.42,24.42,34.0,9.08,15.54,19.84,14.85,5.48,22.31,1813 -> 2732 -> 2712,4572.0,885.0,785.0,19.36,17.17,617.31,431.97,1194.22,1069.62,124.6,OpenDART,2025,CFS,11011,,22.31,2026-06-29,4.25,0,0,16,0,12,0,1,0,29,D,12
087010.KQ,087010,펩트론,46588,200000.0,273089.0,-26.76380227691339,386000.0,-48.18652849740933,37.836383207747424,nxt_web_latest,NXT 체결가,2026-06-29 18:27 KST,,,,,5.38,,34.15,-9.41,26.03,75.0,,,-,56.0,-213.0,-138.0,-380.36,-246.43,-205.86,-235.83,43.78,369.71,-325.93,OpenDART,2025,OFS,11011,,,2026-06-29,4.25,0,0,0,0,0,0,5,3,8,D,13
222800.KQ,222800,심텍,46567,125400.0,65078.75,92.68962603000212,134100.0,-6.487695749440715,55.145413870237455,nxt_web_latest,NXT 체결가,2026-06-29 18:27 KST,,,,,13.8,34.0,7.78,-32.1,181.13,14.55,,,-,14106.0,119.0,-1646.0,0.84,-11.67,-1986.12,-2550.05,539.84,10439.64,-9899.8,OpenDART,2025,CFS,11011,,,2026-06-29,4.25,0,0,0,0,0,0,3,0,3,D,14
