yf_symbol,symbol,name,market_cap,krx_source,price,ma200,diff,peak,peak_diff,rsi,price_source,price_basis,price_time,after_market_price,after_market_change_pct,eps_growth,hist_per_avg,foreign_supply,per,pbr,roe,debt_ratio,revenue_growth,operating_growth,eps_cagr,eps3y,revenue,operating_income,net_income,operating_margin,net_margin,operating_cashflow,free_cashflow,cash,total_debt,net_cash,dividend_yield,payout_ratio,dividend_per_share,dividend_total,dividend_source,dividend_growth_3y,dividend_consecutive_years,dividend_cut_flag,dividend_history_years,dividend_history_source,dividend_year,dividend_report_code,dart_source,dart_year,dart_fs_div,dart_report_code,peg,cagr,sector,industry,data_date,us_10y_bond,score_per,score_pbr,score_roe,score_peg,score_cagr,score_eps3y,score_rsi,score_peak_diff,score,grade,rank
196170.KQ,196170,알테오젠,193446,,363500.0,420627.5,-13.581494315041217,559000.0,-34.97316636851521,59.871244635189534,nxt_web_latest,NXT 체결가,2026-06-30 21:15 KST,,,124.85,217.44,14.59,70.0,38.63,39.42,53.76,109.82,320.87,,1171 -> 2633,2159.0,1069.0,1452.0,49.51,67.25,1241.27,907.09,663.81,2443.0,-1779.19,0.1,14.1,371.0,200.03,OpenDART,,1.0,False,1.0,OpenDART,2025.0,11011,OpenDART,2025,CFS,11011,0.56,,,,2026-06-30,4.25,0,0,20,20,0,10,3,5,58,B,1
086520.KQ,086520,에코프로,144737,,94900.0,113963.0,-16.727358879636373,185000.0,-48.7027027027027,50.38674033148392,nxt_web_latest,NXT 체결가,2026-06-30 21:15 KST,,,,336.78,20.32,235.84,6.56,-8.39,117.92,9.11,,,-,34130.0,2138.0,-1055.0,6.26,-3.09,3390.76,-4729.89,11867.67,52913.98,-41046.31,0.2,-13.56,150.0,203.1,OpenDART,-29.61,4.0,True,4.0,OpenDART,2025.0,11011,OpenDART,2025,CFS,11011,,,,,2026-06-30,4.25,0,0,0,0,0,0,5,3,8,D,2
247540.KQ,247540,에코프로비엠,139408,,124100.0,173398.5,-28.43075343789018,246000.0,-49.552845528455286,40.19607843136753,nxt_web_latest,NXT 체결가,2026-06-30 21:15 KST,,,,364.17,14.5,368.0,7.8,2.29,142.16,-8.5,,,-,25316.0,1433.0,916.0,5.66,3.62,2147.07,-2234.95,5185.48,28660.15,-23474.67,0.05,24.85,100.0,97.82,OpenDART,-67.03,3.0,True,3.0,OpenDART,2025.0,11011,OpenDART,2025,CFS,11011,,,,,2026-06-30,4.25,0,0,0,0,0,0,5,3,8,D,3
277810.KQ,277810,레인보우로보틱스,100685,,521000.0,538722.5,-3.289727085837328,880000.0,-40.79545454545455,37.84615384615222,nxt_web_latest,NXT 체결가,2026-06-30 21:15 KST,,,-33.64,3949.62,6.91,,75.76,1.07,7.08,76.68,,,110 -> 73,341.0,-25.0,14.0,-7.33,4.11,-92.86,-274.67,101.1,94.75,6.35,,,,,,,,,,,,,OpenDART,2025,CFS,11011,,,,,2026-06-30,4.25,0,0,0,0,0,0,5,5,10,D,4
036930.KQ,036930,주성엔지니어링,93427,,201000.0,73100.0,174.9658002735978,250500.0,-19.760479041916167,50.573394495408785,daily_close,NXT 미확인,2026-06-30 21:24 KST,,,-66.22,32.8,8.08,,15.65,6.17,50.37,-24.11,-67.8,3.49,705 -> 2235 -> 755,3107.0,313.0,357.0,10.07,11.49,-306.78,,1643.84,2974.36,-1330.52,0.19,6.79,53.0,24.22,OpenDART,-41.52,3.0,True,3.0,OpenDART,2025.0,11011,OpenDART,2025,CFS,11011,,3.49,,,2026-06-30,4.25,0,0,6,0,4,0,5,5,20,D,5
240810.KQ,240810,원익IPS,82510,,168600.0,93327.0,80.65511588286348,183300.0,-8.01963993453355,64.71935853378633,nxt_web_latest,NXT 체결가,2026-06-30 21:15 KST,,,304.73,46.26,16.36,48.0,8.33,9.05,20.06,21.6,596.23,,423 -> 1712,9098.0,738.0,840.0,8.11,9.23,1566.07,1245.35,1072.74,1946.21,-873.47,0.3,11.6,200.0,97.31,OpenDART,-12.64,4.0,True,4.0,OpenDART,2025.0,11011,OpenDART,2025,CFS,11011,0.16,,,,2026-06-30,4.25,0,0,6,20,0,10,3,0,39,D,6
950160.KQ,950160,코오롱티슈진,79459,,93600.0,82166.75,13.914691770089483,138800.0,-32.564841498559076,43.69918699185749,daily_close,NXT 미확인,2026-06-30 21:24 KST,,,,,4.65,,63.07,-183.43,561.65,1.96,,,-,52.0,-223.0,-1926.0,-428.85,-3703.85,-0.17,-1.0,0.47,2.51,-2.04,,,,,,,,,,,,,OpenDART,2025,OFS,11011,,,,,2026-06-30,4.25,0,0,0,0,0,0,5,5,10,D,7
028300.KQ,028300,HLB,69263,,51700.0,49899.0,3.609290767350047,95100.0,-45.63617245005258,56.554307116075215,nxt_web_latest,NXT 체결가,2026-06-30 21:15 KST,,,,,19.72,,16.65,-44.32,88.14,23.64,,,-,842.0,-1042.0,-2354.0,-123.75,-279.57,-925.88,-1101.21,409.83,4357.64,-3947.81,,,,,,,,,,,,,OpenDART,2025,CFS,11011,,,,,2026-06-30,4.25,0,0,0,0,0,0,3,3,6,D,8
058470.KQ,058470,리노공업,64017,,84300.0,81998.25,2.8070721021485214,127000.0,-33.62204724409449,39.336492890982214,nxt_web_latest,NXT 체결가,2026-06-30 21:15 KST,,,34.19,27.95,27.7,34.0,8.97,22.45,8.3,33.9,42.51,17.07,1455 -> 1486 -> 1994,3725.0,1770.0,1520.0,47.52,40.81,1794.69,1192.33,852.03,607.09,244.94,1.31,39.96,800.0,607.16,OpenDART,-24.79,5.0,True,5.0,OpenDART,2025.0,11011,OpenDART,2025,OFS,11011,0.99,17.07,,,2026-06-30,4.25,0,0,20,16,12,10,5,5,68,B,9
039030.KQ,039030,이오테크닉스,58641,,479000.0,354481.0,35.12712952175152,612000.0,-21.73202614379085,53.93374741200672,nxt_web_latest,NXT 체결가,2026-06-30 21:15 KST,,,33.53,50.01,25.55,49.0,8.3,8.9,13.06,18.7,158.97,24.98,2973 -> 3478 -> 4644,3809.0,808.0,576.0,21.21,15.12,1002.88,962.08,2363.05,898.52,1464.53,,,,,,-25.46,3.0,True,3.0,OpenDART,,,OpenDART,2025,CFS,11011,1.46,24.98,,,2026-06-30,4.25,0,0,6,10,12,10,5,5,48,C,10
