yf_symbol,symbol,name,market_cap,listing_department,products,krx_market,security_group,krx_source,price,ma200,diff,peak,peak_diff,rsi,price_source,price_basis,price_time,after_market_price,after_market_change_pct,eps_growth,hist_per_avg,foreign_supply,per,pbr,roe,debt_ratio,revenue_growth,operating_growth,eps_cagr,eps3y,revenue,operating_income,net_income,operating_margin,net_margin,operating_cashflow,free_cashflow,cash,total_debt,net_cash,dividend_yield,payout_ratio,dividend_per_share,dividend_total,dividend_source,dividend_growth_3y,dividend_consecutive_years,dividend_cut_flag,analyst_buy_ratio,consensus_revision,target_mean,target_high,target_low,target_upside,earnings_surprise_pct,finnhub_source,peg,dividend_year,dividend_report_code,dividend_history_years,dividend_history_source,cagr,dart_source,dart_year,dart_fs_div,dart_report_code,sector,industry,peer_per_avg,peer_pbr_avg,peer_roe_avg,peer_group_count,peer_per_gap,peer_pbr_gap,data_date,us_10y_bond,score_per,score_pbr,score_roe,score_peg,score_cagr,score_eps3y,score_rsi,score_peak_diff,score,grade,rank
196170.KQ,196170,알테오젠,188355,우량기업부,바이오시밀러 및 바이오베터,KOSDAQ,주권,KRX,351000.0,419545.0,-16.337937527559617,559000.0,-37.2093023255814,53.61596009974688,nxt_web_latest,NXT 체결가,2026-07-02 21:29 KST,,,124.85,217.44,14.37,70.0,38.31,39.42,53.76,109.82,320.87,,1171 -> 2633,2159.0,1069.0,1452.0,49.51,67.25,1241.27,907.09,663.81,2443.0,-1779.19,0.11,14.1,371.0,200.03,OpenDART,,1.0,False,,,,,,,,,0.56,2025.0,11011.0,1.0,OpenDART,,,,,,자연과학 및 공학 연구개발업,자연과학 및 공학 연구개발업,229.93,35.64,-25.01,9,-69.56,7.49,2026-07-02,4.25,0,0,20,20,0,10,5,5,60,B,1
247540.KQ,247540,에코프로비엠,122777,중견기업부,양극활물질,KOSDAQ,주권,KRX,122900.0,173499.5,-29.16406099153023,246000.0,-50.040650406504064,31.9545823195422,nxt_web_latest,NXT 체결가,2026-07-02 21:29 KST,,,,364.17,14.54,343.0,7.27,2.29,142.16,-8.5,,,-,25316.0,1433.0,916.0,5.66,3.62,2147.07,-2234.95,5185.48,28660.15,-23474.67,0.08,24.85,100.0,97.82,OpenDART,-67.03,3.0,True,,,,,,,,,,2025.0,11011.0,3.0,OpenDART,,,,,,일차전지 및 이차전지 제조업,일차전지 및 이차전지 제조업,183.5,6.4,10.42,2,,,2026-07-02,4.25,0,0,0,0,0,0,3,3,6,D,2
086520.KQ,086520,에코프로,117989,중견기업부,"환경소재,화학필터,이차전지소재등",KOSDAQ,주권,KRX,85100.0,114361.5,-25.586845223261324,185000.0,-54.0,35.65737051792331,nxt_web_latest,NXT 체결가,2026-07-02 21:29 KST,,,,336.78,19.42,205.75,5.73,-8.39,117.92,9.11,,,-,34130.0,2138.0,-1055.0,6.26,-3.09,3390.76,-4729.89,11867.67,52913.98,-41046.31,0.18,-13.56,150.0,203.1,OpenDART,-29.61,4.0,True,,,,,,,,,,2025.0,11011.0,4.0,OpenDART,,,,,,기타 금융업,기타 금융업,78.03,2.9,2.46,3,163.68,97.59,2026-07-02,4.25,0,0,0,0,0,0,5,3,8,D,3
036930.KQ,036930,주성엔지니어링,105744,우량기업부,LP CVD,KOSDAQ,주권,KRX,227500.0,75180.5,202.60506381308983,250500.0,-9.181636726546904,48.9638839549989,daily_close,NXT 미확인,2026-07-02 21:37 KST,,,-66.22,32.8,7.84,,18.84,6.17,50.37,-24.11,-67.8,3.49,705 -> 2235 -> 755,3107.0,313.0,357.0,10.07,11.49,-306.78,,1643.84,2974.36,-1330.52,0.02,6.79,53.0,24.22,OpenDART,-41.52,3.0,True,,,,,,,,,,2025.0,11011.0,3.0,OpenDART,3.49,OpenDART,2025.0,CFS,11011.0,특수 목적용 기계 제조업,특수 목적용 기계 제조업,95.83,12.36,9.11,20,,52.43,2026-07-02,4.25,0,0,6,0,4,0,5,0,15,D,4
277810.KQ,277810,레인보우로보틱스,94089,기술성장기업부,"협동로봇, 천문마운트시스템, 이족보행로봇 등",KOSDAQ,주권,KRX,484000.0,540987.5,-10.533977217588207,880000.0,-45.0,29.129129129127904,nxt_web_latest,NXT 체결가,2026-07-02 21:29 KST,,,-33.64,3949.62,6.78,,75.76,1.07,7.08,76.68,,,110 -> 73,341.0,-25.0,14.0,-7.33,4.11,-92.86,-274.67,101.1,94.75,6.35,,,,,,,,,,,,,,,,,,,,,,,OpenDART,2025.0,CFS,11011.0,특수 목적용 기계 제조업,특수 목적용 기계 제조업,95.83,12.36,9.11,20,,512.94,2026-07-02,4.25,0,0,0,0,0,0,3,3,6,D,5
950160.KQ,950160,코오롱티슈진,73941,외국기업(소속부없음),골관절염 치료제,KOSDAQ,주식예탁증권,KRX,87100.0,82694.75,5.327121733846465,138800.0,-37.247838616714695,35.124760076765995,daily_close,NXT 미확인,2026-07-02 21:37 KST,,,,,4.92,,62.67,-183.43,561.65,1.96,,,-,52.0,-223.0,-1926.0,-428.85,-3703.85,-0.17,-1.0,0.47,2.51,-2.04,,,,,,,,,,,,,,,,,,,,,,,OpenDART,2025.0,OFS,11011.0,기초 의약물질 제조업,기초 의약물질 제조업,97.08,22.77,-33.24,8,,175.23,2026-07-02,4.25,0,0,0,0,0,0,5,5,10,D,6
240810.KQ,240810,원익IPS,64594,우량기업부,반도체 제조용 기계,KOSDAQ,주권,KRX,131600.0,94430.75,39.361383871249565,183300.0,-28.205128205128204,32.11072664359551,daily_close,NXT 미확인,2026-07-02 21:37 KST,,,304.73,46.26,17.47,47.0,8.2,9.05,20.06,21.6,596.23,,423 -> 1712,9098.0,738.0,840.0,8.11,9.23,1566.07,1245.35,1072.74,1946.21,-873.47,0.15,11.6,200.0,97.31,OpenDART,-12.64,4.0,True,,,,,,,,,0.15,2025.0,11011.0,4.0,OpenDART,,,,,,특수 목적용 기계 제조업,특수 목적용 기계 제조업,95.83,12.36,9.11,20,-50.95,-33.66,2026-07-02,4.25,0,0,6,20,0,10,3,5,44,C,7
028300.KQ,028300,HLB,63069,중견기업부,"의료기기, 의약외품 등",KOSDAQ,주권,KRX,47250.0,49992.75,-5.486295512849363,95100.0,-50.315457413249206,52.15889464591606,nxt_web_latest,NXT 체결가,2026-07-02 21:29 KST,,,,,19.71,,16.07,-44.32,88.14,23.64,,,-,842.0,-1042.0,-2354.0,-123.75,-279.57,-925.88,-1101.21,409.83,4357.64,-3947.81,,,,,,,,,,,,,,,,,,,,,,,OpenDART,2025.0,CFS,11011.0,의료용품 및 기타 의약 관련제품 제조업,의료용품 및 기타 의약 관련제품 제조업,21.42,7.81,-4.21,3,,105.76,2026-07-02,4.25,0,0,0,0,0,0,5,3,8,D,8
058470.KQ,058470,리노공업,57235,우량기업부,"리노핀, 반도체 소켓 등",KOSDAQ,주권,KRX,74600.0,82328.75,-9.387668341861136,127000.0,-41.25984251968504,12.878787878783328,nxt_web_latest,NXT 체결가,2026-07-02 21:29 KST,,,34.19,27.95,28.16,33.0,8.72,22.45,8.3,33.9,42.51,17.07,1455 -> 1486 -> 1994,3725.0,1770.0,1520.0,47.52,40.81,1794.69,1192.33,852.03,607.09,244.94,1.07,39.96,800.0,607.16,OpenDART,-24.79,5.0,True,,,,,,,,,0.97,2025.0,11011.0,5.0,OpenDART,17.07,,,,,전자부품 제조업,전자부품 제조업,49.52,5.95,5.05,7,-33.36,46.55,2026-07-02,4.25,0,0,20,16,12,10,1,5,64,B,9
298380.KQ,298380,에이비엘바이오,54307,기술성장기업부,항체의약품 연구개발,KOSDAQ,주권,KRX,97200.0,148839.0,-34.69453570636728,245500.0,-60.40733197556008,53.6107711138219,nxt_web_latest,NXT 체결가,2026-07-02 21:29 KST,,,,,12.9,-100.0,31.46,-23.48,79.29,137.43,,,-,793.0,-404.0,-379.0,-50.95,-47.79,-412.53,-419.05,1119.82,1242.37,-122.55,,,,,,,,,,,,,,,,,,,,,,,OpenDART,2025.0,CFS,11011.0,기초 의약물질 제조업,기초 의약물질 제조업,97.08,22.77,-33.24,8,,38.16,2026-07-02,4.25,0,0,0,0,0,0,5,1,6,D,10
319660.KQ,319660,피에스케이,53009,우량기업부,"드라이스트립, 드라이클리닝",KOSDAQ,주권,KRX,185900.0,67084.0,177.11525848190328,211500.0,-12.10401891252955,54.05572755417487,nxt_web_latest,NXT 체결가,2026-07-02 21:29 KST,,,-0.73,10.42,23.99,40.0,10.81,15.54,19.84,14.85,5.48,22.31,1813 -> 2732 -> 2712,4572.0,885.0,785.0,19.36,17.17,617.31,431.97,1194.22,1069.62,124.6,0.37,25.1,680.0,196.97,OpenDART,3.18,5.0,True,,,,,,,,,,2025.0,11011.0,5.0,OpenDART,22.31,,,,,특수 목적용 기계 제조업,특수 목적용 기계 제조업,95.83,12.36,9.11,20,-58.26,-12.54,2026-07-02,4.25,0,0,16,0,12,0,5,5,38,D,11
141080.KQ,141080,리가켐바이오,52900,기술성장기업부,ADC 신약연구개발,KOSDAQ,주권,KRX,142600.0,169727.5,-15.982972706249724,213500.0,-33.20843091334895,56.56759348033757,nxt_web_latest,NXT 체결가,2026-07-02 21:29 KST,,,,483.55,9.44,-129.0,11.81,-13.22,29.7,12.47,,,-,1416.0,-1065.0,-916.0,-75.21,-64.69,-1245.33,-1305.74,986.5,1606.95,-620.45,,,,,,,,,,,,,,,,,,,,,,,OpenDART,2025.0,CFS,11011.0,자연과학 및 공학 연구개발업,자연과학 및 공학 연구개발업,229.93,35.64,-25.01,9,,-66.86,2026-07-02,4.25,0,0,0,0,0,0,3,5,8,D,12
