yf_symbol,symbol,name,market_cap,listing_department,products,krx_market,security_group,krx_source,price,ma200,diff,peak,peak_diff,rsi,return_20d,return_60d,price_source,price_basis,price_time,after_market_price,after_market_change_pct,eps_growth,hist_per_avg,foreign_supply,per,pbr,roe,debt_ratio,revenue_growth,operating_growth,eps_cagr,eps3y,revenue,operating_income,net_income,operating_margin,net_margin,operating_cashflow,free_cashflow,cash,total_debt,net_cash,dividend_yield,payout_ratio,dividend_per_share,dividend_total,dividend_source,dividend_growth_3y,dividend_consecutive_years,dividend_cut_flag,analyst_buy_ratio,consensus_revision,target_mean,target_high,target_low,target_upside,earnings_surprise_pct,finnhub_source,cashflow_status,financial_currency,fundamental_refreshed_at,dart_year,dart_fs_div,dart_report_code,dart_source,peg,dividend_year,dividend_report_code,dividend_history_years,dividend_history_source,peer_per_avg,peer_pbr_avg,peer_roe_avg,peer_group_count,peer_per_gap,peer_pbr_gap,cagr,sector,industry,peer_per_count,peer_pbr_count,peer_roe_count,data_date,us_10y_bond,score_per,score_pbr,score_roe,score_peg,score_cagr,score_eps3y,score_rsi,score_peak_diff,score,grade,rank
196170.KQ,196170,알테오젠,169600,우량기업부,바이오시밀러 및 바이오베터,KOSDAQ,주권,KRX,308500.0,414125.0,-25.505584062782976,559000.0,-44.81216457960644,46.25850340135761,-11.6,-12.61,nxt_web_latest,NXT 체결가,2026-07-13 22:38 KST,,,124.85,217.44,14.37,70.0,38.31,39.42,53.76,109.82,320.87,,1171 -> 2633,2159.0,1069.0,1452.0,49.51,67.25,1241.27,907.09,663.81,2443.0,-1779.19,0.12,14.1,371.0,200.03,OpenDART,,1.0,False,,,,,,,,,,,,,,,,0.56,2025.0,11011.0,1.0,OpenDART,,25.72,-31.49,8,,48.95,,자연과학 및 공학 연구개발업,자연과학 및 공학 연구개발업,1,7,7,2026-07-13,4.58,0,0,20,20,0,10,5,5,60,B,1
247540.KQ,247540,에코프로비엠,117200,중견기업부,양극활물질,KOSDAQ,주권,KRX,119200.0,173556.0,-31.31899790269423,246000.0,-51.54471544715447,33.81893860561422,-36.09,-39.74,nxt_web_latest,NXT 체결가,2026-07-13 22:38 KST,,,,364.17,14.54,343.0,7.27,2.29,142.16,-8.5,,,-,25316.0,1433.0,916.0,5.66,3.62,2147.07,-2234.95,5185.48,28660.15,-23474.67,0.08,24.85,100.0,97.82,OpenDART,-67.03,3.0,True,,,,,,,,,,,,,,,,,2025.0,11011.0,3.0,OpenDART,,,,2,,,,일차전지 및 이차전지 제조업,일차전지 및 이차전지 제조업,1,1,1,2026-07-13,4.58,0,0,0,0,0,0,3,3,6,D,2
086520.KQ,086520,에코프로,113508,중견기업부,"환경소재,화학필터,이차전지소재등",KOSDAQ,주권,KRX,82700.0,115551.5,-28.430180482295775,185000.0,-55.2972972972973,39.269911504418694,-33.31,-42.65,nxt_web_latest,NXT 체결가,2026-07-13 22:38 KST,,,,336.78,19.42,205.75,5.73,-8.39,117.92,9.11,,,-,34130.0,2138.0,-1055.0,6.26,-3.09,3390.76,-4729.89,11867.67,52913.98,-41046.31,0.18,-13.56,150.0,203.1,OpenDART,-29.61,4.0,True,,,,,,,,,,,,,,,,,2025.0,11011.0,4.0,OpenDART,,,,3,,,,기타 금융업,기타 금융업,2,2,2,2026-07-13,4.58,0,0,0,0,0,0,5,3,8,D,3
036930.KQ,036930,주성엔지니어링,84828,우량기업부,LP CVD,KOSDAQ,주권,KRX,182500.0,80509.0,126.68273112322845,250500.0,-27.14570858283433,49.61062757672609,-18.89,186.95,daily_close,NXT 미확인,2026-07-13 22:48 KST,,,-66.22,32.8,7.84,,18.84,6.17,50.37,-24.11,-67.8,3.49,705 -> 2235 -> 755,3107.0,313.0,357.0,10.07,11.49,-306.78,,1643.84,2974.36,-1330.52,0.03,6.79,53.0,24.22,OpenDART,-41.52,3.0,True,,,,,,,,,,KRW,,2025.0,CFS,11011.0,OpenDART,,2025.0,11011.0,3.0,OpenDART,41.0,8.74,8.16,21,,115.56,3.49,특수 목적용 기계 제조업,특수 목적용 기계 제조업,16,20,20,2026-07-13,4.58,0,0,6,0,4,0,5,5,20,D,4
277810.KQ,277810,레인보우로보틱스,80509,기술성장기업부,"협동로봇, 천문마운트시스템, 이족보행로봇 등",KOSDAQ,주권,KRX,415000.0,546875.0,-24.114285714285714,880000.0,-52.84090909090909,32.879377431904814,-37.12,-31.18,nxt_web_latest,NXT 체결가,2026-07-13 22:38 KST,,,-33.64,3949.62,6.94,,60.58,1.07,7.08,76.68,,,110 -> 73,341.0,-25.0,14.0,-7.33,4.11,-92.86,-274.67,101.1,94.75,6.35,,,,,,,,,,,,,,,,,,KRW,2026-07-13,2025.0,CFS,11011,OpenDART,,,,,,41.0,8.74,8.16,21,,593.14,,특수 목적용 기계 제조업,특수 목적용 기계 제조업,16,20,20,2026-07-13,4.58,0,0,0,0,0,0,3,3,6,D,5
950160.KQ,950160,코오롱티슈진,65087,외국기업(소속부없음),골관절염 치료제,KOSDAQ,주식예탁증권,KRX,76600.0,84224.0,-9.052051671732523,138800.0,-44.81268011527377,34.29054054053243,-26.91,-19.79,daily_close,NXT 미확인,2026-07-13 22:48 KST,,,,,5.01,,51.62,-183.43,561.65,1.96,,,-,52.0,-223.0,-1926.0,-428.85,-3703.85,-0.17,-1.0,0.47,2.51,-2.04,,,,,,,,,,,,,,,,,외화 공시 환산 필요,USD,2026-07-13,2025.0,OFS,11011,OpenDART,,,,,,,17.37,-9.41,8,,197.18,,기초 의약물질 제조업,기초 의약물질 제조업,2,7,7,2026-07-13,4.58,0,0,0,0,0,0,3,5,8,D,6
240810.KQ,240810,원익IPS,61256,우량기업부,반도체 제조용 기계,KOSDAQ,주권,KRX,124800.0,97119.5,28.501485283593926,183300.0,-31.914893617021278,39.32489451476328,-28.48,2.3,daily_close,NXT 미확인,2026-07-13 22:48 KST,,,304.73,46.26,17.47,47.0,8.2,9.05,20.06,21.6,596.23,,423 -> 1712,9098.0,738.0,840.0,8.11,9.23,1566.07,1245.35,1072.74,1946.21,-873.47,0.16,11.6,200.0,97.31,OpenDART,-12.64,4.0,True,,,,,,,,,,,,,,,,0.15,2025.0,11011.0,4.0,OpenDART,40.0,9.18,6.8,21,17.5,-10.68,,특수 목적용 기계 제조업,특수 목적용 기계 제조업,15,20,20,2026-07-13,4.58,0,0,6,20,0,10,5,5,46,C,7
058470.KQ,058470,리노공업,55101,우량기업부,"리노핀, 반도체 소켓 등",KOSDAQ,주권,KRX,74400.0,83189.75,-10.565905054408747,127000.0,-41.41732283464567,33.593749999987764,-23.14,-33.33,nxt_web_latest,NXT 체결가,2026-07-13 22:38 KST,,,34.19,27.95,28.16,33.0,8.72,22.45,8.3,33.9,42.51,17.07,1455 -> 1486 -> 1994,3725.0,1770.0,1520.0,47.52,40.81,1794.69,1192.33,852.03,607.09,244.94,1.08,39.96,800.0,607.16,OpenDART,-24.79,5.0,True,,,,,,,,,,,,,,,,0.97,2025.0,11011.0,5.0,OpenDART,19.58,4.23,0.24,8,68.54,106.15,17.07,전자부품 제조업,전자부품 제조업,5,7,7,2026-07-13,4.58,0,0,20,16,12,10,3,5,66,B,8
319660.KQ,319660,피에스케이,53472,우량기업부,"드라이스트립, 드라이클리닝",KOSDAQ,주권,KRX,191200.0,72173.25,164.91809638612645,211500.0,-9.598108747044916,57.09401709401254,15.39,134.6,nxt_web_latest,NXT 체결가,2026-07-13 22:38 KST,,,-0.73,10.42,23.99,40.0,10.81,15.54,19.84,14.85,5.48,22.31,1813 -> 2732 -> 2712,4572.0,885.0,785.0,19.36,17.17,617.31,431.97,1194.22,1069.62,124.6,0.36,25.1,680.0,196.97,OpenDART,3.18,5.0,True,,,,,,,,,,,,,,,,,2025.0,11011.0,5.0,OpenDART,42.0,8.74,6.8,21,-4.76,23.68,22.31,특수 목적용 기계 제조업,특수 목적용 기계 제조업,15,20,20,2026-07-13,4.58,0,0,16,0,12,0,3,0,31,D,9
039030.KQ,039030,이오테크닉스,44288,우량기업부,레이저 마커 및 레이저 응용기기,KOSDAQ,주권,KRX,365000.0,362247.5,0.7598396124196855,612000.0,-40.35947712418301,33.605220228383445,-31.26,-24.2,nxt_web_latest,NXT 체결가,2026-07-13 22:38 KST,,,33.53,50.01,27.12,44.0,7.58,8.9,13.06,18.7,158.97,24.98,2973 -> 3478 -> 4644,3809.0,808.0,576.0,21.21,15.12,1002.88,962.08,2363.05,898.52,1464.53,,,,,,-25.46,3.0,True,,,,,,,,,,KRW,,2025.0,CFS,11011.0,OpenDART,1.31,,,3.0,OpenDART,40.0,9.18,6.8,21,10.0,-17.43,24.98,특수 목적용 기계 제조업,특수 목적용 기계 제조업,15,20,20,2026-07-13,4.58,0,0,6,10,12,10,3,5,46,C,10
298380.KQ,298380,에이비엘바이오,44286,기술성장기업부,항체의약품 연구개발,KOSDAQ,주권,KRX,79400.0,148277.5,-46.45175431201632,245500.0,-67.65784114052953,41.46981627295827,-17.21,-49.07,nxt_web_latest,NXT 체결가,2026-07-13 22:38 KST,,,,,12.88,-78.0,24.52,-23.48,79.29,137.43,,,-,793.0,-404.0,-379.0,-50.95,-47.79,-412.53,-419.05,1119.82,1242.37,-122.55,,,,,,,,,,,,,,,,,,KRW,2026-07-13,2025.0,CFS,11011,OpenDART,,,,,,,17.37,-9.41,8,,41.16,,기초 의약물질 제조업,기초 의약물질 제조업,2,7,7,2026-07-13,4.58,0,0,0,0,0,0,5,1,6,D,11
000250.KQ,000250,삼천당제약,43372,중견기업부,"하메론, 아토로우",KOSDAQ,주권,KRX,185000.0,376514.0,-50.86504087497411,1184000.0,-84.375,38.359469240045016,-30.45,-64.42,nxt_web_latest,NXT 체결가,2026-07-13 22:38 KST,,,,1036.5,7.44,512.61,17.54,1.94,54.36,9.91,226.92,,-,2318.0,85.0,120.0,3.67,5.18,97.93,-497.95,959.44,1976.38,-1016.94,0.03,22.1,50.0,11.63,OpenDART,-75.0,2.0,True,,,,,,,,,,,,,,,,,2025.0,11011.0,2.0,OpenDART,25.31,4.34,9.66,7,1925.33,304.15,,의약품 제조업,의약품 제조업,5,6,6,2026-07-13,4.58,0,0,0,0,0,0,5,1,6,D,12
141080.KQ,141080,리가켐바이오,41943,기술성장기업부,ADC 신약연구개발,KOSDAQ,주권,KRX,113300.0,168754.0,-32.860850705761045,213500.0,-46.93208430913349,39.83539094649747,-14.68,-37.4,nxt_web_latest,NXT 체결가,2026-07-13 22:38 KST,,,,483.55,9.57,-70.0,8.92,-13.22,29.7,12.47,,,-,1416.0,-1065.0,-916.0,-75.21,-64.69,-1245.33,-1305.74,986.5,1606.95,-620.45,,,,,,,,,,,,,,,,,,KRW,2026-07-13,2025.0,CFS,11011,OpenDART,,,,,,,37.57,-31.49,8,,-76.26,,자연과학 및 공학 연구개발업,자연과학 및 공학 연구개발업,2,7,7,2026-07-13,4.58,0,0,0,0,0,0,5,3,8,D,13
222800.KQ,222800,심텍,40498,중견기업부,반도체용 인쇄회로기판,KOSDAQ,주권,KRX,109700.0,69963.75,56.795483375319364,157300.0,-30.260648442466625,45.584045584041036,-18.2,65.46,nxt_web_latest,NXT 체결가,2026-07-13 22:38 KST,,,,,10.38,28.0,6.77,-32.1,181.13,14.55,,,-,14106.0,119.0,-1646.0,0.84,-11.67,-1986.12,-2550.05,539.84,10439.64,-9899.8,0.09,,100.0,37.33,OpenDART,-41.52,5.0,True,,,,,,,,,,KRW,2026-07-13,2025.0,CFS,11011,OpenDART,,2025.0,11011,5.0,OpenDART,19.58,4.23,8.6,8,43.0,60.05,,전자부품 제조업,전자부품 제조업,5,7,7,2026-07-13,4.58,0,0,0,0,0,0,5,5,10,D,14
