yf_symbol,symbol,name,market_cap,listing_department,products,krx_market,security_group,krx_source,price,ma200,diff,peak,peak_diff,rsi,return_20d,return_60d,price_source,price_basis,price_time,after_market_price,after_market_change_pct,eps_growth,hist_per_avg,foreign_supply,per,pbr,roe,debt_ratio,revenue_growth,operating_growth,eps_cagr,eps3y,revenue,operating_income,net_income,operating_margin,net_margin,operating_cashflow,free_cashflow,cash,total_debt,net_cash,dividend_yield,payout_ratio,dividend_per_share,dividend_total,dividend_source,dividend_growth_3y,dividend_consecutive_years,dividend_cut_flag,dividend_history_years,dividend_history_source,analyst_buy_ratio,analyst_opinion_score,analyst_opinion_count,consensus_revision,target_mean,target_high,target_low,target_upside,earnings_surprise_pct,finnhub_source,consensus_source,cashflow_status,financial_currency,fundamental_refreshed_at,dart_year,dart_fs_div,dart_report_code,dart_source,peg,dividend_year,dividend_report_code,peer_pbr_avg,peer_roe_avg,peer_group_count,peer_per_count,peer_pbr_count,peer_roe_count,peer_pbr_gap,peer_per_avg,peer_per_gap,cagr,sector,industry,data_date,us_10y_bond,score_per,score_pbr,score_roe,score_peg,score_cagr,score_eps3y,score_rsi,score_peak_diff,score,grade,rank
196170.KQ,196170,알테오젠,149773,우량기업부,바이오시밀러 및 바이오베터,KOSDAQ,주권,KRX,285500.0,413065.0,-30.882548751407164,559000.0,-48.92665474060823,28.995433789952486,-19.01,-23.46,nxt_web_latest,NXT 체결가,2026-07-14 21:52 KST,,,124.85,217.44,14.37,70.0,38.31,39.42,53.76,109.82,320.87,,1171 -> 2633,2159.0,1069.0,1452.0,49.51,67.25,1241.27,907.09,663.81,2443.0,-1779.19,0.13,14.1,371.0,200.03,OpenDART,,1.0,False,1.0,OpenDART,,,,,,,,,,,,,,,,,,,0.56,2025.0,11011.0,19.05,-31.49,8,1,7,7,101.1,,,,자연과학 및 공학 연구개발업,자연과학 및 공학 연구개발업,2026-07-14,4.57,0,0,20,20,0,10,3,3,56,B,1
247540.KQ,247540,에코프로비엠,110157,중견기업부,양극활물질,KOSDAQ,주권,KRX,114200.0,173514.0,-34.1839851539357,246000.0,-53.577235772357724,30.38348082595452,-36.38,-43.6,nxt_web_latest,NXT 체결가,2026-07-14 21:52 KST,,,,364.17,14.54,343.0,7.27,2.29,142.16,-8.5,,,-,25316.0,1433.0,916.0,5.66,3.62,2147.07,-2234.95,5185.48,28660.15,-23474.67,0.09,24.85,100.0,97.82,OpenDART,-67.03,3.0,True,3.0,OpenDART,,,,,,,,,,,,,,,,,,,,2025.0,11011.0,,,2,1,1,1,,,,,일차전지 및 이차전지 제조업,일차전지 및 이차전지 제조업,2026-07-14,4.57,0,0,0,0,0,0,3,3,6,D,2
086520.KQ,086520,에코프로,107398,중견기업부,"환경소재,화학필터,이차전지소재등",KOSDAQ,주권,KRX,79900.0,115699.5,-30.941793179745808,185000.0,-56.81081081081081,34.14634146340933,-34.83,-45.98,nxt_web_latest,NXT 체결가,2026-07-14 21:52 KST,,,,336.78,19.1,175.0,4.87,-8.39,117.92,9.11,,,-,34130.0,2138.0,-1055.0,6.26,-3.09,3390.76,-4729.89,11867.67,52913.98,-41046.31,0.19,-13.56,150.0,203.1,OpenDART,-29.61,2.0,True,4.0,OpenDART,,,,,,,,,,,,,KRW,2026-07-14,2025.0,CFS,11011,OpenDART,,2025.0,11011,,,3,2,2,2,,,,,기타 금융업,기타 금융업,2026-07-14,4.57,0,0,0,0,0,0,3,3,6,D,3
036930.KQ,036930,주성엔지니어링,89522,우량기업부,LP CVD,KOSDAQ,주권,KRX,192600.0,81323.25,136.83264011214504,250500.0,-23.11377245508982,52.250661959396595,-14.97,172.8,daily_close,NXT 미확인,2026-07-14 22:01 KST,,,-66.22,32.8,7.0,,15.0,6.17,50.37,-24.11,-67.8,3.49,705 -> 2235 -> 755,3107.0,313.0,357.0,10.07,11.49,-306.78,,1643.84,2974.36,-1330.52,0.03,6.79,53.0,24.22,OpenDART,-41.52,2.0,True,3.0,OpenDART,,3.5,,,189500.0,,,-1.61,,,Naver/FnGuide,,KRW,2026-07-14,2025.0,CFS,11011,OpenDART,,2025.0,11011,8.33,8.9,20,16,19,19,80.07,38.92,,3.49,특수 목적용 기계 제조업,특수 목적용 기계 제조업,2026-07-14,4.57,0,0,6,0,4,0,5,5,20,D,4
277810.KQ,277810,레인보우로보틱스,77696,기술성장기업부,"협동로봇, 천문마운트시스템, 이족보행로봇 등",KOSDAQ,주권,KRX,405000.0,547382.5,-26.01151845373208,880000.0,-53.97727272727273,27.938342967243187,-34.25,-33.72,nxt_web_latest,NXT 체결가,2026-07-14 21:52 KST,,,-33.64,3949.62,6.94,,60.58,1.07,7.08,76.68,,,110 -> 73,341.0,-25.0,14.0,-7.33,4.11,-92.86,-274.67,101.1,94.75,6.35,,,,,,,,,,,,,,,,,,,,,,,KRW,2026-07-13,2025.0,CFS,11011.0,OpenDART,,,,8.33,8.9,20,16,19,19,627.25,38.92,,,특수 목적용 기계 제조업,특수 목적용 기계 제조업,2026-07-14,4.57,0,0,0,0,0,0,3,3,6,D,5
240810.KQ,240810,원익IPS,62385,우량기업부,반도체 제조용 기계,KOSDAQ,주권,KRX,127100.0,97530.0,30.318876243207214,183300.0,-30.660120021822152,40.232751454691915,-18.58,3.67,daily_close,NXT 미확인,2026-07-14 22:01 KST,,,304.73,46.26,17.47,47.0,8.2,9.05,20.06,21.6,596.23,,423 -> 1712,9098.0,738.0,840.0,8.11,9.23,1566.07,1245.35,1072.74,1946.21,-873.47,0.16,11.6,200.0,97.31,OpenDART,-12.64,4.0,True,4.0,OpenDART,,,,,,,,,,,,,,,,,,,0.15,2025.0,11011.0,9.21,7.42,20,15,19,19,-10.97,38.84,21.01,,특수 목적용 기계 제조업,특수 목적용 기계 제조업,2026-07-14,4.57,0,0,6,20,0,10,5,5,46,C,6
950160.KQ,950160,코오롱티슈진,61943,외국기업(소속부없음),골관절염 치료제,KOSDAQ,주식예탁증권,KRX,72900.0,84346.25,-13.570549965173317,138800.0,-47.47838616714697,25.26315789473064,-30.64,-30.44,daily_close,NXT 미확인,2026-07-14 22:01 KST,,,,,5.01,,51.62,-183.43,561.65,1.96,,,-,52.0,-223.0,-1926.0,-428.85,-3703.85,-0.17,-1.0,0.47,2.51,-2.04,,,,,,,,,,,,,,,,,,,,,,외화 공시 환산 필요,USD,2026-07-13,2025.0,OFS,11011.0,OpenDART,,,,17.37,-9.41,8,2,7,7,197.18,,,,기초 의약물질 제조업,기초 의약물질 제조업,2026-07-14,4.57,0,0,0,0,0,0,3,3,6,D,7
319660.KQ,319660,피에스케이,58947,우량기업부,"드라이스트립, 드라이클리닝",KOSDAQ,주권,KRX,210500.0,73044.25,188.18147903496853,211500.0,-0.4728132387706856,59.164859002164704,29.86,138.39,nxt_web_latest,NXT 체결가,2026-07-14 21:52 KST,,,-0.73,10.42,21.95,39.0,10.4,15.54,19.84,14.85,5.48,22.31,1813 -> 2732 -> 2712,4572.0,885.0,785.0,19.36,17.17,617.31,431.97,1194.22,1069.62,124.6,0.32,25.1,680.0,196.97,OpenDART,19.35,5.0,True,5.0,OpenDART,,4.0,,,179143.0,,,-14.9,,,Naver/FnGuide,,KRW,2026-07-14,2025.0,CFS,11011,OpenDART,,2025.0,11011,8.33,7.42,20,15,19,19,24.85,38.84,0.41,22.31,특수 목적용 기계 제조업,특수 목적용 기계 제조업,2026-07-14,4.57,0,0,16,0,12,0,3,0,31,D,8
058470.KQ,058470,리노공업,55710,우량기업부,"리노핀, 반도체 소켓 등",KOSDAQ,주권,KRX,74200.0,83304.75,-10.929448800938722,127000.0,-41.574803149606296,34.44730077119583,-21.65,-34.22,nxt_web_latest,NXT 체결가,2026-07-14 21:52 KST,,,34.19,27.95,28.16,33.0,8.72,22.45,8.3,33.9,42.51,17.07,1455 -> 1486 -> 1994,3725.0,1770.0,1520.0,47.52,40.81,1794.69,1192.33,852.03,607.09,244.94,1.08,39.96,800.0,607.16,OpenDART,-24.79,5.0,True,5.0,OpenDART,,,,,,,,,,,,,,,,,,,0.97,2025.0,11011.0,4.22,4.42,9,6,8,8,106.64,23.79,38.71,17.07,전자부품 제조업,전자부품 제조업,2026-07-14,4.57,0,0,20,16,12,10,3,5,66,B,9
039030.KQ,039030,이오테크닉스,43980,우량기업부,레이저 마커 및 레이저 응용기기,KOSDAQ,주권,KRX,366000.0,362937.5,0.8438091957981746,612000.0,-40.19607843137255,27.079646017697783,-26.06,-22.46,nxt_web_latest,NXT 체결가,2026-07-14 21:52 KST,,,33.53,50.01,27.12,44.0,7.58,8.9,13.06,18.7,158.97,24.98,2973 -> 3478 -> 4644,3809.0,808.0,576.0,21.21,15.12,1002.88,962.08,2363.05,898.52,1464.53,,,,,,-25.46,3.0,True,3.0,OpenDART,,,,,,,,,,,,,KRW,,2025.0,CFS,11011.0,OpenDART,1.31,,,9.21,7.42,20,15,19,19,-17.7,38.84,13.29,24.98,특수 목적용 기계 제조업,특수 목적용 기계 제조업,2026-07-14,4.57,0,0,6,10,12,10,3,5,46,C,10
