yf_symbol,symbol,name,market_cap,listing_department,products,krx_market,security_group,krx_source,price,ma20,ma60,ma120,ma200,diff,peak,peak_diff,rsi,return_20d,return_60d,price_source,price_basis,price_time,after_market_price,after_market_change_pct,eps_growth,hist_per_avg,foreign_supply,per,pbr,roe,debt_ratio,revenue_growth,operating_growth,eps_cagr,eps3y,revenue,operating_income,net_income,operating_margin,net_margin,operating_cashflow,free_cashflow,cash,total_debt,net_cash,dividend_yield,payout_ratio,dividend_per_share,dividend_total,dividend_source,dividend_growth_3y,dividend_consecutive_years,dividend_cut_flag,dividend_history_years,dividend_history_source,analyst_buy_ratio,analyst_opinion_score,analyst_opinion_count,consensus_revision,target_mean,target_high,target_low,target_upside,earnings_surprise_pct,finnhub_source,consensus_source,cashflow_status,financial_currency,fundamental_refreshed_at,dart_year,dart_fs_div,dart_report_code,dart_source,dividend_year,dividend_report_code,peer_group_count,peer_per_count,peer_pbr_count,peer_roe_count,peg,peer_pbr_avg,peer_roe_avg,peer_pbr_gap,peer_per_avg,peer_per_gap,cagr,sector,industry,data_date,us_10y_bond,score_per,score_pbr,score_roe,score_peg,score_cagr,score_eps3y,score_rsi,score_peak_diff,score,grade,rank
196170.KQ,196170,알테오젠,144415,우량기업부,바이오시밀러 및 바이오베터,KOSDAQ,주권,KRX,268500.0,329750.0,347783.3333333333,362025.0,410040.0,-34.51858355282412,559000.0,-51.967799642218246,21.64383561643669,-24.05,-27.73,nxt_web_latest,NXT 체결가,2026-07-20 22:31 KST,,,124.85,217.44,14.1,54.0,29.59,39.42,53.76,109.82,320.87,,1171 -> 2633,2159.0,1069.0,1452.0,49.51,67.25,1241.27,907.09,663.81,2443.0,-1779.19,0.14,14.1,371.0,200.03,OpenDART,,1.0,False,1.0,OpenDART,,4.0,,,566667.0,,,111.05,,,Naver/FnGuide,,KRW,2026-07-16,2025.0,CFS,11011.0,OpenDART,2025.0,11011.0,8,1,7,7,0.43,19.05,-31.49,55.33,,,,자연과학 및 공학 연구개발업,자연과학 및 공학 연구개발업,2026-07-20,4.56,0,0,20,20,0,10,1,3,54,C,1
247540.KQ,247540,에코프로비엠,101841,중견기업부,양극활물질,KOSDAQ,주권,KRX,106100.0,129240.0,175720.0,189018.33333333334,173366.5,-38.8001718901864,246000.0,-56.869918699187,21.10091743118926,-37.37,-49.48,nxt_web_latest,NXT 체결가,2026-07-20 22:31 KST,,,,364.17,14.78,290.0,6.16,2.29,142.16,-8.5,,,-,25316.0,1433.0,916.0,5.66,3.62,2147.07,-2234.95,5185.48,28660.15,-23474.67,0.09,24.85,100.0,97.82,OpenDART,-67.03,1.0,True,3.0,OpenDART,,3.84,,,248722.0,,,134.42,,,Naver/FnGuide,,KRW,2026-07-16,2025.0,CFS,11011.0,OpenDART,2025.0,11011.0,2,1,1,1,,,,,,,,일차전지 및 이차전지 제조업,일차전지 및 이차전지 제조업,2026-07-20,4.56,0,0,0,0,0,0,1,3,4,D,2
086520.KQ,086520,에코프로,99795,중견기업부,"환경소재,화학필터,이차전지소재등",KOSDAQ,주권,KRX,74800.0,91505.0,121611.66666666667,137230.83333333334,116151.25,-35.601209629685435,185000.0,-59.56756756756757,20.529801324499502,-35.52,-51.93,nxt_web_latest,NXT 체결가,2026-07-20 22:31 KST,,,,336.78,19.1,175.0,4.87,-8.39,117.92,9.11,,,-,34130.0,2138.0,-1055.0,6.26,-3.09,3390.76,-4729.89,11867.67,52913.98,-41046.31,0.2,-13.56,150.0,203.1,OpenDART,-29.61,2.0,True,4.0,OpenDART,,,,,,,,,,,,,KRW,2026-07-14,2025.0,CFS,11011.0,OpenDART,2025.0,11011.0,2,1,1,1,,,,,,,,기타 금융업,기타 금융업,2026-07-20,4.56,0,0,0,0,0,0,1,3,4,D,3
036930.KQ,036930,주성엔지니어링,78041,우량기업부,LP CVD,KOSDAQ,주권,KRX,167900.0,188235.0,181083.33333333334,119392.91666666667,83694.25,100.61115309594149,250500.0,-32.974051896207584,48.30936649824844,-13.05,83.5,daily_close,NXT 미확인,2026-07-20 22:41 KST,,,-66.22,32.8,7.0,,15.0,6.17,50.37,-24.11,-67.8,3.49,705 -> 2235 -> 755,3107.0,313.0,357.0,10.07,11.49,-306.78,,1643.84,2974.36,-1330.52,0.03,6.79,53.0,24.22,OpenDART,-41.52,2.0,True,3.0,OpenDART,,3.5,,,189500.0,,,12.86,,,Naver/FnGuide,,KRW,2026-07-14,2025.0,CFS,11011.0,OpenDART,2025.0,11011.0,20,16,19,19,,8.2,8.9,82.93,38.92,,3.49,특수 목적용 기계 제조업,특수 목적용 기계 제조업,2026-07-20,4.56,0,0,6,0,4,0,5,5,20,D,4
277810.KQ,277810,레인보우로보틱스,72749,기술성장기업부,"협동로봇, 천문마운트시스템, 이족보행로봇 등",KOSDAQ,주권,KRX,381500.0,469425.0,618875.0,643412.5,549037.5,-30.514764474193473,880000.0,-56.64772727272728,23.985239852397285,-35.34,-37.25,nxt_web_latest,NXT 체결가,2026-07-20 22:31 KST,,,-33.64,3949.62,6.94,,60.58,1.07,7.08,76.68,,,110 -> 73,341.0,-25.0,14.0,-7.33,4.11,-92.86,-274.67,101.1,94.75,6.35,,,,,,,,,,,,,,,,,,,,,,,KRW,2026-07-13,2025.0,CFS,11011.0,OpenDART,,,20,16,19,19,,8.2,8.9,638.78,38.92,,,특수 목적용 기계 제조업,특수 목적용 기계 제조업,2026-07-20,4.56,0,0,0,0,0,0,1,3,4,D,5
240810.KQ,240810,원익IPS,56495,우량기업부,반도체 제조용 기계,KOSDAQ,주권,KRX,115100.0,138465.0,130881.66666666667,122959.16666666667,98850.75,16.43816561836911,183300.0,-37.206764866339334,34.914089347075674,-26.22,-5.96,daily_close,NXT 미확인,2026-07-20 22:41 KST,,,304.73,46.26,17.47,47.0,8.2,9.05,20.06,21.6,596.23,,423 -> 1712,9098.0,738.0,840.0,8.11,9.23,1566.07,1245.35,1072.74,1946.21,-873.47,0.17,11.6,200.0,97.31,OpenDART,-12.64,4.0,True,4.0,OpenDART,,,,,,,,,,,,,,,,,,,2025.0,11011.0,20,15,19,19,0.15,8.33,7.42,-1.56,38.84,21.01,,특수 목적용 기계 제조업,특수 목적용 기계 제조업,2026-07-20,4.56,0,0,6,20,0,10,3,5,44,C,6
000250.KQ,000250,삼천당제약,56063,중견기업부,"하메론, 아토로우",KOSDAQ,주권,KRX,239000.0,210730.0,304635.0,475388.3333333333,376185.0,-36.46742958916491,1184000.0,-79.8141891891892,50.14392630972537,-5.72,-49.95,nxt_web_latest,NXT 체결가,2026-07-20 22:31 KST,,,,1036.5,7.41,412.84,14.13,1.94,54.36,9.91,226.92,,-,2318.0,85.0,120.0,3.67,5.18,97.93,-497.95,959.44,1976.38,-1016.94,0.02,22.1,50.0,11.63,OpenDART,-75.0,2.0,True,2.0,OpenDART,,,,,,,,,,,,,KRW,2026-07-14,2025.0,CFS,11011.0,OpenDART,2025.0,11011.0,7,5,6,6,,4.2,9.66,236.43,19.28,2041.29,,의약품 제조업,의약품 제조업,2026-07-20,4.56,0,0,0,0,0,0,5,1,6,D,7
058470.KQ,058470,리노공업,52662,우량기업부,"리노핀, 반도체 소켓 등",KOSDAQ,주권,KRX,71300.0,78235.0,96156.66666666667,99727.5,83656.5,-14.770519923735753,127000.0,-43.85826771653543,31.42201834861376,-23.0,-38.85,nxt_web_latest,NXT 체결가,2026-07-20 22:31 KST,,,34.19,27.95,32.49,28.0,7.38,22.45,8.3,33.9,42.51,17.07,1455 -> 1486 -> 1994,3725.0,1770.0,1520.0,47.52,40.81,1794.69,1192.33,852.03,607.09,244.94,1.12,39.96,800.0,607.16,OpenDART,-35.63,5.0,True,5.0,OpenDART,,4.0,,,136000.0,,,90.74,,,Naver/FnGuide,,KRW,2026-07-20,2025.0,OFS,11011,OpenDART,2025.0,11011,10,7,9,9,0.82,4.21,8.6,75.3,19.58,43.0,17.07,전자부품 제조업,전자부품 제조업,2026-07-20,4.56,0,0,20,16,12,10,3,5,66,B,8
950160.KQ,950160,코오롱티슈진,52001,외국기업(소속부없음),골관절염 치료제,KOSDAQ,주식예탁증권,KRX,61200.0,87630.0,100546.66666666667,100188.33333333333,84670.0,-27.719381126727292,138800.0,-55.907780979827095,24.43502824858274,-40.06,-43.28,daily_close,NXT 미확인,2026-07-20 22:41 KST,,,,,5.01,,51.62,-183.43,561.65,1.96,,,-,52.0,-223.0,-1926.0,-428.85,-3703.85,-0.17,-1.0,0.47,2.51,-2.04,,,,,,,,,,,,,,,,,,,,,,외화 공시 환산 필요,USD,2026-07-13,2025.0,OFS,11011.0,OpenDART,,,8,2,7,7,,14.06,-9.41,267.14,,,,기초 의약물질 제조업,기초 의약물질 제조업,2026-07-20,4.56,0,0,0,0,0,0,1,3,4,D,9
319660.KQ,319660,피에스케이,49475,우량기업부,"드라이스트립, 드라이클리닝",KOSDAQ,주권,KRX,178300.0,180175.0,136876.66666666666,102273.33333333333,75469.5,136.25438090884396,211500.0,-15.69739952718676,48.15983175604272,8.06,117.17,nxt_web_latest,NXT 체결가,2026-07-20 22:31 KST,,,-0.73,10.42,21.95,39.0,10.4,15.54,19.84,14.85,5.48,22.31,1813 -> 2732 -> 2712,4572.0,885.0,785.0,19.36,17.17,617.31,431.97,1194.22,1069.62,124.6,0.38,25.1,680.0,196.97,OpenDART,19.35,5.0,True,5.0,OpenDART,,4.0,,,179143.0,,,0.47,,,Naver/FnGuide,,KRW,2026-07-14,2025.0,CFS,11011.0,OpenDART,2025.0,11011.0,20,15,19,19,,8.2,7.42,26.83,38.84,0.41,22.31,특수 목적용 기계 제조업,특수 목적용 기계 제조업,2026-07-20,4.56,0,0,16,0,12,0,5,5,38,D,10
