yf_symbol,symbol,name,market_cap,listing_department,products,krx_market,security_group,krx_source,price,ma20,ma60,ma120,ma200,diff,peak,peak_diff,rsi,return_20d,return_60d,price_source,price_basis,price_time,after_market_price,after_market_change_pct,eps_growth,hist_per_avg,foreign_supply,per,pbr,roe,debt_ratio,revenue_growth,operating_growth,eps_cagr,eps3y,revenue,operating_income,net_income,operating_margin,net_margin,operating_cashflow,free_cashflow,cash,total_debt,net_cash,dividend_yield,payout_ratio,dividend_per_share,dividend_total,dividend_source,dividend_growth_3y,dividend_consecutive_years,dividend_cut_flag,dividend_history_years,dividend_history_source,analyst_buy_ratio,analyst_opinion_score,analyst_opinion_count,consensus_revision,target_mean,target_high,target_low,target_upside,earnings_surprise_pct,finnhub_source,consensus_source,cashflow_status,financial_currency,fundamental_refreshed_at,dart_year,dart_fs_div,dart_report_code,dart_source,peg,dividend_year,dividend_report_code,peer_pbr_avg,peer_roe_avg,peer_group_count,peer_per_count,peer_pbr_count,peer_roe_count,peer_pbr_gap,peer_per_avg,peer_per_gap,cagr,sector,industry,data_date,us_10y_bond,score_per,score_pbr,score_roe,score_peg,score_cagr,score_eps3y,score_rsi,score_peak_diff,score,grade,rank
196170.KQ,196170,알테오젠,149773,우량기업부,바이오시밀러 및 바이오베터,KOSDAQ,주권,KRX,275000.0,302400.0,337108.3333333333,354487.5,402872.5,-31.74019075513965,559000.0,-50.80500894454383,44.70284237725774,-23.18,-25.37,nxt_web_latest,NXT 체결가,2026-07-30 22:07 KST,,,124.85,217.44,14.1,54.0,29.59,39.42,53.76,109.82,320.87,,1171 -> 2633,2159.0,1069.0,1452.0,49.51,67.25,1241.27,907.09,663.81,2443.0,-1779.19,0.13,14.1,371.0,200.03,OpenDART,,1.0,False,1.0,OpenDART,,4.0,,,566667.0,,,106.06,,,Naver/FnGuide,,KRW,2026-07-16,2025.0,CFS,11011.0,OpenDART,0.43,2025.0,11011.0,14.49,-31.49,8,1,7,7,104.21,,,,자연과학 및 공학 연구개발업,자연과학 및 공학 연구개발업,2026-07-30,4.68,0,0,20,20,0,10,5,3,58,B,1
086520.KQ,086520,에코프로,95857,중견기업부,"환경소재,화학필터,이차전지소재등",KOSDAQ,주권,KRX,71000.0,79795.0,110503.33333333333,133300.0,117223.5,-39.43193984141405,185000.0,-61.62162162162163,43.64161849710099,-23.66,-53.56,nxt_web_latest,NXT 체결가,2026-07-30 22:07 KST,,,,336.78,19.12,149.12,4.15,-8.39,117.92,9.11,,,-,34130.0,2138.0,-1055.0,6.26,-3.09,3390.76,-4729.89,11867.67,52913.98,-41046.31,0.21,-13.56,150.0,203.1,OpenDART,-29.61,2.0,True,4.0,OpenDART,,,,,,,,,,,,,KRW,2026-07-29,2025.0,CFS,11011.0,OpenDART,,2025.0,11011.0,,,2,1,1,1,,,,,기타 금융업,기타 금융업,2026-07-30,4.68,0,0,0,0,0,0,5,1,6,D,2
247540.KQ,247540,에코프로비엠,94406,중견기업부,양극활물질,KOSDAQ,주권,KRX,96700.0,112430.0,161550.0,182393.33333333334,172899.5,-44.07155601953736,246000.0,-60.69105691056911,41.86550976138194,-27.13,-53.06,nxt_web_latest,NXT 체결가,2026-07-30 22:07 KST,,,,364.17,14.78,290.0,6.16,2.29,142.16,-8.5,,,-,25316.0,1433.0,916.0,5.66,3.62,2147.07,-2234.95,5185.48,28660.15,-23474.67,0.1,24.85,100.0,97.82,OpenDART,-67.03,1.0,True,3.0,OpenDART,,3.84,,,248722.0,,,157.21,,,Naver/FnGuide,,KRW,2026-07-16,2025.0,CFS,11011.0,OpenDART,,2025.0,11011.0,,,2,1,1,1,,,,,일차전지 및 이차전지 제조업,일차전지 및 이차전지 제조업,2026-07-30,4.68,0,0,0,0,0,0,5,1,6,D,3
277810.KQ,277810,레인보우로보틱스,72361,기술성장기업부,"협동로봇, 천문마운트시스템, 이족보행로봇 등",KOSDAQ,주권,KRX,379000.0,434700.0,591750.0,629916.6666666666,553867.5,-31.572081770459544,880000.0,-56.93181818181819,44.2345924453268,-26.97,-42.92,nxt_web_latest,NXT 체결가,2026-07-30 22:07 KST,,,-33.64,3949.62,5.31,,58.46,1.07,7.08,76.68,,,110 -> 73,341.0,-25.0,14.0,-7.33,4.11,-92.86,-274.67,101.1,94.75,6.35,,,,,,,,,,,,4.0,,,915000.0,,,141.42,,,Naver/FnGuide,,KRW,2026-07-28,2025.0,CFS,11011.0,OpenDART,,,,5.39,8.9,20,16,19,19,984.6,29.0,,,특수 목적용 기계 제조업,특수 목적용 기계 제조업,2026-07-30,4.68,0,0,0,0,0,0,5,3,8,D,4
036930.KQ,036930,주성엔지니어링,45690,우량기업부,LP CVD,KOSDAQ,주권,KRX,98300.0,168865.0,183440.0,126449.16666666667,88069.0,11.617027557937526,250500.0,-60.75848303393213,28.38640043173018,-59.38,-21.98,daily_close,NXT 미확인,2026-07-30 22:15 KST,,,-66.22,32.8,6.93,806.25,9.04,6.17,50.37,-24.11,-67.8,3.49,705 -> 2235 -> 755,3107.0,313.0,357.0,10.07,11.49,-306.78,,1643.84,2974.36,-1330.52,0.05,6.79,53.0,24.22,OpenDART,-41.52,2.0,True,3.0,OpenDART,,3.5,,,189500.0,,,92.78,,,Naver/FnGuide,,KRW,2026-07-29,2025.0,CFS,11011.0,OpenDART,,2025.0,11011.0,5.39,8.9,20,15,19,19,67.72,28.0,2779.46,3.49,특수 목적용 기계 제조업,특수 목적용 기계 제조업,2026-07-30,4.68,0,0,6,0,4,0,3,1,14,D,5
058470.KQ,058470,리노공업,42068,우량기업부,"리노핀, 반도체 소켓 등",KOSDAQ,주권,KRX,55600.0,70365.0,89325.0,98781.66666666667,84226.5,-33.987521741969566,127000.0,-56.22047244094488,33.77192982455102,-31.95,-53.39,nxt_web_latest,NXT 체결가,2026-07-30 22:07 KST,,,34.19,27.95,33.16,23.0,5.89,22.45,8.3,33.9,42.51,17.07,1455 -> 1486 -> 1994,3725.0,1770.0,1520.0,47.52,40.81,1794.69,1192.33,852.03,607.09,244.94,1.44,39.96,800.0,607.16,OpenDART,-35.63,5.0,True,5.0,OpenDART,,4.0,,,136000.0,,,144.6,,,Naver/FnGuide,,KRW,2026-07-30,2025.0,OFS,11011,OpenDART,0.67,2025.0,11011,2.83,10.55,7,5,6,6,108.13,14.58,57.75,17.07,전자부품 제조업,전자부품 제조업,2026-07-30,4.68,4,0,20,20,12,10,3,3,72,A,6
028300.KQ,028300,HLB,39892,중견기업부,"의료기기, 의약외품 등",KOSDAQ,주권,KRX,29800.0,36550.0,46397.5,50288.75,49704.0,-40.04506679542894,92500.0,-67.78378378378378,27.5479313824342,-40.64,-50.99,nxt_web_latest,NXT 체결가,2026-07-30 22:07 KST,,,,,18.2,,11.3,-44.32,88.14,23.64,,,-,842.0,-1042.0,-2354.0,-123.75,-279.57,-925.88,-1101.21,409.83,4357.64,-3947.81,,,,,,,,,,,,,,,,,,,,,,,KRW,2026-07-16,2025.0,CFS,11011.0,OpenDART,,,,,,3,2,2,2,,,,,의료용품 및 기타 의약 관련제품 제조업,의료용품 및 기타 의약 관련제품 제조업,2026-07-30,4.68,0,0,0,0,0,0,3,1,4,D,7
240810.KQ,240810,원익IPS,37451,우량기업부,반도체 제조용 기계,KOSDAQ,주권,KRX,76300.0,114075.0,128278.33333333333,123459.16666666667,101001.5,-24.456567476720643,183300.0,-58.37424986361156,38.162251655624715,-53.93,-34.84,daily_close,NXT 미확인,2026-07-30 22:15 KST,,,304.73,46.26,13.97,30.0,5.25,9.05,20.06,21.6,596.23,,423 -> 1712,9098.0,738.0,840.0,8.11,9.23,1566.07,1245.35,1072.74,1946.21,-873.47,0.26,11.6,200.0,97.31,OpenDART,-12.64,2.0,True,4.0,OpenDART,,3.83,,,176833.0,,,131.76,,,Naver/FnGuide,,KRW,2026-07-27,2025.0,CFS,11011.0,OpenDART,0.1,2025.0,11011.0,5.58,7.42,20,15,19,19,-5.91,28.0,7.14,,특수 목적용 기계 제조업,특수 목적용 기계 제조업,2026-07-30,4.68,0,0,6,20,0,10,5,3,44,C,8
214450.KQ,214450,파마리서치,36155,우량기업부,재생의약품,KOSDAQ,주권,KRX,342000.0,340850.0,319500.0,322116.6666666667,378365.0,-9.611089820675803,711000.0,-51.89873417721519,59.19811320754325,-6.68,9.09,nxt_web_latest,NXT 체결가,2026-07-30 22:07 KST,,,65.07,24.5,6.46,18.0,5.58,26.88,44.21,53.18,70.02,37.82,7481 -> 8608 -> 14209,5363.0,2144.0,1683.0,39.98,31.38,1831.62,1473.8,1756.63,3200.1,-1443.47,1.08,25.9,3700.0,427.91,OpenDART,77.64,5.0,False,5.0,OpenDART,,4.0,,,481429.0,,,40.77,,,Naver/FnGuide,,KRW,2026-07-16,2025.0,CFS,11011.0,OpenDART,0.28,2025.0,11011.0,,,3,1,2,2,,,,37.82,의료용품 및 기타 의약 관련제품 제조업,의료용품 및 기타 의약 관련제품 제조업,2026-07-30,4.68,8,0,20,20,15,10,3,3,79,A,9
298380.KQ,298380,에이비엘바이오,34040,기술성장기업부,항체의약품 연구개발,KOSDAQ,주권,KRX,60000.0,77525.0,98000.0,136215.83333333334,146528.5,-59.052334528777685,245500.0,-75.56008146639512,26.82352941175587,-40.89,-55.49,nxt_web_latest,NXT 체결가,2026-07-30 22:07 KST,,,,,13.69,-68.0,21.33,-23.48,79.29,137.43,,,-,793.0,-404.0,-379.0,-50.95,-47.79,-412.53,-419.05,1119.82,1242.37,-122.55,,,,,,,,,,,,4.0,,,220000.0,,,266.67,,,Naver/FnGuide,,KRW,2026-07-28,2025.0,CFS,11011.0,OpenDART,,,,9.81,-9.41,8,2,7,7,117.43,,,,기초 의약물질 제조업,기초 의약물질 제조업,2026-07-30,4.68,0,0,0,0,0,0,3,1,4,D,10
