yf_symbol,symbol,name,market_cap,listing_department,products,krx_market,security_group,krx_source,price,ma20,ma60,ma120,ma200,diff,peak,peak_diff,rsi,return_20d,return_60d,price_source,price_basis,price_time,after_market_price,after_market_change_pct,eps_growth,hist_per_avg,foreign_supply,per,pbr,roe,debt_ratio,revenue_growth,operating_growth,eps_cagr,eps3y,revenue,operating_income,net_income,operating_margin,net_margin,operating_cashflow,free_cashflow,cash,total_debt,net_cash,dividend_yield,payout_ratio,dividend_per_share,dividend_total,dividend_source,dividend_growth_3y,dividend_consecutive_years,dividend_cut_flag,dividend_history_years,dividend_history_source,analyst_buy_ratio,analyst_opinion_score,analyst_opinion_count,consensus_revision,target_mean,target_high,target_low,target_upside,earnings_surprise_pct,finnhub_source,consensus_source,cashflow_status,financial_currency,fundamental_refreshed_at,dart_year,dart_fs_div,dart_report_code,dart_source,dividend_year,dividend_report_code,peer_group_count,peer_per_count,peer_pbr_count,peer_roe_count,peg,cagr,peer_per_avg,peer_pbr_avg,peer_roe_avg,peer_per_gap,peer_pbr_gap,sector,industry,data_date,us_10y_bond,score_per,score_pbr,score_roe,score_peg,score_cagr,score_eps3y,score_rsi,score_peak_diff,score,grade,rank
196170.KQ,196170,알테오젠,165313,우량기업부,바이오시밀러 및 바이오베터,KOSDAQ,주권,KRX,312000.0,300250.0,336033.3333333333,353775.0,402125.0,-22.412185265775566,559000.0,-44.18604651162791,46.09571788412772,-11.24,-16.35,nxt_web_latest,NXT 체결가,2026-07-31 22:16 KST,,,124.85,217.44,14.61,62.0,33.02,39.42,53.76,109.82,320.87,,1171 -> 2633,2159.0,1069.0,1452.0,49.51,67.25,1241.27,907.09,663.81,2443.0,-1779.19,0.12,14.1,371.0,200.03,OpenDART,,1.0,False,1.0,OpenDART,,4.0,,,537500.0,,,72.28,,,Naver/FnGuide,,KRW,2026-07-31,2025.0,CFS,11011,OpenDART,2025.0,11011,8,1,7,7,0.5,,,14.49,-31.49,,127.88,자연과학 및 공학 연구개발업,자연과학 및 공학 연구개발업,2026-07-31,4.7,0,0,20,20,0,10,5,5,60,B,1
086520.KQ,086520,에코프로,107398,중견기업부,"환경소재,화학필터,이차전지소재등",KOSDAQ,주권,KRX,78800.0,79405.0,109225.0,132605.0,117383.0,-32.86932520041233,185000.0,-57.40540540540541,45.3015427769897,-9.32,-49.42,nxt_web_latest,NXT 체결가,2026-07-31 22:16 KST,,,,336.78,19.12,149.12,4.15,-8.39,117.92,9.11,,,-,34130.0,2138.0,-1055.0,6.26,-3.09,3390.76,-4729.89,11867.67,52913.98,-41046.31,0.19,-13.56,150.0,203.1,OpenDART,-29.61,2.0,True,4.0,OpenDART,,,,,,,,,,,,,KRW,2026-07-29,2025.0,CFS,11011.0,OpenDART,2025.0,11011.0,2,1,1,1,,,,,,,,기타 금융업,기타 금융업,2026-07-31,4.7,0,0,0,0,0,0,5,3,8,D,2
247540.KQ,247540,에코프로비엠,101254,중견기업부,양극활물질,KOSDAQ,주권,KRX,102000.0,111330.0,159683.33333333334,181468.33333333334,172854.0,-40.99066264014717,246000.0,-58.536585365853654,39.84287317620025,-18.73,-52.67,nxt_web_latest,NXT 체결가,2026-07-31 22:16 KST,,,,364.17,15.04,261.0,5.67,2.29,142.16,-8.5,,,-,25316.0,1433.0,916.0,5.66,3.62,2147.07,-2234.95,5185.48,28660.15,-23474.67,0.1,24.85,100.0,97.82,OpenDART,-67.03,1.0,True,3.0,OpenDART,,3.83,,,248647.0,,,143.77,,,Naver/FnGuide,,KRW,2026-07-31,2025.0,CFS,11011,OpenDART,2025.0,11011,2,1,1,1,,,,,,,,일차전지 및 이차전지 제조업,일차전지 및 이차전지 제조업,2026-07-31,4.7,0,0,0,0,0,0,5,3,8,D,3
277810.KQ,277810,레인보우로보틱스,84001,기술성장기업부,"협동로봇, 천문마운트시스템, 이족보행로봇 등",KOSDAQ,주권,KRX,425500.0,432100.0,587550.0,627591.6666666666,554495.0,-23.263510040667633,880000.0,-51.64772727272727,48.10360777058155,-12.27,-37.88,nxt_web_latest,NXT 체결가,2026-07-31 22:16 KST,,,-33.64,3949.62,5.31,,58.46,1.07,7.08,76.68,,,110 -> 73,341.0,-25.0,14.0,-7.33,4.11,-92.86,-274.67,101.1,94.75,6.35,,,,,,,,,,,,4.0,,,915000.0,,,115.04,,,Naver/FnGuide,,KRW,2026-07-28,2025.0,CFS,11011.0,OpenDART,,,21,17,20,20,,,27.0,5.36,8.16,,990.67,특수 목적용 기계 제조업,특수 목적용 기계 제조업,2026-07-31,4.7,0,0,0,0,0,0,5,3,8,D,4
036930.KQ,036930,주성엔지니어링,57868,우량기업부,LP CVD,KOSDAQ,주권,KRX,124500.0,163715.0,183405.0,127146.25,88535.25,40.62195566172795,250500.0,-50.29940119760479,32.97979797979565,-45.27,-1.66,daily_close,NXT 미확인,2026-07-31 22:23 KST,,,-66.22,32.8,6.93,806.25,9.04,6.17,50.37,-24.11,-67.8,3.49,705 -> 2235 -> 755,3107.0,313.0,357.0,10.07,11.49,-306.78,,1643.84,2974.36,-1330.52,0.04,6.79,53.0,24.22,OpenDART,-41.52,2.0,True,3.0,OpenDART,,3.5,,,189500.0,,,52.21,,,Naver/FnGuide,,KRW,2026-07-29,2025.0,CFS,11011.0,OpenDART,2025.0,11011.0,21,16,20,20,,3.49,26.98,5.36,8.16,2888.32,68.66,특수 목적용 기계 제조업,특수 목적용 기계 제조업,2026-07-31,4.7,0,0,6,0,4,0,3,3,16,D,5
058470.KQ,058470,리노공업,48851,우량기업부,"리노핀, 반도체 소켓 등",KOSDAQ,주권,KRX,63600.0,69815.0,88380.0,98526.66666666667,84283.5,-24.540390467885175,127000.0,-49.92125984251968,40.4339250492985,-15.31,-47.35,nxt_web_latest,NXT 체결가,2026-07-31 22:16 KST,,,34.19,27.95,33.16,23.0,5.89,22.45,8.3,33.9,42.51,17.07,1455 -> 1486 -> 1994,3725.0,1770.0,1520.0,47.52,40.81,1794.69,1192.33,852.03,607.09,244.94,1.26,39.96,800.0,607.16,OpenDART,-35.63,5.0,True,5.0,OpenDART,,4.0,,,136000.0,,,113.84,,,Naver/FnGuide,,KRW,2026-07-30,2025.0,OFS,11011.0,OpenDART,2025.0,11011.0,9,6,8,8,0.67,17.07,12.79,3.28,4.42,79.83,79.57,전자부품 제조업,전자부품 제조업,2026-07-31,4.7,4,0,20,20,12,10,5,3,74,A,6
240810.KQ,240810,원익IPS,47905,우량기업부,반도체 제조용 기계,KOSDAQ,주권,KRX,97600.0,112375.0,127863.33333333333,123424.16666666667,101243.5,-3.5987495493537858,183300.0,-46.75395526459356,38.77049180327424,-25.84,-20.33,daily_close,NXT 미확인,2026-07-31 22:23 KST,,,304.73,46.26,13.97,30.0,5.25,9.05,20.06,21.6,596.23,,423 -> 1712,9098.0,738.0,840.0,8.11,9.23,1566.07,1245.35,1072.74,1946.21,-873.47,0.2,11.6,200.0,97.31,OpenDART,-12.64,2.0,True,4.0,OpenDART,,3.83,,,176833.0,,,81.18,,,Naver/FnGuide,,KRW,2026-07-27,2025.0,CFS,11011.0,OpenDART,2025.0,11011.0,21,16,20,20,0.1,,26.98,5.48,6.8,11.19,-4.2,특수 목적용 기계 제조업,특수 목적용 기계 제조업,2026-07-31,4.7,0,0,6,20,0,10,5,3,44,C,7
028300.KQ,028300,HLB,40758,중견기업부,"의료기기, 의약외품 등",KOSDAQ,주권,KRX,30450.0,35712.5,45892.5,50092.083333333336,49667.5,-38.6923038204057,92500.0,-67.08108108108108,41.3294797687694,-35.69,-50.0,nxt_web_latest,NXT 체결가,2026-07-31 22:16 KST,,,,,18.51,,9.8,-44.32,88.14,23.64,,,-,842.0,-1042.0,-2354.0,-123.75,-279.57,-925.88,-1101.21,409.83,4357.64,-3947.81,,,,,,,,,,,,,,,,,,,,,,,KRW,2026-07-31,2025.0,CFS,11011,OpenDART,,,3,2,2,2,,,,,,,,의료용품 및 기타 의약 관련제품 제조업,의료용품 및 기타 의약 관련제품 제조업,2026-07-31,4.7,0,0,0,0,0,0,5,1,6,D,8
319660.KQ,319660,피에스케이,37540,우량기업부,"드라이스트립, 드라이클리닝",KOSDAQ,주권,KRX,129500.0,160585.0,143988.33333333334,109037.5,80249.25,61.37222466253579,211500.0,-38.77068557919622,31.405472636813187,-29.23,29.37,nxt_web_latest,NXT 체결가,2026-07-31 22:16 KST,,,-0.73,10.42,22.01,22.0,5.87,15.54,19.84,14.85,5.48,22.31,1813 -> 2732 -> 2712,4572.0,885.0,785.0,19.36,17.17,617.31,431.97,1194.22,1069.62,124.6,0.53,25.1,680.0,196.97,OpenDART,19.35,5.0,True,5.0,OpenDART,,4.0,,,182857.0,,,41.2,,,Naver/FnGuide,,KRW,2026-07-29,2025.0,CFS,11011.0,OpenDART,2025.0,11011.0,21,16,20,20,,22.31,27.5,5.36,6.8,-20.0,9.51,특수 목적용 기계 제조업,특수 목적용 기계 제조업,2026-07-31,4.7,4,0,16,0,12,0,3,5,40,C,9
298380.KQ,298380,에이비엘바이오,37399,기술성장기업부,항체의약품 연구개발,KOSDAQ,주권,KRX,67000.0,76015.0,96905.0,135120.0,146387.5,-54.23106481086158,245500.0,-72.70875763747455,34.11016949151529,-30.93,-49.43,nxt_web_latest,NXT 체결가,2026-07-31 22:16 KST,,,,,13.69,-68.0,21.33,-23.48,79.29,137.43,,,-,793.0,-404.0,-379.0,-50.95,-47.79,-412.53,-419.05,1119.82,1242.37,-122.55,,,,,,,,,,,,4.0,,,220000.0,,,228.36,,,Naver/FnGuide,,KRW,2026-07-28,2025.0,CFS,11011.0,OpenDART,,,8,2,7,7,,,,9.81,-9.41,,117.43,기초 의약물질 제조업,기초 의약물질 제조업,2026-07-31,4.7,0,0,0,0,0,0,3,1,4,D,10
