yf_symbol,symbol,name,market_cap,listing_department,products,krx_market,security_group,krx_source,price,ma20,ma60,ma120,ma200,diff,peak,peak_diff,rsi,return_20d,return_60d,price_source,price_basis,price_time,after_market_price,after_market_change_pct,eps_growth,hist_per_avg,foreign_supply,per,pbr,roe,debt_ratio,revenue_growth,operating_growth,eps_cagr,eps3y,revenue,operating_income,net_income,operating_margin,net_margin,operating_cashflow,free_cashflow,cash,total_debt,net_cash,dividend_yield,payout_ratio,dividend_per_share,dividend_total,dividend_source,dividend_growth_3y,dividend_consecutive_years,dividend_cut_flag,dividend_history_years,dividend_history_source,analyst_buy_ratio,analyst_opinion_score,analyst_opinion_count,consensus_revision,target_mean,target_high,target_low,target_upside,earnings_surprise_pct,finnhub_source,consensus_source,cashflow_status,financial_currency,fundamental_refreshed_at,dart_year,dart_fs_div,dart_report_code,dart_source,dividend_year,dividend_report_code,peer_group_count,peer_per_count,peer_pbr_count,peer_roe_count,peer_per_avg,peer_pbr_avg,peer_roe_avg,peer_pbr_gap,peg,cagr,peer_per_gap,sector,industry,data_date,us_10y_bond,score_per,score_pbr,score_roe,score_peg,score_cagr,score_eps3y,score_rsi,score_peak_diff,score,grade,rank
196170.KQ,196170,알테오젠,186480,우량기업부,바이오시밀러 및 바이오베터,KOSDAQ,주권,KRX,355000.0,242842.4,260780.96666666667,271924.575,307703.875,15.370662784145958,430123.0,-17.46546917974626,83.66295074285367,42.4,30.33,nxt_web_latest,NXT 체결가,2026-08-10 21:13 KST,,,124.86,217.49,14.57,95.0,48.42,39.42,53.76,109.82,320.87,,901 -> 2026,2159.0,1069.0,1452.0,49.51,67.25,1241.27,907.09,663.81,2443.0,-1779.19,0.1,14.1,371.0,200.03,OpenDART,,1.0,False,1.0,OpenDART,,4.0,,,447745.0,,,26.13,,,Naver/FnGuide,,KRW,2026-08-10,2025.0,CFS,11011,OpenDART,2025.0,11011,10,1,9,9,,16.96,-31.49,185.5,0.76,,,자연과학 및 공학 연구개발업,자연과학 및 공학 연구개발업,2026-08-10,4.25,0,0,20,16,0,10,1,5,52,C,1
086520.KQ,086520,에코프로,126950,중견기업부,"환경소재,화학필터,이차전지소재등",KOSDAQ,주권,KRX,94400.0,79625.0,102661.66666666667,128610.0,118401.0,-20.27094365757046,185000.0,-48.972972972972975,65.12396694213369,10.02,-30.07,nxt_web_latest,NXT 체결가,2026-08-10 21:13 KST,,,,336.78,19.6,171.24,4.77,-8.39,117.92,9.11,,,-,34130.0,2138.0,-1055.0,6.26,-3.09,3390.76,-4729.89,11867.67,52913.98,-41046.31,0.16,-13.56,150.0,203.1,OpenDART,-29.61,2.0,True,4.0,OpenDART,,,,,,,,,,,,,KRW,2026-08-03,2025.0,CFS,11011.0,OpenDART,2025.0,11011.0,3,2,2,2,,,,,,,,기타 금융업,기타 금융업,2026-08-10,4.25,0,0,0,0,0,0,1,3,4,D,2
247540.KQ,247540,에코프로비엠,112309,중견기업부,양극활물질,KOSDAQ,주권,KRX,115300.0,106995.0,148003.33333333334,176181.66666666666,172289.0,-33.07756153904196,246000.0,-53.130081300813,55.597484276719776,-5.18,-41.5,nxt_web_latest,NXT 체결가,2026-08-10 21:13 KST,,,,364.17,14.8,649.0,6.29,2.29,142.16,-8.5,,,-,25316.0,1433.0,916.0,5.66,3.62,2147.07,-2234.95,5185.48,28660.15,-23474.67,0.09,24.85,100.0,97.82,OpenDART,-67.03,1.0,True,3.0,OpenDART,,3.81,,,185125.0,,,60.56,,,Naver/FnGuide,,KRW,2026-08-10,2025.0,CFS,11011,OpenDART,2025.0,11011,2,1,1,1,,,,,,,,일차전지 및 이차전지 제조업,일차전지 및 이차전지 제조업,2026-08-10,4.25,0,0,0,0,0,0,3,3,6,D,3
277810.KQ,277810,레인보우로보틱스,94865,기술성장기업부,"협동로봇, 천문마운트시스템, 이족보행로봇 등",KOSDAQ,주권,KRX,488000.0,437500.0,555416.6666666666,616058.3333333334,558710.0,-12.655939575092622,880000.0,-44.54545454545455,58.21845174973317,7.61,-44.42,nxt_web_latest,NXT 체결가,2026-08-10 21:13 KST,,,-33.64,3949.62,5.27,,67.87,1.07,7.08,76.68,,,110 -> 73,341.0,-25.0,14.0,-7.33,4.11,-92.86,-274.67,101.1,94.75,6.35,,,,,,,,,,,,4.0,,,915000.0,,,87.5,,,Naver/FnGuide,,KRW,2026-08-07,2025.0,CFS,11011.0,OpenDART,,,19,15,18,18,26.0,6.6,8.98,928.33,,,,특수 목적용 기계 제조업,특수 목적용 기계 제조업,2026-08-10,4.25,0,0,0,0,0,0,3,5,8,D,4
036930.KQ,036930,주성엔지니어링,67304,우량기업부,LP CVD,KOSDAQ,주권,KRX,144800.0,150340.0,182126.66666666666,131542.5,91647.25,57.99710302273118,250500.0,-42.19560878243513,42.7895981087435,-24.54,-13.81,daily_close,NXT 미확인,2026-08-10 21:23 KST,,,-66.22,32.8,8.47,887.5,9.95,6.17,50.37,-24.11,-67.8,3.49,705 -> 2235 -> 755,3107.0,313.0,357.0,10.07,11.49,-306.78,,1643.84,2974.36,-1330.52,0.04,6.79,53.0,24.22,OpenDART,-41.52,2.0,True,3.0,OpenDART,,3.0,,,190000.0,,,31.22,,,Naver/FnGuide,,KRW,2026-08-03,2025.0,CFS,11011.0,OpenDART,2025.0,11011.0,19,14,18,18,26.0,6.6,8.98,50.76,,3.49,3313.46,특수 목적용 기계 제조업,특수 목적용 기계 제조업,2026-08-10,4.25,0,0,6,0,4,0,5,5,20,D,5
028300.KQ,028300,HLB,54211,중견기업부,"의료기기, 의약외품 등",KOSDAQ,주권,KRX,40650.0,31995.0,43681.666666666664,49212.5,49580.5,-18.012121701071994,92500.0,-56.054054054054056,76.82291666661065,11.07,-24.02,nxt_web_latest,NXT 체결가,2026-08-10 21:13 KST,,,,,19.5,,13.03,-44.32,88.14,23.64,,,-,842.0,-1042.0,-2354.0,-123.75,-279.57,-925.88,-1101.21,409.83,4357.64,-3947.81,,,,,,,,,,,,,,,,,,,,,,,KRW,2026-08-10,2025.0,CFS,11011,OpenDART,,,3,2,2,2,,,,,,,,의료용품 및 기타 의약 관련제품 제조업,의료용품 및 기타 의약 관련제품 제조업,2026-08-10,4.25,0,0,0,0,0,0,1,3,4,D,6
058470.KQ,058470,리노공업,53881,우량기업부,"리노핀, 반도체 소켓 등",KOSDAQ,주권,KRX,71200.0,67695.0,83658.33333333333,96978.33333333333,84582.5,-15.82183075695327,127000.0,-43.93700787401575,50.72463768114471,-3.52,-36.6,nxt_web_latest,NXT 체결가,2026-08-10 21:13 KST,,,34.19,27.95,32.83,26.0,6.88,22.45,8.3,33.9,42.51,17.07,1455 -> 1486 -> 1994,3725.0,1770.0,1520.0,47.52,40.81,1794.69,1192.33,852.03,607.09,244.94,1.12,39.96,800.0,607.16,OpenDART,-35.63,5.0,True,5.0,OpenDART,,4.0,,,136000.0,,,91.01,,,Naver/FnGuide,,KRW,2026-08-04,2025.0,OFS,11011.0,OpenDART,2025.0,11011.0,8,6,7,7,19.0,3.45,9.7,99.42,0.76,17.07,36.84,전자부품 제조업,전자부품 제조업,2026-08-10,4.25,0,0,20,16,12,10,5,5,68,B,7
298380.KQ,298380,에이비엘바이오,52404,기술성장기업부,항체의약품 연구개발,KOSDAQ,주권,KRX,94800.0,74570.0,92395.0,129805.83333333333,146127.0,-35.124925578435196,245500.0,-61.38492871690428,73.32053742800332,15.89,-23.49,nxt_web_latest,NXT 체결가,2026-08-10 21:13 KST,,,,,13.81,-68.0,26.84,-23.48,79.29,137.43,,,-,793.0,-404.0,-379.0,-50.95,-47.79,-412.53,-419.05,1119.82,1242.37,-122.55,,,,,,,,,,,,4.0,,,210000.0,,,121.52,,,Naver/FnGuide,,KRW,2026-08-07,2025.0,CFS,11011.0,OpenDART,,,8,2,7,7,,11.9,-9.41,125.55,,,,기초 의약물질 제조업,기초 의약물질 제조업,2026-08-10,4.25,0,0,0,0,0,0,1,1,2,D,8
240810.KQ,240810,원익IPS,48298,우량기업부,반도체 제조용 기계,KOSDAQ,주권,KRX,98400.0,105590.0,124106.66666666667,122675.83333333333,102409.0,-3.9146949975099843,183300.0,-46.317512274959086,41.38266796494081,-21.28,-25.0,daily_close,NXT 미확인,2026-08-10 21:23 KST,,,304.73,46.26,14.67,26.0,4.59,9.05,20.06,21.6,596.23,,423 -> 1712,9098.0,738.0,840.0,8.11,9.23,1566.07,1245.35,1072.74,1946.21,-873.47,0.2,11.6,200.0,97.31,OpenDART,-12.64,2.0,True,4.0,OpenDART,,3.83,,,176833.0,,,79.71,,,Naver/FnGuide,,KRW,2026-08-06,2025.0,CFS,11011.0,OpenDART,2025.0,11011.0,19,14,18,18,27.5,7.01,8.16,-34.52,0.09,,-5.45,특수 목적용 기계 제조업,특수 목적용 기계 제조업,2026-08-10,4.25,0,0,6,20,0,10,5,3,44,C,9
141080.KQ,141080,리가켐바이오,44386,기술성장기업부,ADC 신약연구개발,KOSDAQ,주권,KRX,120900.0,100500.0,129308.33333333333,159924.16666666666,164121.0,-26.33483832050743,213500.0,-43.37236533957846,66.92406692405487,0.5,-38.85,nxt_web_latest,NXT 체결가,2026-08-10 21:13 KST,,,,483.55,11.07,-50.0,8.91,-13.22,29.7,12.47,,,-,1416.0,-1065.0,-916.0,-75.21,-64.69,-1245.33,-1305.74,986.5,1606.95,-620.45,,,,,,,,,,,,4.0,,,224000.0,,,85.28,,,Naver/FnGuide,,KRW,2026-08-07,2025.0,CFS,11011.0,OpenDART,,,10,2,9,9,,23.09,-31.49,-61.41,,,,자연과학 및 공학 연구개발업,자연과학 및 공학 연구개발업,2026-08-10,4.25,0,0,0,0,0,0,1,5,6,D,10
