yf_symbol,symbol,name,market_cap,listing_department,products,krx_market,security_group,krx_source,price,ma20,ma60,ma120,ma200,diff,peak,peak_diff,rsi,return_20d,return_60d,price_source,price_basis,price_time,after_market_price,after_market_change_pct,eps_growth,hist_per_avg,foreign_supply,per,pbr,roe,debt_ratio,revenue_growth,operating_growth,eps_cagr,eps3y,revenue,operating_income,net_income,operating_margin,net_margin,operating_cashflow,free_cashflow,cash,total_debt,net_cash,dividend_yield,payout_ratio,dividend_per_share,dividend_total,dividend_source,dividend_growth_3y,dividend_consecutive_years,dividend_cut_flag,dividend_history_years,dividend_history_source,analyst_buy_ratio,analyst_opinion_score,analyst_opinion_count,consensus_revision,target_mean,target_high,target_low,target_upside,earnings_surprise_pct,finnhub_source,consensus_source,cashflow_status,financial_currency,fundamental_refreshed_at,dart_year,dart_fs_div,dart_report_code,dart_source,dividend_year,dividend_report_code,peer_group_count,peer_per_count,peer_pbr_count,peer_roe_count,peg,peer_pbr_avg,peer_roe_avg,peer_pbr_gap,cagr,peer_per_avg,peer_per_gap,sector,industry,data_date,us_10y_bond,score_per,score_pbr,score_roe,score_peg,score_cagr,score_eps3y,score_rsi,score_peak_diff,score,grade,rank
196170.KQ,196170,알테오젠,175495,우량기업부,바이오시밀러 및 바이오베터,KOSDAQ,주권,KRX,327500.0,247040.85,261301.98333333334,272185.0833333333,307675.515,6.443309276657905,430123.0,-23.858989172864504,77.37398267557526,34.48,10.55,nxt_web_latest,NXT 체결가,2026-08-11 21:14 KST,,,124.86,217.49,14.57,95.0,48.42,39.42,53.76,109.82,320.87,,901 -> 2026,2159.0,1069.0,1452.0,49.51,67.25,1241.27,907.09,663.81,2443.0,-1779.19,0.11,14.1,371.0,200.03,OpenDART,,1.0,False,1.0,OpenDART,,4.0,,,447745.0,,,36.72,,,Naver/FnGuide,,KRW,2026-08-10,2025.0,CFS,11011.0,OpenDART,2025.0,11011.0,10,1,9,9,0.76,16.96,-31.49,185.5,,,,자연과학 및 공학 연구개발업,자연과학 및 공학 연구개발업,2026-08-11,4.7,0,0,20,16,0,10,1,5,52,C,1
086520.KQ,086520,에코프로,122605,중견기업부,"환경소재,화학필터,이차전지소재등",KOSDAQ,주권,KRX,90300.0,79960.0,101795.0,128091.66666666667,118486.0,-23.788464459936197,185000.0,-51.189189189189186,60.679611650471685,8.01,-36.54,nxt_web_latest,NXT 체결가,2026-08-11 21:14 KST,,,,336.78,19.6,171.24,4.77,-8.39,117.92,9.11,,,-,34130.0,2138.0,-1055.0,6.26,-3.09,3390.76,-4729.89,11867.67,52913.98,-41046.31,0.17,-13.56,150.0,203.1,OpenDART,-29.61,2.0,True,4.0,OpenDART,,,,,,,,,,,,,KRW,2026-08-03,2025.0,CFS,11011.0,OpenDART,2025.0,11011.0,3,2,2,2,,,,,,,,기타 금융업,기타 금융업,2026-08-11,4.7,0,0,0,0,0,0,3,3,6,D,2
247540.KQ,247540,에코프로비엠,107417,중견기업부,양극활물질,KOSDAQ,주권,KRX,110200.0,106495.0,146350.0,175430.0,172033.0,-35.94252265553702,246000.0,-55.203252032520325,51.387213510244635,-8.01,-47.27,nxt_web_latest,NXT 체결가,2026-08-11 21:14 KST,,,,364.17,14.8,649.0,6.29,2.29,142.16,-8.5,,,-,25316.0,1433.0,916.0,5.66,3.62,2147.07,-2234.95,5185.48,28660.15,-23474.67,0.09,24.85,100.0,97.82,OpenDART,-67.03,1.0,True,3.0,OpenDART,,3.81,,,185125.0,,,67.99,,,Naver/FnGuide,,KRW,2026-08-10,2025.0,CFS,11011.0,OpenDART,2025.0,11011.0,2,1,1,1,,,,,,,,일차전지 및 이차전지 제조업,일차전지 및 이차전지 제조업,2026-08-11,4.7,0,0,0,0,0,0,5,3,8,D,3
277810.KQ,277810,레인보우로보틱스,93119,기술성장기업부,"협동로봇, 천문마운트시스템, 이족보행로봇 등",KOSDAQ,주권,KRX,480000.0,440750.0,549400.0,614466.6666666666,559452.5,-14.201831254664157,880000.0,-45.45454545454545,50.18137847641909,15.66,-42.93,nxt_web_latest,NXT 체결가,2026-08-11 21:14 KST,,,-33.64,3949.62,5.27,,67.87,1.07,7.08,76.68,,,110 -> 73,341.0,-25.0,14.0,-7.33,4.11,-92.86,-274.67,101.1,94.75,6.35,,,,,,,,,,,,4.0,,,915000.0,,,90.62,,,Naver/FnGuide,,KRW,2026-08-07,2025.0,CFS,11011.0,OpenDART,,,19,16,18,18,,6.42,8.98,957.17,,27.0,,특수 목적용 기계 제조업,특수 목적용 기계 제조업,2026-08-11,4.7,0,0,0,0,0,0,5,3,8,D,4
036930.KQ,036930,주성엔지니어링,75485,우량기업부,LP CVD,KOSDAQ,주권,KRX,162400.0,149335.0,182033.33333333334,132488.33333333334,92304.25,75.93989442522961,250500.0,-35.169660678642714,50.11135857460633,-11.01,-3.33,daily_close,NXT 미확인,2026-08-11 21:25 KST,,,-66.22,32.8,8.47,887.5,9.95,6.17,50.37,-24.11,-67.8,3.49,705 -> 2235 -> 755,3107.0,313.0,357.0,10.07,11.49,-306.78,,1643.84,2974.36,-1330.52,0.03,6.79,53.0,24.22,OpenDART,-41.52,2.0,True,3.0,OpenDART,,3.0,,,190000.0,,,17.0,,,Naver/FnGuide,,KRW,2026-08-03,2025.0,CFS,11011.0,OpenDART,2025.0,11011.0,19,15,18,18,,6.42,8.98,54.98,3.49,26.0,3313.46,특수 목적용 기계 제조업,특수 목적용 기계 제조업,2026-08-11,4.7,0,0,6,0,4,0,5,5,20,D,5
028300.KQ,028300,HLB,55876,중견기업부,"의료기기, 의약외품 등",KOSDAQ,주권,KRX,41800.0,32810.0,43494.166666666664,49125.416666666664,49591.25,-15.71093690923298,92500.0,-54.81081081081081,87.19346049039669,62.96,-21.43,nxt_web_latest,NXT 체결가,2026-08-11 21:14 KST,,,,,19.5,,13.03,-44.32,88.14,23.64,,,-,842.0,-1042.0,-2354.0,-123.75,-279.57,-925.88,-1101.21,409.83,4357.64,-3947.81,,,,,,,,,,,,,,,,,,,,,,,KRW,2026-08-10,2025.0,CFS,11011.0,OpenDART,,,3,2,2,2,,,,,,,,의료용품 및 기타 의약 관련제품 제조업,의료용품 및 기타 의약 관련제품 제조업,2026-08-11,4.7,0,0,0,0,0,0,1,3,4,D,6
058470.KQ,058470,리노공업,54491,우량기업부,"리노핀, 반도체 소켓 등",KOSDAQ,주권,KRX,71800.0,67655.0,82946.66666666667,96782.5,84654.5,-15.184662362898605,127000.0,-43.46456692913386,49.682875264255905,-0.69,-37.13,nxt_web_latest,NXT 체결가,2026-08-11 21:14 KST,,,34.19,27.95,32.83,26.0,6.88,22.45,8.3,33.9,42.51,17.07,1455 -> 1486 -> 1994,3725.0,1770.0,1520.0,47.52,40.81,1794.69,1192.33,852.03,607.09,244.94,1.11,39.96,800.0,607.16,OpenDART,-35.63,5.0,True,5.0,OpenDART,,4.0,,,136000.0,,,89.42,,,Naver/FnGuide,,KRW,2026-08-04,2025.0,OFS,11011.0,OpenDART,2025.0,11011.0,8,6,7,7,0.76,3.45,9.7,99.42,17.07,19.46,33.61,전자부품 제조업,전자부품 제조업,2026-08-11,4.7,0,0,20,16,12,10,5,5,68,B,7
240810.KQ,240810,원익IPS,51390,우량기업부,반도체 제조용 기계,KOSDAQ,주권,KRX,104700.0,104585.0,123728.33333333333,122691.66666666667,102662.5,1.9846584682819919,183300.0,-42.88052373158756,46.65391969406641,-16.11,-17.82,daily_close,NXT 미확인,2026-08-11 21:25 KST,,,304.73,46.26,15.29,24.0,5.19,9.05,20.06,21.6,596.23,,423 -> 1712,9098.0,738.0,840.0,8.11,9.23,1566.07,1245.35,1072.74,1946.21,-873.47,0.19,11.6,200.0,97.31,OpenDART,-12.64,2.0,True,4.0,OpenDART,,3.86,,,154714.0,,,47.77,,,Naver/FnGuide,,KRW,2026-08-11,2025.0,CFS,11011,OpenDART,2025.0,11011,19,15,18,18,0.08,6.61,8.16,-21.48,,28.0,-14.29,특수 목적용 기계 제조업,특수 목적용 기계 제조업,2026-08-11,4.7,4,0,6,20,0,10,5,5,50,C,8
298380.KQ,298380,에이비엘바이오,49884,기술성장기업부,항체의약품 연구개발,KOSDAQ,주권,KRX,89200.0,75070.0,91786.66666666667,128990.0,146143.5,-38.96410035341976,245500.0,-63.66598778004074,67.43362831856737,12.77,-28.98,nxt_web_latest,NXT 체결가,2026-08-11 21:14 KST,,,,,13.81,-68.0,26.84,-23.48,79.29,137.43,,,-,793.0,-404.0,-379.0,-50.95,-47.79,-412.53,-419.05,1119.82,1242.37,-122.55,,,,,,,,,,,,4.0,,,210000.0,,,135.43,,,Naver/FnGuide,,KRW,2026-08-07,2025.0,CFS,11011.0,OpenDART,,,8,2,7,7,,11.9,-9.41,125.55,,,,기초 의약물질 제조업,기초 의약물질 제조업,2026-08-11,4.7,0,0,0,0,0,0,1,1,2,D,9
039030.KQ,039030,이오테크닉스,45397,우량기업부,레이저 마커 및 레이저 응용기기,KOSDAQ,주권,KRX,369000.0,316725.0,414300.0,424545.8333333333,369802.5,-0.21700772709757235,612000.0,-39.705882352941174,60.344827586203984,2.64,-22.96,nxt_web_latest,NXT 체결가,2026-08-11 21:14 KST,,,33.53,50.01,29.21,61.33,6.42,8.9,13.06,18.7,158.97,24.98,2973 -> 3478 -> 4644,3809.0,808.0,576.0,21.21,15.12,1002.88,962.08,2363.05,898.52,1464.53,,,,,,-25.46,0.0,True,3.0,OpenDART,,4.0,,,532500.0,,,44.31,,,Naver/FnGuide,,KRW,2026-08-11,2025.0,CFS,11011,OpenDART,,,19,15,18,18,1.83,6.6,8.24,-2.73,24.98,26.0,135.88,특수 목적용 기계 제조업,특수 목적용 기계 제조업,2026-08-11,4.7,0,0,6,5,12,10,3,5,41,C,10
