yf_symbol,symbol,name,market_cap,listing_department,products,krx_market,security_group,krx_source,price,ma20,ma60,ma120,ma200,diff,peak,peak_diff,rsi,return_20d,return_60d,price_source,price_basis,price_time,after_market_price,after_market_change_pct,eps_growth,hist_per_avg,foreign_supply,per,pbr,roe,debt_ratio,revenue_growth,operating_growth,eps_cagr,eps3y,revenue,operating_income,net_income,operating_margin,net_margin,operating_cashflow,free_cashflow,cash,total_debt,net_cash,dividend_yield,payout_ratio,dividend_per_share,dividend_total,dividend_source,dividend_growth_3y,dividend_consecutive_years,dividend_cut_flag,dividend_history_years,dividend_history_source,analyst_buy_ratio,analyst_opinion_score,analyst_opinion_count,consensus_revision,target_mean,target_high,target_low,target_upside,earnings_surprise_pct,finnhub_source,consensus_source,cashflow_status,financial_currency,fundamental_refreshed_at,dart_year,dart_fs_div,dart_report_code,dart_source,peg,dividend_year,dividend_report_code,peer_pbr_avg,peer_roe_avg,peer_group_count,peer_per_count,peer_pbr_count,peer_roe_count,peer_pbr_gap,cagr,peer_per_avg,peer_per_gap,sector,industry,data_date,us_10y_bond,score_per,score_pbr,score_roe,score_peg,score_cagr,score_eps3y,score_rsi,score_peak_diff,score,grade,rank
196170.KQ,196170,알테오젠,216975,우량기업부,바이오시밀러 및 바이오베터,KOSDAQ,주권,KRX,308500.0,293980.4,266836.63333333336,272797.95,305629.075,0.9393494385309998,430123.0,-28.276330259018934,58.47665847665446,35.22,8.65,nxt_web_latest,NXT 체결가,2026-08-26 20:57 KST,,,124.86,217.49,14.93,79.0,42.51,39.42,53.76,109.82,320.87,,901 -> 2026,2159.0,1069.0,1452.0,49.51,67.25,1241.27,907.09,663.81,2443.0,-1779.19,0.12,14.1,371.0,200.03,OpenDART,,1.0,False,1.0,OpenDART,,4.0,,,455000.0,,,47.49,,,Naver/FnGuide,,KRW,2026-08-25,2025.0,CFS,11011.0,OpenDART,0.63,2025.0,11011.0,25.69,-33.31,11,1,10,10,65.47,,,,자연과학 및 공학 연구개발업,자연과학 및 공학 연구개발업,2026-08-26,4.25,0,0,20,20,0,10,3,5,58,B,1
086520.KQ,086520,에코프로,118125,중견기업부,"환경소재,화학필터,이차전지소재등",KOSDAQ,주권,KRX,86100.0,84620.0,94028.33333333333,121284.16666666667,118526.5,-27.358016983543763,185000.0,-53.45945945945946,55.328798185923475,18.43,-38.06,nxt_web_latest,NXT 체결가,2026-08-26 20:57 KST,,,,336.78,19.08,192.7,5.36,-8.39,117.92,9.11,,,-,34130.0,2138.0,-1055.0,6.26,-3.09,3390.76,-4729.89,11867.67,52913.98,-41046.31,0.17,-13.56,150.0,203.1,OpenDART,-29.61,2.0,True,4.0,OpenDART,,,,,,,,,,,,,KRW,2026-08-18,2025.0,CFS,11011.0,OpenDART,,2025.0,11011.0,,,3,2,2,2,,,,,기타 금융업,기타 금융업,2026-08-26,4.25,0,0,0,0,0,0,3,3,6,D,2
247540.KQ,247540,에코프로비엠,109080,중견기업부,양극활물질,KOSDAQ,주권,KRX,111200.0,107645.0,131436.66666666666,167218.33333333334,169366.0,-34.343374703305265,246000.0,-54.796747967479675,57.77777777776493,9.23,-48.76,nxt_web_latest,NXT 체결가,2026-08-26 20:57 KST,,,,364.17,14.92,776.0,6.13,2.29,142.16,-8.5,,,-,25316.0,1433.0,916.0,5.66,3.62,2147.07,-2234.95,5185.48,28660.15,-23474.67,0.09,24.85,100.0,97.82,OpenDART,-67.03,1.0,True,3.0,OpenDART,,3.79,,,175143.0,,,57.5,,,Naver/FnGuide,,KRW,2026-08-25,2025.0,CFS,11011.0,OpenDART,,2025.0,11011.0,,,2,1,1,1,,,,,일차전지 및 이차전지 제조업,일차전지 및 이차전지 제조업,2026-08-26,4.25,0,0,0,0,0,0,3,3,6,D,3
277810.KQ,277810,레인보우로보틱스,87396,기술성장기업부,"협동로봇, 천문마운트시스템, 이족보행로봇 등",KOSDAQ,주권,KRX,448500.0,462250.0,506608.3333333333,590537.5,565320.0,-20.664402462322222,880000.0,-49.034090909090914,40.289855072460504,11.99,-36.11,nxt_web_latest,NXT 체결가,2026-08-26 20:57 KST,,,-33.64,3949.62,5.2,,71.52,1.07,7.08,76.68,,,110 -> 73,341.0,-25.0,14.0,-7.33,4.11,-92.86,-274.67,101.1,94.75,6.35,,,,,,,,,,,,4.0,,,915000.0,,,104.01,,,Naver/FnGuide,,KRW,2026-08-12,2025.0,CFS,11011.0,OpenDART,,,,6.2,8.98,19,17,18,18,1053.55,,27.62,,특수 목적용 기계 제조업,특수 목적용 기계 제조업,2026-08-26,4.25,0,0,0,0,0,0,5,3,8,D,4
036930.KQ,036930,주성엔지니어링,80598,우량기업부,"ALG, ALD",KOSDAQ,주권,KRX,173400.0,153005.0,178493.33333333334,142531.66666666666,99487.75,74.29281494455347,250500.0,-30.778443113772454,63.55555555554764,34.63,-13.3,daily_close,NXT 미확인,2026-08-26 21:04 KST,,,-66.22,32.8,7.73,887.5,13.96,6.17,50.37,-24.11,-67.8,3.49,705 -> 2235 -> 755,3107.0,313.0,357.0,10.07,11.49,-306.78,,1643.84,2974.36,-1330.52,0.03,6.79,53.0,24.22,OpenDART,-41.52,2.0,True,3.0,OpenDART,,3.0,,,190000.0,,,9.57,,,Naver/FnGuide,,KRW,2026-08-18,2025.0,CFS,11011.0,OpenDART,,2025.0,11011.0,6.2,8.98,19,16,18,18,125.16,3.49,26.31,3273.24,특수 목적용 기계 제조업,특수 목적용 기계 제조업,2026-08-26,4.25,0,0,6,0,4,0,3,5,18,D,5
240810.KQ,240810,원익IPS,53648,우량기업부,반도체 제조용 기계,KOSDAQ,주권,KRX,109300.0,102430.0,123200.0,122025.0,105225.0,3.8726538370159185,183300.0,-40.37097654118931,57.967032967021815,22.12,3.11,daily_close,NXT 미확인,2026-08-26 21:04 KST,,,304.73,46.26,15.97,25.0,5.42,9.05,20.06,21.6,596.23,,423 -> 1712,9098.0,738.0,840.0,8.11,9.23,1566.07,1245.35,1072.74,1946.21,-873.47,0.18,11.6,200.0,97.31,OpenDART,-12.64,2.0,True,4.0,OpenDART,,3.86,,,154714.0,,,41.55,,,Naver/FnGuide,,KRW,2026-08-26,2025.0,CFS,11011,OpenDART,0.08,2025.0,11011,6.58,8.16,19,16,18,18,-17.63,,30.31,-17.52,특수 목적용 기계 제조업,특수 목적용 기계 제조업,2026-08-26,4.25,4,0,6,20,0,10,3,5,48,C,6
058470.KQ,058470,리노공업,50604,우량기업부,"리노핀, 반도체 소켓 등",KOSDAQ,주권,KRX,66200.0,66390.0,77408.33333333333,94081.66666666667,85185.5,-22.287243721055813,127000.0,-47.874015748031496,48.815165876744864,7.47,-32.03,nxt_web_latest,NXT 체결가,2026-08-26 20:57 KST,,,34.19,27.95,31.67,26.0,6.31,22.45,8.3,33.9,42.51,17.07,1455 -> 1486 -> 1994,3725.0,1770.0,1520.0,47.52,40.81,1794.69,1192.33,852.03,607.09,244.94,1.21,39.96,800.0,607.16,OpenDART,-35.63,5.0,True,5.0,OpenDART,,4.0,,,115750.0,,,74.85,,,Naver/FnGuide,,KRW,2026-08-24,2025.0,OFS,11011.0,OpenDART,0.76,2025.0,11011.0,4.47,12.5,8,6,7,7,41.16,17.07,15.65,66.13,전자부품 제조업,전자부품 제조업,2026-08-26,4.25,0,0,20,16,12,10,5,3,66,B,7
039030.KQ,039030,이오테크닉스,49339,우량기업부,레이저 마커 및 레이저 응용기기,KOSDAQ,주권,KRX,399000.0,355300.0,398075.0,425570.8333333333,378157.5,5.511592392058865,612000.0,-34.80392156862745,71.94029850745667,47.78,-12.88,nxt_web_latest,NXT 체결가,2026-08-26 20:57 KST,,,33.53,50.01,27.9,45.47,6.59,8.9,13.06,18.7,158.97,24.98,2973 -> 3478 -> 4644,3809.0,808.0,576.0,21.21,15.12,1002.88,962.08,2363.05,898.52,1464.53,,,,,,-25.46,0.0,True,3.0,OpenDART,,4.0,,,532500.0,,,33.46,,,Naver/FnGuide,,KRW,2026-08-26,2025.0,CFS,11011,OpenDART,1.36,,,6.2,8.24,19,16,18,18,6.29,24.98,26.31,72.82,특수 목적용 기계 제조업,특수 목적용 기계 제조업,2026-08-26,4.25,0,0,6,10,12,10,1,5,44,C,8
028300.KQ,028300,HLB,48617,중견기업부,"의료기기, 의약외품 등",KOSDAQ,주권,KRX,36600.0,37552.5,41865.0,48110.833333333336,49308.0,-25.77269408615235,92500.0,-60.432432432432435,54.84848484843831,20.39,-27.95,nxt_web_latest,NXT 체결가,2026-08-26 20:57 KST,,,,,20.09,,12.26,-44.32,88.14,23.64,,,-,842.0,-1042.0,-2354.0,-123.75,-279.57,-925.88,-1101.21,409.83,4357.64,-3947.81,,,,,,,,,,,,,,,,,,,,,,,KRW,2026-08-25,2025.0,CFS,11011.0,OpenDART,,,,,,3,2,2,2,,,,,의료용품 및 기타 의약 관련제품 제조업,의료용품 및 기타 의약 관련제품 제조업,2026-08-26,4.25,0,0,0,0,0,0,5,1,6,D,9
214450.KQ,214450,파마리서치,45922,우량기업부,재생의약품,KOSDAQ,주권,KRX,445500.0,395700.0,344216.6666666667,327841.6666666667,364585.0,22.193727114390335,711000.0,-37.34177215189873,65.09433962263722,18.64,51.02,nxt_web_latest,NXT 체결가,2026-08-26 20:57 KST,,,65.07,24.5,9.04,22.0,6.88,26.88,44.21,53.18,70.02,37.82,7481 -> 8608 -> 14209,5363.0,2144.0,1683.0,39.98,31.38,1831.62,1473.8,1756.63,3200.1,-1443.47,0.83,25.9,3700.0,427.91,OpenDART,77.64,5.0,False,5.0,OpenDART,,4.0,,,512667.0,,,15.08,,,Naver/FnGuide,,KRW,2026-08-25,2025.0,CFS,11011.0,OpenDART,0.34,2025.0,11011.0,,,3,1,2,2,,37.82,,,의료용품 및 기타 의약 관련제품 제조업,의료용품 및 기타 의약 관련제품 제조업,2026-08-26,4.25,4,0,20,20,15,10,1,5,75,A,10
