yf_symbol,symbol,name,market_cap,listing_department,products,krx_market,security_group,krx_source,price,ma20,ma60,ma120,ma200,diff,peak,peak_diff,rsi,return_20d,return_60d,price_source,price_basis,price_time,after_market_price,after_market_change_pct,eps_growth,hist_per_avg,foreign_supply,per,pbr,roe,debt_ratio,revenue_growth,operating_growth,eps_cagr,eps3y,revenue,operating_income,net_income,operating_margin,net_margin,operating_cashflow,free_cashflow,cash,total_debt,net_cash,dividend_yield,payout_ratio,dividend_per_share,dividend_total,dividend_source,dividend_growth_3y,dividend_consecutive_years,dividend_cut_flag,dividend_history_years,dividend_history_source,analyst_buy_ratio,analyst_opinion_score,analyst_opinion_count,consensus_revision,target_mean,target_high,target_low,target_upside,earnings_surprise_pct,finnhub_source,consensus_source,cashflow_status,financial_currency,fundamental_refreshed_at,dart_year,dart_fs_div,dart_report_code,dart_source,dividend_year,dividend_report_code,peer_group_count,peer_per_count,peer_pbr_count,peer_roe_count,peg,peer_per_avg,peer_pbr_avg,peer_roe_avg,peer_per_gap,peer_pbr_gap,cagr,sector,industry,data_date,us_10y_bond,score_per,score_pbr,score_roe,score_peg,score_cagr,score_eps3y,score_rsi,score_peak_diff,score,grade,rank
196170.KQ,196170,알테오젠,173789,우량기업부,,KOSDAQ,주권,KRX,249500.0,279950.0,270475.93333333335,272924.7916666667,292859.175,-14.805469215707511,430123.0,-41.99333678970899,17.763157894733567,-18.33,-5.6,daily_close,NXT 미확인,2026-09-23 00:49 KST,,,124.86,217.49,14.4,69.0,37.73,39.42,53.76,109.82,320.87,,901 -> 2026,2158.59,1069.0,1451.73,49.52,67.25,1241.27,907.09,663.81,2443.0,-1779.19,0.15,14.1,371.0,200.03,OpenDART,,1.0,False,1.0,OpenDART,,4.0,,,485000.0,,,94.39,,,Naver/FnGuide,,KRW,2026-09-15,2025.0,CFS,11011.0,OpenDART,2025.0,11011.0,9,1,7,7,0.55,,11.28,-31.49,,234.49,,자연과학 및 공학 연구개발업,자연과학 및 공학 연구개발업,2026-09-22,4.25,0,0,20,20,0,10,1,5,56,B,1
086520.KQ,086520,에코프로,108756,중견기업부,,KOSDAQ,주권,KRX,80200.0,84345.0,84463.33333333333,110485.0,118272.0,-32.19020562770562,185000.0,-56.648648648648646,46.05263157891909,-5.87,-15.93,daily_close,NXT 미확인,2026-09-23 00:49 KST,,,,336.78,19.17,79.63,4.98,-8.39,117.92,9.11,,,-,34130.22,2137.64,-1055.4,6.26,-3.09,3390.76,-4729.89,11867.67,52913.98,-41046.31,0.19,-13.56,150.0,203.1,OpenDART,-29.61,2.0,True,4.0,OpenDART,,,,,,,,,,,,,KRW,2026-09-23,2025.0,CFS,11011,OpenDART,2025.0,11011,3,2,2,2,,,,,,,,기타 금융업,기타 금융업,2026-09-22,4.25,0,0,0,0,0,0,5,3,8,D,2
247540.KQ,247540,에코프로비엠,102037,중견기업부,,KOSDAQ,주권,KRX,104600.0,109129.65,110697.6,151556.63333333333,162958.44,-35.81185485084418,242127.0,-56.79953082473248,47.99999999998418,-5.54,-20.51,daily_close,NXT 미확인,2026-09-23 00:49 KST,,,,358.44,14.64,746.0,5.78,2.29,142.16,-8.5,,,-,25315.76,1433.1,915.88,5.66,3.62,2147.07,-2234.95,5185.48,28660.15,-23474.67,0.1,24.85,100.0,97.82,OpenDART,-67.03,1.0,True,3.0,OpenDART,,3.79,,,172386.0,,,64.8,,,Naver/FnGuide,,KRW,2026-09-15,2025.0,CFS,11011.0,OpenDART,2025.0,11011.0,2,1,1,1,,,,,,,,일차전지 및 이차전지 제조업,일차전지 및 이차전지 제조업,2026-09-22,4.25,0,0,0,0,0,0,5,3,8,D,3
036930.KQ,036930,주성엔지니어링,94589,우량기업부,,KOSDAQ,주권,KRX,203500.0,191985.0,175148.33333333334,162528.33333333334,115054.75,76.87231513692394,250500.0,-18.7624750499002,64.75247524751578,13.81,22.89,daily_close,NXT 미확인,2026-09-23 00:49 KST,,,-66.22,32.8,8.8,887.5,14.45,6.17,50.37,-24.11,-67.8,3.49,705 -> 2235 -> 755,3106.93,312.58,356.93,10.06,11.49,-306.78,,1643.84,2974.36,-1330.52,0.03,6.79,53.0,24.22,OpenDART,-41.52,2.0,True,3.0,OpenDART,,3.5,,,205000.0,,,0.74,,,Naver/FnGuide,,KRW,2026-09-23,2025.0,CFS,11011,OpenDART,2025.0,11011,19,17,18,18,,30.0,5.54,8.98,2858.33,160.83,3.49,특수 목적용 기계 제조업,특수 목적용 기계 제조업,2026-09-22,4.25,0,0,6,0,4,0,3,5,18,D,4
277810.KQ,277810,레인보우로보틱스,84971,기술성장기업부,,KOSDAQ,주권,KRX,442000.0,442950.0,451966.6666666667,550950.0,569270.0,-22.35670244348025,880000.0,-49.77272727272727,51.9298245613984,-2.75,-7.92,daily_close,NXT 미확인,2026-09-23 00:49 KST,,,-33.64,3949.62,5.48,,65.63,1.07,7.08,76.68,,,110 -> 73,341.23,-24.8,14.22,-7.27,4.17,-92.86,-274.67,101.1,94.75,6.35,,,,,,,,,,,,4.0,,,650000.0,,,47.06,,,Naver/FnGuide,,KRW,2026-09-22,2025.0,CFS,11011.0,OpenDART,,,19,18,18,18,,31.0,5.54,8.98,,1084.66,,특수 목적용 기계 제조업,특수 목적용 기계 제조업,2026-09-22,4.25,0,0,0,0,0,0,5,3,8,D,5
240810.KQ,240810,원익IPS,63956,우량기업부,,KOSDAQ,주권,KRX,130500.0,115330.0,114343.33333333333,120853.33333333333,110047.5,18.58515640973216,183300.0,-28.805237315875615,68.637992831524,16.21,-20.33,daily_close,NXT 미확인,2026-09-23 00:49 KST,,,304.73,46.26,16.2,25.0,5.05,9.05,20.06,21.6,596.23,,423 -> 1712,9097.96,738.14,840.29,8.11,9.24,1566.07,1245.35,1072.74,1946.21,-873.47,0.15,11.6,200.0,97.31,OpenDART,-12.64,2.0,True,4.0,OpenDART,,3.86,,,154714.0,,,18.55,,,Naver/FnGuide,,KRW,2026-09-16,2025.0,CFS,11011.0,OpenDART,2025.0,11011.0,19,17,18,18,0.08,32.0,5.79,8.16,-21.88,-12.78,,특수 목적용 기계 제조업,특수 목적용 기계 제조업,2026-09-22,4.25,4,0,6,20,0,10,1,5,46,C,6
039030.KQ,039030,이오테크닉스,58333,우량기업부,,KOSDAQ,주권,KRX,476500.0,438425.0,384108.3333333333,429729.1666666667,394290.0,20.85013568693094,612000.0,-22.14052287581699,65.81740976645042,18.68,-1.75,daily_close,NXT 미확인,2026-09-23 00:49 KST,,,33.53,50.01,27.8,45.87,6.65,8.9,13.06,18.7,158.97,24.98,2973 -> 3478 -> 4644,3808.91,807.53,575.65,21.2,15.11,1002.88,962.08,2363.05,898.52,1464.53,,,,,,-25.46,0.0,True,3.0,OpenDART,,4.0,,,532500.0,,,11.75,,,Naver/FnGuide,,KRW,2026-09-16,2025.0,CFS,11011.0,OpenDART,,,19,17,18,18,1.37,30.0,5.54,8.24,52.9,20.04,24.98,특수 목적용 기계 제조업,특수 목적용 기계 제조업,2026-09-22,4.25,0,0,6,10,12,10,1,5,44,C,7
058470.KQ,058470,리노공업,57158,우량기업부,,KOSDAQ,주권,KRX,75500.0,67450.0,69255.0,87046.66666666667,86089.5,-12.300570917475417,127000.0,-40.55118110236221,74.02597402592916,12.02,-10.44,daily_close,NXT 미확인,2026-09-23 00:49 KST,,,34.19,27.95,31.56,25.0,6.28,22.45,8.3,33.9,42.51,17.07,1455 -> 1486 -> 1994,3725.34,1769.97,1519.61,47.51,40.79,1794.69,1192.33,852.03,607.09,244.94,1.06,39.96,800.0,607.16,OpenDART,-35.63,5.0,True,5.0,OpenDART,,4.0,,,103500.0,,,37.09,,,Naver/FnGuide,,KRW,2026-09-19,2025.0,OFS,11011.0,OpenDART,2025.0,11011.0,9,5,6,6,0.73,18.0,5.11,12.3,38.89,22.9,17.07,전자부품 제조업,전자부품 제조업,2026-09-22,4.25,4,0,20,16,12,10,1,5,68,B,8
222800.KQ,222800,심텍,56995,중견기업부,,KOSDAQ,주권,KRX,148900.0,126475.0,113491.66666666667,106049.58333333333,84789.5,75.61136697350499,157300.0,-5.340114431023522,68.7776141384247,27.37,19.31,daily_close,NXT 미확인,2026-09-23 00:49 KST,,,,,10.84,24.0,7.24,-32.1,181.13,14.55,,,-,14105.6,118.69,-1645.8,0.84,-11.67,-1986.12,-2550.05,539.84,10439.64,-9899.8,0.07,,100.0,37.33,OpenDART,-41.52,5.0,True,5.0,OpenDART,,4.0,,,176250.0,,,18.37,,,Naver/FnGuide,,KRW,2026-09-22,2025.0,CFS,11011.0,OpenDART,2025.0,11011.0,9,5,6,6,,18.0,5.11,18.61,33.33,41.68,,전자부품 제조업,전자부품 제조업,2026-09-22,4.25,4,0,0,0,0,0,1,0,5,D,9
403870.KQ,403870,HPSP,44688,우량기업부,,KOSDAQ,주권,KRX,54100.0,52445.0,44686.666666666664,48082.083333333336,44303.0,22.11362661670767,83500.0,-35.20958083832335,60.57142857138012,11.55,2.66,daily_close,NXT 미확인,2026-09-23 00:49 KST,,,-16.35,35.96,33.26,35.0,13.18,24.79,19.95,-4.63,-4.26,-6.21,989 -> 1040 -> 870,1729.65,899.02,726.62,51.98,42.01,1002.05,977.76,939.41,614.76,324.65,0.92,55.66,500.0,404.37,OpenDART,49.38,4.0,True,4.0,OpenDART,,4.0,,,67800.0,,,25.32,,,Naver/FnGuide,,KRW,2026-09-15,2025.0,OFS,11011.0,OpenDART,2025.0,11011.0,19,17,18,18,,30.0,5.54,8.16,16.67,137.91,-6.21,특수 목적용 기계 제조업,특수 목적용 기계 제조업,2026-09-22,4.25,0,0,20,0,0,0,3,5,28,D,10
