yf_symbol,symbol,name,market_cap,price,ma200,diff,peak,peak_diff,rsi,eps_growth,hist_per_avg,foreign_supply,per,pbr,roe,debt_ratio,revenue_growth,operating_growth,eps_cagr,eps3y,score_per,score_pbr,score_roe,score_rsi,score_peak_diff,score,grade,data_date,us_10y_bond,peg,cagr,rank
015760.KS,015760,한국전력,243304,37900.0,46105.75,-17.797671657005907,67900.0,-44.18262150220913,46.89440993784743,144.73,3.62,52.26,4.0,0.48,19.4,416.85,4.32,61.28,,5439 -> 13311,15,10,16,5,5,51,C,2026-06-19,4.25,0.03,,1
005830.KS,005830,DB손해보험,94910,144900.0,147812.0,-1.9700700890320135,205500.0,-29.489051094890513,51.82926829266818,-3.4,4.18,46.49,6.0,0.76,17.75,576.91,5.55,-1.69,1.43,24556 -> 26152 -> 25263,15,10,16,5,5,51,C,2026-06-19,4.25,,1.43,2
138040.KS,138040,메리츠금융지주,180902,108100.0,114304.0,-5.427631578947369,146200.0,-26.06019151846785,57.87878787876332,6.73,7.76,14.19,8.0,1.66,22.53,1102.87,16.25,-9.92,10.07,10480 -> 11897 -> 12698,15,6,20,3,5,49,C,2026-06-19,4.25,1.19,10.07,3
071050.KS,071050,한국금융지주,128727,231000.0,197868.0,16.744496330887255,292500.0,-21.025641025641026,47.302904564309856,94.33,4.83,35.02,5.0,1.06,18.66,1025.35,6.14,95.49,69.05,11480 -> 16883 -> 32808,15,8,16,5,5,49,C,2026-06-19,4.25,0.05,69.05,4
039490.KS,039490,키움증권,90749,346000.0,345678.5,0.09300549499028722,495500.0,-30.171543895055496,44.235294117644145,38.22,5.91,27.45,6.0,1.31,18.12,1107.51,51.78,35.51,64.21,15021 -> 29304 -> 40504,15,6,16,5,5,47,C,2026-06-19,4.25,0.16,64.21,5
000270.KS,000270,기아,604749,154900.0,138515.0,11.829043785871567,206000.0,-24.805825242718445,39.771101573668716,-21.72,5.03,38.77,7.0,0.98,12.92,61.76,6.23,-28.33,-6.31,21770 -> 24413 -> 19111,15,8,12,5,5,45,C,2026-06-19,4.25,,-6.31,6
021240.KS,021240,코웨이,61850,87400.0,87565.5,-0.18900137611273848,113200.0,-22.791519434628977,45.666666666645355,11.66,9.28,54.67,9.0,1.66,18.14,93.71,15.16,10.47,15.76,6386 -> 7664 -> 8558,12,6,16,5,5,44,C,2026-06-19,4.25,0.77,15.76,7
086280.KS,086280,현대글로비스,166875,222500.0,207374.5,7.29380902666432,290500.0,-23.407917383820998,40.619136960595036,58.5,7.56,44.87,10.0,1.61,18.13,78.92,4.08,18.26,27.83,14148 -> 14585 -> 23117,12,6,16,5,5,44,C,2026-06-19,4.25,0.17,27.83,8
030200.KS,030200,KT,134327,53300.0,55236.5,-3.5058340046889285,68900.0,-22.641509433962266,51.3227513227133,271.3,13.4,100.0,9.0,0.71,10.22,120.72,6.86,205.02,32.94,3887 -> 1850 -> 6869,12,10,12,5,5,44,C,2026-06-19,4.25,0.03,32.94,9
005940.KS,005940,NH투자증권,114030,32000.0,26305.15,21.649182764591718,39200.0,-18.367346938775512,57.627118643999424,46.15,6.96,13.52,8.0,1.2,11.76,783.5,36.52,57.65,34.9,1587 -> 1976 -> 2888,15,8,12,3,5,43,C,2026-06-19,4.25,0.17,34.9,10
016360.KS,016360,삼성증권,106177,118900.0,91735.5,29.611764257021544,149500.0,-20.468227424749163,49.2913385826663,12.03,5.76,25.98,7.0,1.3,13.09,887.64,10.45,14.09,35.65,6130 -> 10068 -> 11279,15,6,12,5,5,43,C,2026-06-19,4.25,0.58,35.65,11
161390.KS,161390,한국타이어앤테크놀로지,82624,66700.0,56872.5,17.279880434304804,75900.0,-12.121212121212121,49.833887043166186,-2.26,6.24,39.13,6.0,0.64,9.39,87.63,125.27,4.47,22.99,5814 -> 8998 -> 8795,15,10,6,5,5,41,C,2026-06-19,4.25,,22.99,12
078930.KS,078930,GS,65026,70000.0,61302.0,14.188770350070145,82100.0,-14.738124238733253,46.33431085042086,40.85,5.41,20.84,4.0,0.43,5.55,86.04,-0.26,-4.59,-21.64,13734 -> 5988 -> 8434,15,10,6,5,5,41,C,2026-06-19,4.25,0.1,-21.64,13
005387.KS,005387,현대차2우B,84263,241000.0,229171.5,5.161418413720729,323500.0,-25.50231839258114,38.768115942025055,-23.26,5.89,25.28,6.0,0.53,8.41,188.95,6.29,-19.46,-9.97,43589 -> 46042 -> 35331,15,10,6,5,5,41,C,2026-06-19,4.25,,-9.97,14
009540.KS,009540,HD한국조선해양,296539,419000.0,419040.0,-0.009545628102329133,479500.0,-12.61730969760167,48.913043478257144,84.96,21.88,33.54,9.0,2.19,17.78,133.86,17.21,172.26,212.72,3133 -> 16565 -> 30639,12,3,16,5,5,41,C,2026-06-19,4.25,0.11,212.72,15
267250.KS,267250,HD현대,182079,230500.0,224863.0,2.5068597323703767,310500.0,-25.76489533011272,31.349206349202873,89.12,15.56,26.91,8.0,1.49,10.25,159.39,5.16,104.47,90.79,3348 -> 6444 -> 12187,15,6,12,3,5,41,C,2026-06-19,4.25,0.09,90.79,16
259960.KS,259960,크래프톤,111420,241500.0,264000.0,-8.522727272727272,386000.0,-37.43523316062176,38.57142857142085,-43.16,14.43,43.57,10.0,1.45,10.6,31.31,22.76,-10.83,12.39,12221 -> 27162 -> 15438,12,6,12,5,5,40,C,2026-06-19,4.25,,12.39,17
316140.KS,316140,우리금융지주,227930,31050.0,29689.5,4.582428131157481,40800.0,-23.897058823529413,56.108597284996776,1.86,4.73,45.32,7.0,0.6,8.91,1488.67,-10.87,-13.64,11.6,3389 -> 4144 -> 4221,15,10,6,3,5,39,D,2026-06-19,4.25,3.76,11.6,18
024110.KS,024110,기업은행,171047,21450.0,21253.2,0.9259782056349126,28550.0,-24.86865148861646,61.061946902503564,2.53,4.67,13.68,6.0,0.46,7.7,1258.51,-9.91,1.71,0.77,3348 -> 3316 -> 3400,15,10,6,3,5,39,D,2026-06-19,4.25,2.37,0.77,19
032640.KS,032640,LG유플러스,62433,14710.0,15498.35,-5.0866705165388595,17810.0,-17.405951712521055,38.47402597393854,40.79,10.47,85.22,9.0,0.71,6.01,117.06,5.65,3.36,-7.96,1426 -> 858 -> 1208,12,10,6,5,5,38,D,2026-06-19,4.25,0.22,-7.96,20
064400.KS,064400,LG씨엔에스,83128,85800.0,68983.5,24.37756854900085,143700.0,-40.292275574112736,35.324947589093355,8.8,13.5,5.64,17.0,2.84,17.35,79.68,2.46,7.58,9.24,3811 -> 4180 -> 4548,8,3,16,5,5,37,D,2026-06-19,4.25,1.93,9.24,21
003230.KS,003230,삼양식품,83089,1103000.0,1290465.0,-14.526934089649854,1630000.0,-32.331288343558285,34.999999999998565,43.18,19.3,15.49,15.0,5.98,37.59,72.74,36.1,52.12,75.62,16761 -> 36106 -> 51697,8,0,20,3,5,36,D,2026-06-19,4.25,0.35,75.62,22
241560.KS,241560,두산밥캣,62594,65300.0,61393.5,6.363051463102772,76700.0,-14.863102998696217,51.219512195092804,-25.84,8.93,38.4,12.0,0.83,5.71,70.77,2.81,-21.26,-32.66,9192 -> 5620 -> 4168,12,8,6,5,5,36,D,2026-06-19,4.25,,-32.66,23
036570.KS,036570,NC,59676,277000.0,227885.0,21.55253746407179,338000.0,-18.04733727810651,46.31268436577788,273.41,26.71,36.5,13.0,1.52,10.79,28.56,-4.51,,28.77,9663 -> 4291 -> 16023,8,6,12,5,5,36,D,2026-06-19,4.25,0.05,28.77,24
402340.KS,402340,SK스퀘어,2348859,1780000.0,534645.5,232.93088597958837,1780000.0,0.0,72.6970954356838,143.06,4.22,48.01,6.0,6.51,37.82,9.01,77.76,124.39,,27346 -> 66468,15,0,20,1,0,36,D,2026-06-19,4.25,0.04,,25
000660.KS,000660,SK하이닉스,19699093,2764000.0,911412.5,203.2655356383635,2764000.0,0.0,62.91192330736915,116.89,8.72,51.31,9.0,11.62,44.15,45.95,46.76,101.16,,27182 -> 58955,12,0,20,3,0,35,D,2026-06-19,4.25,0.08,,26
086790.KS,086790,하나금융지주,338844,123500.0,103571.0,19.241872724990586,132000.0,-6.4393939393939394,57.16723549486689,9.62,4.94,68.44,8.0,0.73,9.17,1377.89,-15.53,10.21,10.23,11613 -> 12872 -> 14110,15,10,6,3,0,34,D,2026-06-19,4.25,0.83,10.23,27
042660.KS,042660,한화오션,393434,128400.0,123619.0,3.867528454363811,149900.0,-14.342895263509007,53.27342747110725,135.85,27.59,10.98,25.0,5.77,22.59,226.17,18.63,390.79,131.76,757 -> 1724 -> 4066,4,0,20,5,5,34,D,2026-06-19,4.25,0.18,131.76,28
047050.KS,047050,포스코인터내셔널,96757,55000.0,61353.0,-10.354831874561961,87300.0,-36.998854524627724,35.71428571426948,19.35,14.68,7.89,11.0,1.39,9.27,140.03,0.35,0.65,-4.58,3834 -> 2925 -> 3491,12,6,6,5,5,34,D,2026-06-19,4.25,0.57,-4.58,29
011200.KS,011200,HMM,190062,20150.0,20697.1,-2.6433654956491424,25950.0,-22.350674373795762,53.53293413164676,-61.33,8.23,7.83,14.0,0.68,6.9,26.31,-6.91,-58.4,3.39,1829 -> 5055 -> 1955,8,10,6,5,5,34,D,2026-06-19,4.25,,3.39,30
326030.KS,326030,SK바이오팜,68132,87000.0,109573.5,-20.601240263384852,140700.0,-38.16631130063966,46.456692913368755,10.9,36.34,12.52,20.0,7.31,39.28,45.03,29.05,111.73,,3074 -> 3409,4,0,20,5,5,34,D,2026-06-19,4.25,1.83,,31
064350.KS,064350,현대로템,225924,207000.0,206883.0,0.056553704267629526,269000.0,-23.04832713754647,52.631578947362456,89.24,19.33,37.2,24.0,7.02,30.05,206.39,33.41,120.24,118.7,1475 -> 3728 -> 7055,4,0,20,5,5,34,D,2026-06-19,4.25,0.27,118.7,32
028050.KS,028050,삼성E&A,95354,48650.0,34549.0,40.81449535442415,64400.0,-24.456521739130434,43.491577335356546,-18.44,6.49,37.52,13.0,1.98,13.76,125.8,-9.41,-18.47,-9.5,3846 -> 3862 -> 3150,8,3,12,5,5,33,D,2026-06-19,4.25,,-9.5,33
006800.KS,006800,미래에셋증권,272788,48750.0,42208.5,15.498063186325028,83800.0,-41.82577565632458,18.610421836215366,76.41,11.79,8.63,12.0,2.01,12.36,1015.01,31.65,61.19,126.19,421 -> 1221 -> 2154,12,3,12,1,5,33,D,2026-06-19,4.25,0.16,126.19,34
105560.KS,105560,KB금융,561470,158300.0,137082.0,15.47832684086897,172000.0,-7.965116279069767,54.70085470084535,18.98,6.51,80.12,9.0,0.95,9.98,1211.73,-4.52,5.87,15.41,11349 -> 12705 -> 15116,12,8,6,5,0,31,D,2026-06-19,4.25,0.47,15.41,35
010950.KS,010950,S-Oil,118549,105300.0,93094.5,13.110871211510883,141300.0,-25.477707006369428,47.15447154469756,-81.34,31.62,79.28,5.0,1.28,2.01,198.82,-6.52,-44.2,,8137 -> 1518,15,6,0,5,5,31,D,2026-06-19,4.25,,,36
267270.KS,267270,HD건설기계,65509,136700.0,122644.0,11.460813411173804,198100.0,-30.99444724886421,39.66480446926598,6.37,11.96,18.08,13.0,1.39,5.74,86.64,9.84,-10.24,-10.94,7077 -> 5277 -> 5613,8,6,6,5,5,30,D,2026-06-19,4.25,2.04,-10.94,37
443060.KS,443060,HD현대마린솔루션,100875,225000.0,206196.5,9.119213953680108,280500.0,-19.786096256684495,50.42735042734439,13.41,31.31,28.59,28.0,11.91,33.73,54.27,13.59,28.86,26.16,3778 -> 5302 -> 6013,0,0,20,5,5,30,D,2026-06-19,4.25,2.09,26.16,38
062040.KS,062040,산일전기,72100,235500.0,163072.5,44.4142942556225,333500.0,-29.38530734632684,45.10638297871803,52.18,23.98,16.93,34.0,12.1,29.21,16.48,50.27,63.55,-25.48,8807 -> 3214 -> 4891,0,0,20,5,5,30,D,2026-06-19,4.25,0.65,-25.48,39
034730.KS,034730,SK,524919,724000.0,336431.5,115.19982522445133,724000.0,0.0,56.703910614522925,,11.73,30.1,6.0,1.35,6.35,149.17,-0.56,-24.1,,-,15,6,6,3,0,30,D,2026-06-19,4.25,,,40
042700.KS,042700,한미반도체,281170,295000.0,203284.0,45.11717597056335,409500.0,-27.96092796092796,52.210884353739,41.96,44.0,6.27,158.01,44.0,34.76,17.82,3.18,-1.57,-9.81,2745 -> 1573 -> 2233,0,0,20,5,5,30,D,2026-06-19,4.25,3.77,-9.81,41
267260.KS,267260,HD현대일렉트릭,388588,1078000.0,881632.5,22.273169376128944,1420000.0,-24.084507042253524,51.98098256735226,46.07,25.65,34.78,40.0,18.66,41.5,134.63,22.79,48.77,68.14,7189 -> 13914 -> 20324,0,0,20,5,5,30,D,2026-06-19,4.25,0.87,68.14,42
298040.KS,298040,효성중공업,359461,3855000.0,2415060.0,59.62336339469827,4601000.0,-16.213866550749838,53.79464285714251,133.52,20.47,26.62,46.0,14.98,24.41,190.31,21.93,106.07,111.72,12438 -> 23876 -> 55755,0,0,20,5,5,30,D,2026-06-19,4.25,0.34,111.72,43
012330.KS,012330,현대모비스,555283,612000.0,408932.5,49.65795088431465,768000.0,-20.3125,27.966101694914144,-8.74,7.12,36.66,13.0,1.08,7.68,43.05,6.78,9.24,4.5,36340 -> 43480 -> 39682,8,8,6,3,5,30,D,2026-06-19,4.25,,4.5,44
329180.KS,329180,HD현대중공업,700091,667000.0,567815.0,17.46783723571938,745000.0,-10.46979865771812,44.76534296028654,124.28,179.12,13.72,23.0,7.21,18.82,180.07,21.36,188.93,651.55,278 -> 7001 -> 15702,4,0,16,5,5,30,D,2026-06-19,4.25,0.19,651.55,45
005935.KS,005935,삼성전자우,1781264,222000.0,115272.0,92.58796585467415,231500.0,-4.103671706263499,57.2490706319643,32.61,21.95,47.62,5.0,3.09,10.85,29.94,10.88,33.23,75.51,2131 -> 4950 -> 6564,15,0,12,3,0,30,D,2026-06-19,4.25,0.15,75.51,46
005930.KS,005930,삼성전자,20695826,354000.0,163122.5,117.0148201505004,362500.0,-2.344827586206897,58.04347826086603,32.61,21.95,47.62,8.0,4.92,10.85,29.94,10.88,33.23,75.51,2131 -> 4950 -> 6564,15,0,12,3,0,30,D,2026-06-19,4.25,0.25,75.51,47
000880.KS,000880,한화,81225,115200.0,106673.0,7.993587880719582,150900.0,-23.658051689860834,38.033635187573964,-50.24,10.25,21.18,12.0,0.83,3.3,497.35,34.39,71.64,0.68,3886 -> 7916 -> 3939,12,8,0,5,5,30,D,2026-06-19,4.25,,0.68,48
007660.KS,007660,이수페타시스,84494,115100.0,112143.5,2.636354313892468,161400.0,-28.686493184634447,41.73505275497556,102.24,38.82,22.59,32.0,10.61,29.64,70.53,30.0,100.88,77.17,719 -> 1116 -> 2257,0,0,20,5,5,30,D,2026-06-19,4.25,0.31,77.17,49
