yf_symbol,symbol,name,market_cap,price,ma200,diff,peak,peak_diff,rsi,price_source,eps_growth,hist_per_avg,foreign_supply,per,pbr,roe,debt_ratio,revenue_growth,operating_growth,eps_cagr,eps3y,revenue,operating_income,net_income,operating_margin,net_margin,operating_cashflow,free_cashflow,cash,total_debt,net_cash,peg,cagr,data_date,us_10y_bond,score_per,score_pbr,score_roe,score_peg,score_cagr,score_eps3y,score_rsi,score_peak_diff,score,grade,rank
000660.KS,000660,SK하이닉스,18209545,2555000.0,936230.0,172.90302596584172,2919000.0,-12.470023980815348,54.524361948955566,regularMarketPrice,116.89,8.72,51.31,9.0,11.62,44.15,45.95,46.76,101.16,,27182 -> 58955,,,,,,,,,,,0.08,,2026-06-23,4.51,12,0,20,20,0,10,5,5,72,A,1
005930.KS,005930,삼성전자,18123463,310000.0,165725.5,87.0563069654338,362500.0,-14.482758620689657,39.045553145333855,daily_close,32.61,21.95,47.62,8.0,4.92,10.85,29.94,10.88,33.23,75.51,2131 -> 4950 -> 6564,,,,,,,,,,,0.25,75.51,2026-06-23,4.51,15,0,12,20,15,10,5,5,82,A,2
402340.KS,402340,SK스퀘어,2417477,1832000.0,552255.5,231.73051241680707,1970000.0,-7.00507614213198,67.11267605633736,daily_close,143.06,4.22,48.01,6.0,6.51,37.82,9.01,77.76,124.39,,27346 -> 66468,,,,,,,,,,,0.04,,2026-06-23,4.51,15,0,20,20,0,10,1,0,66,B,3
005935.KS,005935,삼성전자우,1624801,202500.0,116820.5,73.34286362410707,231500.0,-12.526997840172784,38.75968992247642,regularMarketPrice,32.61,21.95,47.62,5.0,3.09,10.85,29.94,10.88,33.23,75.51,2131 -> 4950 -> 6564,,,,,,,,,,,0.15,75.51,2026-06-23,4.51,15,0,12,20,15,10,5,5,82,A,4
009150.KS,009150,삼성전기,1486404,1990000.0,529204.0,276.03646230943076,2270000.0,-12.334801762114537,55.32811559301579,daily_close,3.96,23.43,39.4,137.0,17.47,7.7,48.98,9.91,24.26,29.21,5450 -> 8752 -> 9099,,,,,,,,,,,34.6,29.21,2026-06-23,4.51,0,0,6,0,15,2,3,5,31,D,5
005380.KS,005380,현대차,1046312,511000.0,416020.0,22.830633142637375,750000.0,-31.866666666666667,18.1286549707595,daily_close,-23.26,5.89,25.28,16.0,1.34,8.41,188.95,6.29,-19.46,-9.97,43589 -> 46042 -> 35331,,,,,,,,,,,,-9.97,2026-06-23,4.51,8,6,6,0,0,0,1,5,26,D,6
032830.KS,032830,삼성생명,850000,425000.0,214081.0,98.52298896212181,497000.0,-14.486921529175051,42.23163841807743,regularMarketPrice,9.3,9.99,23.21,35.0,1.1,4.96,440.89,9.92,3.23,10.22,9477 -> 10534 -> 11514,,,,,,,,,,,3.76,10.22,2026-06-23,4.51,0,8,0,0,8,5,5,5,31,D,7
373220.KS,373220,LG에너지솔루션,847080,362000.0,407457.5,-11.156378272580577,514000.0,-29.571984435797667,28.64721485410928,daily_close,,80.86,5.48,-370.0,4.27,-5.19,129.0,-7.6,133.94,,-,,,,,,,,,,,,,2026-06-23,4.51,0,0,0,0,0,0,3,5,8,D,8
028260.KS,028260,삼성물산,737862,455000.0,283505.5,60.49071358403981,535000.0,-14.953271028037381,46.356033452806095,daily_close,15.35,12.4,31.12,31.0,1.29,6.02,50.5,-3.23,10.37,9.45,11824 -> 12280 -> 14165,,,,,,,,,,,2.02,9.45,2026-06-23,4.51,0,6,6,0,8,8,5,5,38,D,9
329180.KS,329180,HD현대중공업,617172,588000.0,569087.5,3.323302655567026,745000.0,-21.073825503355707,37.23723723723567,regularMarketPrice,124.28,179.12,13.72,23.0,7.21,18.82,180.07,21.36,188.93,651.55,278 -> 7001 -> 15702,,,,,,,,,,,0.19,651.55,2026-06-23,4.51,4,0,16,20,15,10,5,5,75,A,10
