yf_symbol,symbol,name,market_cap,price,ma200,diff,peak,peak_diff,rsi,price_source,eps_growth,hist_per_avg,foreign_supply,per,pbr,roe,debt_ratio,revenue_growth,operating_growth,eps_cagr,eps3y,revenue,operating_income,net_income,operating_margin,net_margin,operating_cashflow,free_cashflow,cash,total_debt,net_cash,cagr,peg,data_date,us_10y_bond,score_per,score_pbr,score_roe,score_peg,score_cagr,score_eps3y,score_rsi,score_peak_diff,score,grade,rank
005930.KS,005930,삼성전자,19906578,340500.0,167076.5,103.79885860668617,362500.0,-6.068965517241379,47.81746031745766,daily_close,32.61,21.95,47.62,8.0,4.92,10.85,29.94,10.88,33.23,75.51,2131 -> 4950 -> 6564,,,,,,,,,,,75.51,0.25,2026-06-24,4.25,15,0,12,20,15,10,5,0,77,A,1
000660.KS,000660,SK하이닉스,18387721,2580000.0,947822.5,172.20286498790648,2919000.0,-11.613566289825282,56.65722379603363,regularMarketPrice,116.89,8.72,51.31,9.0,11.62,44.15,45.95,46.76,101.16,,27182 -> 58955,,,,,,,,,,,,0.08,2026-06-24,4.25,12,0,20,20,0,10,3,5,70,A,2
402340.KS,402340,SK스퀘어,2373931,1799000.0,560544.5,220.93794515868055,1970000.0,-8.68020304568528,65.22948539638324,regularMarketPrice,143.06,4.22,48.01,6.0,6.51,37.82,9.01,77.76,124.39,,27346 -> 66468,,,,,,,,,,,,0.04,2026-06-24,4.25,15,0,20,20,0,10,1,0,66,B,3
005935.KS,005935,삼성전자우,1713062,213500.0,117600.5,81.54684716476545,231500.0,-7.775377969762419,47.47081712061739,regularMarketPrice,32.61,21.95,47.62,5.0,3.09,10.85,29.94,10.88,33.23,75.51,2131 -> 4950 -> 6564,,,,,,,,,,,75.51,0.15,2026-06-24,4.25,15,0,12,20,15,10,5,0,77,A,4
009150.KS,009150,삼성전기,1466984,1964000.0,538226.5,264.90213692562514,2270000.0,-13.480176211453745,57.798742138364275,daily_close,3.96,23.43,39.4,137.0,17.47,7.7,48.98,9.91,24.26,29.21,5450 -> 8752 -> 9099,,,,,,,,,,,29.21,34.6,2026-06-24,4.25,0,0,6,0,15,2,3,5,31,D,5
005380.KS,005380,현대차,1042217,509000.0,417472.5,21.92419859990778,750000.0,-32.13333333333333,19.682539682538803,daily_close,-23.26,5.89,25.28,16.0,1.34,8.41,188.95,6.29,-19.46,-9.97,43589 -> 46042 -> 35331,,,,,,,,,,,-9.97,,2026-06-24,4.25,8,6,6,0,0,0,1,5,26,D,6
032830.KS,032830,삼성생명,866000,433000.0,215550.5,100.88100004407319,497000.0,-12.877263581488934,49.21874999999785,regularMarketPrice,9.3,9.99,23.21,35.0,1.1,4.96,440.89,9.92,3.23,10.22,9477 -> 10534 -> 11514,,,,,,,,,,,10.22,3.76,2026-06-24,4.25,0,8,0,0,8,5,5,5,31,D,7
373220.KS,373220,LG에너지솔루션,855270,365500.0,407380.0,-10.280327949334774,514000.0,-28.891050583657584,33.527696793000175,regularMarketPrice,,80.86,5.48,-370.0,4.27,-5.19,129.0,-7.6,133.94,,-,,,,,,,,,,,,,2026-06-24,4.25,0,0,0,0,0,0,3,5,8,D,8
028260.KS,028260,삼성물산,780836,481500.0,285099.0,68.88870181936801,535000.0,-10.0,43.23640960808949,daily_close,15.35,12.4,31.12,31.0,1.29,6.02,50.5,-3.23,10.37,9.45,11824 -> 12280 -> 14165,,,,,,,,,,,9.45,2.02,2026-06-24,4.25,0,6,6,0,8,8,5,5,38,D,9
207940.KS,207940,삼성바이오로직스,641129,1385000.0,1609824.035,-13.965752163713962,1965000.0,-29.51653944020356,52.9812606473582,daily_close,74.57,82.79,12.49,32.0,8.02,19.44,48.44,30.31,56.59,48.49,12051 -> 15221 -> 26572,,,,,,,,,,,48.49,0.43,2026-06-24,4.25,0,0,16,20,15,10,5,5,71,A,10
329180.KS,329180,HD현대중공업,616122,587000.0,569682.5,3.0398511451554153,745000.0,-21.20805369127517,39.743589743587954,daily_close,124.28,179.12,13.72,23.0,7.21,18.82,180.07,21.36,188.93,651.55,278 -> 7001 -> 15702,,,,,,,,,,,651.55,0.19,2026-06-24,4.25,4,0,16,20,15,10,5,5,75,A,11
034020.KS,034020,두산에너빌리티,580348,90600.0,89684.0,1.0213638999152581,136400.0,-33.577712609970675,42.007434944226986,daily_close,-24.14,284.35,23.75,213.0,7.81,1.11,129.1,5.08,-25.05,23.18,87 -> 174 -> 132,,,,,,,,,,,23.18,,2026-06-24,4.25,0,0,0,0,12,0,5,5,22,D,12
