yf_symbol,symbol,name,market_cap,price,ma200,diff,peak,peak_diff,rsi,price_source,price_basis,price_time,after_market_price,after_market_change_pct,eps_growth,hist_per_avg,foreign_supply,per,pbr,roe,debt_ratio,revenue_growth,operating_growth,eps_cagr,eps3y,revenue,operating_income,net_income,operating_margin,net_margin,operating_cashflow,free_cashflow,cash,total_debt,net_cash,cagr,peg,data_date,us_10y_bond,score_per,score_pbr,score_roe,score_peg,score_cagr,score_eps3y,score_rsi,score_peak_diff,score,grade,rank
005930.KS,005930,삼성전자,19848115,340000.0,169865.5,100.1583605852866,362500.0,-6.206896551724138,59.44206008583334,nxt_web_latest,NXT 체결가,2026-06-26 17:41 KST,,,32.61,21.95,47.37,8.0,4.72,10.85,29.94,10.88,33.23,75.51,2131 -> 4950 -> 6564,3336059.0,436010.0,452068.0,13.07,13.55,,,,,,75.51,0.25,2026-06-26,4.25,15,0,12,20,15,10,3,0,75,A,1
000660.KS,000660,SK하이닉스,19050534,2712000.0,973130.0,178.68835612919136,2919000.0,-7.091469681397738,66.47923875432485,nxt_web_latest,NXT 체결가,2026-06-26 17:41 KST,,,116.89,8.72,50.77,9.0,11.24,44.15,45.95,46.76,101.16,,27182 -> 58955,971467.0,472063.0,429479.0,48.59,44.21,,,,,,,0.08,2026-06-26,4.25,12,0,20,20,0,10,1,0,63,B,2
402340.KS,402340,SK스퀘어,2269684,1731000.0,577192.0,199.90020651706882,1970000.0,-12.131979695431472,70.42062415196676,nxt_web_latest,NXT 체결가,2026-06-26 17:41 KST,,,143.06,4.22,46.41,6.0,6.29,37.82,9.01,77.76,124.39,,27346 -> 66468,104556.0,87974.0,88187.0,84.14,84.34,,,,,,,0.04,2026-06-26,4.25,15,0,20,20,0,10,1,5,71,A,3
009150.KS,009150,삼성전기,1488645,2003000.0,556560.5,259.8889967936999,2270000.0,-11.762114537444933,61.01808439383734,nxt_web_latest,NXT 체결가,2026-06-26 17:41 KST,,,3.96,23.43,39.18,120.0,15.34,7.7,48.98,9.91,24.26,29.21,5450 -> 8752 -> 9099,113145.0,9133.0,7310.0,8.07,6.46,,,,,,29.21,30.3,2026-06-26,4.25,0,0,6,0,15,2,3,5,31,D,4
005380.KS,005380,현대차,983861,480500.0,420180.0,14.355752296634774,750000.0,-35.93333333333334,21.94690265486618,nxt_web_latest,NXT 체결가,2026-06-26 17:41 KST,,,-23.26,5.89,24.92,12.0,1.05,8.41,188.95,6.29,-19.46,-9.97,43589 -> 46042 -> 35331,1862545.0,114679.0,103648.0,6.16,5.56,,,,,,-9.97,,2026-06-26,4.25,12,8,6,0,0,0,1,5,32,D,5
032830.KS,032830,삼성생명,865000,433500.0,218534.0,98.36730211317231,497000.0,-12.776659959758552,59.96503496503203,nxt_web_latest,NXT 체결가,2026-06-26 17:41 KST,,,9.3,9.99,23.21,30.0,0.96,4.96,440.89,9.92,3.23,10.22,9477 -> 10534 -> 11514,371383.0,25805.0,24515.0,6.95,6.6,,,,,,10.22,3.23,2026-06-26,4.25,0,8,0,0,8,5,3,5,29,D,6
028260.KS,028260,삼성물산,801918,499500.0,288504.0,73.13451459945097,535000.0,-6.635514018691589,62.990936555888574,nxt_web_latest,NXT 체결가,2026-06-26 17:41 KST,,,15.35,12.4,30.75,31.0,1.3,6.02,50.5,-3.23,10.37,9.45,11824 -> 12280 -> 14165,407422.0,32927.0,39067.0,8.08,9.59,,,,,,9.45,2.02,2026-06-26,4.25,0,6,6,0,8,8,3,0,31,D,7
373220.KS,373220,LG에너지솔루션,775710,333500.0,407110.0,-18.08110829996807,514000.0,-35.11673151750973,33.43023255813682,nxt_web_latest,NXT 체결가,2026-06-26 17:41 KST,,,,80.86,5.51,-239.0,3.5,-5.19,129.0,-7.6,133.94,,-,236718.0,13461.0,808.0,5.69,0.34,,,,,,,,2026-06-26,4.25,0,0,0,0,0,0,3,5,8,D,8
207940.KS,207940,삼성바이오로직스,621687,1346000.0,1608516.115,-16.320390734786017,1965000.0,-31.50127226463104,59.54198473282284,nxt_web_latest,NXT 체결가,2026-06-26 17:41 KST,,,74.57,82.79,12.6,32.0,7.84,19.44,48.44,30.31,56.59,48.49,12051 -> 15221 -> 26572,45570.0,20692.0,17844.0,45.41,39.16,,,,,,48.49,0.43,2026-06-26,4.25,0,0,16,20,15,10,3,5,69,B,9
329180.KS,329180,HD현대중공업,591981,562000.0,570292.5,-1.4540783895983203,745000.0,-24.563758389261743,39.78494623655714,nxt_web_latest,NXT 체결가,2026-06-26 17:41 KST,,,124.28,179.12,14.01,19.0,6.09,18.82,180.07,21.36,188.93,651.55,278 -> 7001 -> 15702,175806.0,20375.0,14155.0,11.59,8.05,,,,,,651.55,0.15,2026-06-26,4.25,4,0,16,20,15,10,5,5,75,A,10
