yf_symbol,symbol,name,market_cap,price,ma200,diff,peak,peak_diff,rsi,price_source,price_basis,price_time,after_market_price,after_market_change_pct,eps_growth,hist_per_avg,foreign_supply,per,pbr,roe,debt_ratio,revenue_growth,operating_growth,eps_cagr,eps3y,revenue,operating_income,net_income,operating_margin,net_margin,operating_cashflow,free_cashflow,cash,total_debt,net_cash,dart_source,dart_year,dart_fs_div,dart_report_code,peg,cagr,data_date,us_10y_bond,score_per,score_pbr,score_roe,score_peg,score_cagr,score_eps3y,score_rsi,score_peak_diff,score,grade,rank
005930.KS,005930,삼성전자,18883479,325000.0,171132.0,89.9118808872683,362500.0,-10.344827586206897,50.22421524663361,nxt_web_latest,NXT 체결가,2026-06-29 18:27 KST,,,32.61,21.95,47.24,7.0,4.49,10.85,29.94,10.88,33.23,75.51,2131 -> 4950 -> 6564,3336059.0,436010.0,452068.0,13.07,13.55,853151.48,331619.99,578563.78,1306217.73,-727653.95,OpenDART,2025,CFS,11011,0.21,75.51,2026-06-29,4.25,15,0,12,20,15,10,5,5,82,A,1
000660.KS,000660,SK하이닉스,18729818,2626000.0,984925.0,166.6192857324162,2919000.0,-10.037684138403563,60.05845104724752,nxt_web_latest,NXT 체결가,2026-06-29 18:27 KST,,,116.89,8.72,50.63,9.0,11.05,44.15,45.95,46.76,101.16,,27182 -> 58955,971467.0,472063.0,429479.0,48.59,44.21,533731.26,247937.83,149237.66,554409.08,-405171.42,OpenDART,2025,CFS,11011,0.08,,2026-06-29,4.25,12,0,20,20,0,10,3,5,70,A,2
402340.KS,402340,SK스퀘어,2164117,1644000.0,584647.0,181.19531956890228,1970000.0,-16.548223350253807,63.22166785459667,nxt_web_latest,NXT 체결가,2026-06-29 18:27 KST,,,143.06,4.22,46.29,6.0,5.99,37.82,9.01,77.76,124.39,,27346 -> 66468,104556.0,87974.0,88187.0,84.14,84.34,3872.02,3485.68,13107.18,25213.83,-12106.65,OpenDART,2025,CFS,11011,0.04,,2026-06-29,4.25,15,0,20,20,0,10,3,5,73,A,3
009150.KS,009150,삼성전기,1522257,2043000.0,565948.0,260.98722850862623,2270000.0,-10.0,52.75974025973966,nxt_web_latest,NXT 체결가,2026-06-29 18:27 KST,,,3.96,23.43,39.29,123.0,15.69,7.7,48.98,9.91,24.26,29.21,5450 -> 8752 -> 9099,113145.0,9133.0,7310.0,8.07,6.46,14900.91,2437.67,27012.06,47985.51,-20973.45,OpenDART,2025,CFS,11011,31.06,29.21,2026-06-29,4.25,0,0,6,0,15,2,5,5,33,D,4
005380.KS,005380,현대차,1017646,498500.0,421565.0,18.249854708052137,750000.0,-33.53333333333333,26.254180602005462,nxt_web_latest,NXT 체결가,2026-06-29 18:27 KST,,,-23.26,5.89,24.91,13.0,1.09,8.41,188.95,6.29,-19.46,-9.97,43589 -> 46042 -> 35331,1862545.0,114679.0,103648.0,6.16,5.56,-59912.7,-170611.26,183605.66,2411966.12,-2228360.46,OpenDART,2025,CFS,11011,,-9.97,2026-06-29,4.25,8,8,6,0,0,0,3,5,30,D,5
373220.KS,373220,LG에너지솔루션,937170,396500.0,407352.5,-2.6641545099146313,514000.0,-22.859922178988327,50.85836909870938,nxt_web_latest,NXT 체결가,2026-06-29 18:27 KST,,,,80.86,5.51,-289.0,4.23,-5.19,129.0,-7.6,133.94,,-,236718.0,13461.0,808.0,5.69,0.34,44322.77,-65663.98,37793.07,378262.77,-340469.7,OpenDART,2025,CFS,11011,,,2026-06-29,4.25,0,0,0,0,0,0,5,5,10,D,6
032830.KS,032830,삼성생명,817000,408000.0,219861.0,85.57179308745071,497000.0,-17.90744466800805,52.649572649570125,nxt_web_latest,NXT 체결가,2026-06-29 18:27 KST,,,9.3,9.99,23.22,29.0,0.9,4.96,440.89,9.92,3.23,10.22,9477 -> 10534 -> 11514,371383.0,25805.0,24515.0,6.95,6.6,52562.61,48930.1,45378.33,2858503.83,-2813125.5,OpenDART,2025,CFS,11011,3.12,10.22,2026-06-29,4.25,0,8,0,0,8,5,5,5,31,D,7
028260.KS,028260,삼성물산,763809,471000.0,290020.0,62.402592924625885,535000.0,-11.962616822429908,56.28742514969824,nxt_web_latest,NXT 체결가,2026-06-29 18:27 KST,,,15.35,12.4,30.66,29.0,1.24,6.02,50.5,-3.23,10.37,9.45,11824 -> 12280 -> 14165,407422.0,32927.0,39067.0,8.08,9.59,30237.41,11182.11,34582.18,290357.96,-255775.78,OpenDART,2025,CFS,11011,1.89,9.45,2026-06-29,4.25,0,6,6,5,8,8,3,5,41,C,8
207940.KS,207940,삼성바이오로직스,670292,1439000.0,1608390.035,-10.531651608995446,1965000.0,-26.768447837150127,63.19444444444291,nxt_web_latest,NXT 체결가,2026-06-29 18:27 KST,,,74.57,82.79,12.63,34.0,8.45,19.44,48.44,30.31,56.59,48.49,12051 -> 15221 -> 26572,45570.0,20692.0,17844.0,45.41,39.16,22478.07,7727.33,1488.51,36096.31,-34607.8,OpenDART,2025,CFS,11011,0.46,48.49,2026-06-29,4.25,0,0,16,20,15,10,3,5,69,B,9
329180.KS,329180,HD현대중공업,621370,596000.0,570652.5,4.441845080850429,745000.0,-20.0,46.64429530201124,nxt_web_latest,NXT 체결가,2026-06-29 18:27 KST,,,124.28,179.12,14.14,20.0,6.4,18.82,180.07,21.36,188.93,651.55,278 -> 7001 -> 15702,175806.0,20375.0,14155.0,11.59,8.05,35103.92,29689.02,18699.18,168214.24,-149515.06,OpenDART,2025,CFS,11011,0.16,651.55,2026-06-29,4.25,4,0,16,20,15,10,5,5,75,A,10
034730.KS,034730,SK,569146,780000.0,353650.0,120.55704792874312,858000.0,-9.090909090909092,70.44967880085441,nxt_web_latest,NXT 체결가,2026-06-29 18:27 KST,,,,11.73,29.73,6.0,1.46,6.35,149.17,-0.56,-24.1,,-,1227033.0,18185.0,35552.0,1.48,2.9,60987.98,-39820.79,252141.32,1278283.33,-1026142.01,OpenDART,2025,CFS,11011,,,2026-06-29,4.25,15,6,6,0,0,0,1,0,28,D,11
034020.KS,034020,두산에너빌리티,563693,88300.0,90030.0,-1.9215816949905589,136400.0,-35.26392961876833,45.725646123247714,nxt_web_latest,NXT 체결가,2026-06-29 18:27 KST,,,-24.14,284.35,24.06,192.0,7.02,1.11,129.1,5.08,-25.05,23.18,87 -> 174 -> 132,170579.0,7627.0,2052.0,4.47,1.2,7518.01,536.28,30809.97,155038.53,-124228.56,OpenDART,2025,CFS,11011,,23.18,2026-06-29,4.25,0,0,0,0,12,0,5,5,22,D,12
000270.KS,000270,기아,548920,140900.0,139593.0,0.936293367145917,206000.0,-31.601941747572816,32.28699551568832,nxt_web_latest,NXT 체결가,2026-06-29 18:27 KST,,,-21.72,5.03,38.74,7.0,0.89,12.92,61.76,6.23,-28.33,-6.31,21770 -> 24413 -> 19111,1141409.0,90781.0,75542.0,7.95,6.62,90541.4,40610.71,139981.06,377885.91,-237904.85,OpenDART,2025,CFS,11011,,-6.31,2026-06-29,4.25,15,8,12,0,0,0,3,5,43,C,13
105560.KS,105560,KB금융,545155,153900.0,138405.0,11.195404790289368,172000.0,-10.523255813953488,48.92367906065196,nxt_web_latest,NXT 체결가,2026-06-29 18:27 KST,,,18.98,6.51,80.03,9.0,0.92,9.98,1211.73,-4.52,5.87,15.41,11349 -> 12705 -> 15116,812307.0,85177.0,58407.0,10.49,7.19,42263.78,34879.06,290205.64,7370930.44,-7080724.8,OpenDART,2025,CFS,11011,0.47,15.41,2026-06-29,4.25,12,8,6,20,12,8,5,5,76,A,14
012450.KS,012450,한화에어로스페이스,525946,1019000.0,1144895.0,-10.996204892151681,1537000.0,-33.702016916070264,50.39062499999862,nxt_web_latest,NXT 체결가,2026-06-29 18:27 KST,,,-38.13,15.96,45.38,25.0,5.27,19.14,221.38,137.57,78.38,34.11,15886 -> 46183 -> 28573,267029.0,30893.0,22020.0,11.57,8.25,40498.05,20557.23,77133.55,371654.85,-294521.3,OpenDART,2025,CFS,11011,,34.11,2026-06-29,4.25,4,0,16,0,15,0,5,5,45,C,15
055550.KS,055550,신한지주,457566,96100.0,85602.5,12.263076428842616,107500.0,-10.604651162790697,43.06358381501148,nxt_web_latest,NXT 체결가,2026-06-29 18:27 KST,,,15.39,5.95,61.71,8.0,0.77,8.72,1201.94,-12.67,8.74,9.58,8398 -> 8740 -> 10085,646820.0,70234.0,50845.0,10.86,7.86,97308.81,90892.48,352951.23,7256411.61,-6903460.38,OpenDART,2025,CFS,11011,0.52,9.58,2026-06-29,4.25,15,10,6,20,8,8,5,5,77,A,16
012330.KS,012330,현대모비스,455477,505000.0,415272.5,21.60689667627883,768000.0,-34.24479166666667,35.90909090908937,nxt_web_latest,NXT 체결가,2026-06-29 18:27 KST,,,-8.74,7.12,36.97,11.0,0.88,7.68,43.05,6.78,9.24,4.5,36340 -> 43480 -> 39682,611181.0,33575.0,36647.0,5.49,6.0,44725.15,29568.58,49223.78,211877.37,-162653.59,OpenDART,2025,CFS,11011,,4.5,2026-06-29,4.25,12,8,6,0,4,0,5,5,40,C,17
006400.KS,006400,삼성SDI,412597,520000.0,387694.0,34.12639865460905,712000.0,-26.96629213483146,49.55621301774942,nxt_web_latest,NXT 체결가,2026-06-29 18:27 KST,,,-70.17,22.94,26.7,125.0,1.78,-3.15,79.27,-20.04,-574.1,,27788 -> 8288,132667.0,-17224.0,-5849.0,-12.98,-4.41,7923.86,-23367.18,18039.94,186852.25,-168812.31,OpenDART,2025,CFS,11011,,,2026-06-29,4.25,0,6,0,0,0,0,5,5,16,D,18
068270.KS,068270,셀트리온,397166,178300.0,184152.425,-3.178033088622096,236861.0,-24.72378314707782,57.615894039721745,nxt_web_latest,NXT 체결가,2026-06-29 18:27 KST,,,148.85,65.74,24.66,29.0,2.33,5.94,28.71,17.01,137.5,15.32,3187 -> 1703 -> 4238,41625.0,11685.0,10315.0,28.07,24.78,6460.51,3143.17,11192.06,49823.7,-38631.64,OpenDART,2025,CFS,11011,0.19,15.32,2026-06-29,4.25,0,3,6,20,12,10,3,5,59,B,19
267260.KS,267260,HD현대일렉트릭,337761,941000.0,895207.5,5.11529449876146,1420000.0,-33.732394366197184,49.46401225114749,nxt_web_latest,NXT 체결가,2026-06-29 18:27 KST,,,46.07,25.65,34.88,35.0,16.22,41.5,134.63,22.79,48.77,68.14,7189 -> 13914 -> 20324,40795.0,9953.0,7318.0,24.4,17.94,9595.73,7176.58,9507.82,27368.8,-17860.98,OpenDART,2025,CFS,11011,0.76,68.14,2026-06-29,4.25,0,0,20,16,15,10,5,5,71,A,20
010120.KS,010120,LS ELECTRIC,336000,225500.0,140041.5,61.023696547094964,318500.0,-29.199372056514918,51.28939828079818,nxt_web_latest,NXT 체결가,2026-06-29 18:27 KST,,,20.11,26.34,18.39,66.0,16.11,14.67,131.48,9.1,9.42,17.98,1373 -> 1591 -> 1911,49658.0,4264.0,2843.0,8.59,5.73,2999.48,903.82,7627.17,28153.81,-20526.64,OpenDART,2025,CFS,11011,3.28,17.98,2026-06-29,4.25,0,0,12,0,12,8,5,5,42,C,21
042660.KS,042660,한화오션,323266,107200.0,123452.5,-13.164982483141289,149900.0,-28.48565710473649,51.74603174602408,nxt_web_latest,NXT 체결가,2026-06-29 18:27 KST,,,135.85,27.59,10.55,21.0,4.74,22.59,226.17,18.63,390.79,131.76,757 -> 1724 -> 4066,127835.0,11676.0,12459.0,9.13,9.75,13146.72,5980.49,7784.71,139659.07,-131874.36,OpenDART,2025,CFS,11011,0.15,131.76,2026-06-29,4.25,4,0,20,20,15,10,5,5,79,A,22
066570.KS,066570,LG전자,320394,196900.0,123677.0,59.20502599513249,392500.0,-49.8343949044586,30.404889228415385,nxt_web_latest,NXT 체결가,2026-06-29 18:27 KST,,,161.86,28.06,28.49,18.0,1.38,4.28,140.33,1.68,-27.53,16.18,3942 -> 2032 -> 5321,892009.0,24784.0,12204.0,2.78,1.37,42805.0,3731.2,87698.41,400681.42,-312983.01,OpenDART,2025,CFS,11011,0.11,16.18,2026-06-29,4.25,8,6,0,20,12,10,3,3,62,B,23
035420.KS,035420,NAVER,320050,205000.0,237179.5,-13.567572239590689,290500.0,-29.43201376936317,27.87979966610692,nxt_web_latest,NXT 체결가,2026-06-29 18:27 KST,,,3.89,24.18,34.83,16.0,1.04,7.36,41.9,12.08,11.56,41.51,6180 -> 11913 -> 12376,120350.0,22081.0,18187.0,18.35,15.11,30958.07,17763.67,59840.19,121314.83,-61474.64,OpenDART,2025,CFS,11011,4.11,41.51,2026-06-29,4.25,8,8,6,0,15,2,3,5,47,C,24
086790.KS,086790,하나금융지주,314974,114600.0,104542.0,9.62101356392646,132000.0,-13.18181818181818,45.696721311462305,nxt_web_latest,NXT 체결가,2026-06-29 18:27 KST,,,9.62,4.94,68.45,7.0,0.68,9.17,1377.89,-15.53,10.21,10.23,11613 -> 12872 -> 14110,689436.0,53509.0,40366.0,7.76,5.85,-19624.71,-39700.46,365650.97,6289451.22,-5923800.25,OpenDART,2025,CFS,11011,0.73,10.23,2026-06-29,4.25,15,10,6,16,8,5,5,5,70,A,25
298040.KS,298040,효성중공업,305285,3283000.0,2480395.0,32.357951052150966,4601000.0,-28.64594653336231,45.51371455137116,nxt_web_latest,NXT 체결가,2026-06-29 18:27 KST,,,133.52,20.47,26.83,39.0,12.72,24.41,190.31,21.93,106.07,111.72,12438 -> 23876 -> 55755,59685.0,7470.0,5028.0,12.52,8.42,4930.1,3010.24,2167.73,47381.62,-45213.89,OpenDART,2025,CFS,11011,0.29,111.72,2026-06-29,4.25,0,0,20,20,15,10,5,5,75,A,26
000810.KS,000810,삼성화재,279046,618000.0,504305.0,22.544888509929507,730000.0,-15.342465753424658,44.140624999997584,nxt_web_latest,NXT 체결가,2026-06-29 18:27 KST,,,-0.74,9.42,58.36,14.0,1.1,10.97,352.98,9.36,0.36,6.39,35961 -> 41007 -> 40703,247785.0,26591.0,20203.0,10.73,8.15,34131.66,33305.3,20198.04,751580.1,-731382.06,OpenDART,2025,CFS,11011,,6.39,2026-06-29,4.25,8,8,12,0,4,0,5,5,42,C,27
