yf_symbol,symbol,name,market_cap,krx_source,price,ma200,diff,peak,peak_diff,rsi,price_source,price_basis,price_time,after_market_price,after_market_change_pct,eps_growth,hist_per_avg,foreign_supply,per,pbr,roe,debt_ratio,revenue_growth,operating_growth,eps_cagr,eps3y,revenue,operating_income,net_income,operating_margin,net_margin,operating_cashflow,free_cashflow,cash,total_debt,net_cash,dividend_yield,payout_ratio,dividend_per_share,dividend_total,dividend_source,dividend_growth_3y,dividend_consecutive_years,dividend_cut_flag,peg,cagr,dividend_history_years,dividend_history_source,dividend_year,dividend_report_code,dart_source,dart_year,dart_fs_div,dart_report_code,sector,industry,data_date,us_10y_bond,score_per,score_pbr,score_roe,score_peg,score_cagr,score_eps3y,score_rsi,score_peak_diff,score,grade,rank
005930.KS,005930,삼성전자,18386546,,316000.0,173691.0,81.93228204109597,362500.0,-12.827586206896552,53.36225596528959,nxt_web_latest,NXT 체결가,2026-07-01 22:52 KST,,,32.61,21.95,46.96,7.0,4.37,10.85,29.94,10.88,33.23,75.51,2131 -> 4950 -> 6564,3336059.0,436010.0,452068.0,13.07,13.55,853151.48,331619.99,578563.78,1306217.73,-727653.95,0.53,25.1,1668.0,111079.06,OpenDART,3.67,5.0,False,0.21,75.51,5.0,OpenDART,2025.0,11011.0,OpenDART,2025.0,CFS,11011.0,,,2026-07-01,4.25,15,0,12,20,15,10,5,5,82,A,1
000660.KS,000660,SK하이닉스,18245180,,2551000.0,1008392.5,152.97689143860154,2919000.0,-12.60705721137376,61.79948586118208,nxt_web_latest,NXT 체결가,2026-07-01 22:52 KST,,,116.89,8.72,50.36,8.0,10.77,44.15,45.95,46.76,101.16,,27182 -> 58955,971467.0,472063.0,429479.0,48.59,44.21,533731.26,247937.83,149237.66,554409.08,-405171.42,0.12,4.9,3000.0,20951.33,OpenDART,18.14,5.0,True,0.07,,5.0,OpenDART,2025.0,11011.0,OpenDART,2025.0,CFS,11011.0,,,2026-07-01,4.25,15,0,20,20,0,10,3,5,73,A,2
402340.KS,402340,SK스퀘어,2318508,,1731000.0,600474.0,188.2722649107205,1970000.0,-12.131979695431472,69.04247660187116,nxt_web_latest,NXT 체결가,2026-07-01 22:52 KST,,,143.06,4.22,45.92,6.0,6.42,37.82,9.01,77.76,124.39,,27346 -> 66468,104556.0,87974.0,88187.0,84.14,84.34,3872.02,3485.68,13107.18,25213.83,-12106.65,,,,,,,,,0.04,,,,,,OpenDART,2025.0,CFS,11011.0,,,2026-07-01,4.25,15,0,20,20,0,10,1,5,71,A,3
009150.KS,009150,삼성전기,1646995,,2198000.0,586232.5,274.9365652706051,2270000.0,-3.1718061674008813,66.20745542949682,nxt_web_latest,NXT 체결가,2026-07-01 22:52 KST,,,3.96,23.43,39.73,133.0,16.97,7.7,48.98,9.91,24.26,29.21,5450 -> 8752 -> 9099,113145.0,9133.0,7310.0,8.07,6.46,14900.91,2437.67,27012.06,47985.51,-20973.45,0.11,25.2,2350.0,1776.79,OpenDART,2.85,5.0,True,33.59,29.21,5.0,OpenDART,2025.0,11011.0,OpenDART,2025.0,CFS,11011.0,,,2026-07-01,4.25,0,0,6,0,15,2,1,0,24,D,4
005935.KS,005935,삼성전자우,1640849,,204500.0,121597.5,68.17779970805321,235000.0,-12.978723404255318,54.19847328243696,daily_close,NXT 미확인,2026-07-01 22:56 KST,,,32.61,21.95,46.96,5.0,2.84,10.85,29.94,10.88,33.23,75.51,2131 -> 4950 -> 6564,3336059.0,436010.0,452068.0,13.07,13.55,,,,,,,,,,,,,,0.15,75.51,,,,,,,,,,,2026-07-01,4.25,15,3,12,20,15,10,5,5,85,S,5
005380.KS,005380,현대차,998194,,487000.0,424275.0,14.78404336809852,750000.0,-35.06666666666667,29.455909943713262,nxt_web_latest,NXT 체결가,2026-07-01 22:52 KST,,,-23.26,5.89,24.81,12.0,1.07,8.41,188.95,6.29,-19.46,-9.97,43589 -> 46042 -> 35331,1862545.0,114679.0,103648.0,6.16,5.56,-59912.7,-170611.26,183605.66,2411966.12,-2228360.46,2.05,27.7,10000.0,26182.63,OpenDART,18.92,5.0,True,,-9.97,5.0,OpenDART,2025.0,11011.0,OpenDART,2025.0,CFS,11011.0,,,2026-07-01,4.25,12,8,6,0,0,0,3,5,34,D,6
373220.KS,373220,LG에너지솔루션,814320,,350000.0,407407.5,-14.090928615698042,514000.0,-31.90661478599221,43.32723948811478,nxt_web_latest,NXT 체결가,2026-07-01 22:52 KST,,,,80.86,5.52,-257.0,3.67,-5.19,129.0,-7.6,133.94,,-,236718.0,13461.0,808.0,5.69,0.34,44322.77,-65663.98,37793.07,378262.77,-340469.7,,,,,,,,,,,,,,,OpenDART,2025.0,CFS,11011.0,,,2026-07-01,4.25,0,0,0,0,0,0,5,5,10,D,7
032830.KS,032830,삼성생명,774000,,382000.0,222323.5,71.82169226375079,497000.0,-23.13883299798793,53.8461538461512,nxt_web_latest,NXT 체결가,2026-07-01 22:52 KST,,,9.3,9.99,23.21,27.0,0.86,4.96,440.89,9.92,3.23,10.22,9477 -> 10534 -> 11514,371383.0,25805.0,24515.0,6.95,6.6,52562.61,48930.1,45378.33,2858503.83,-2813125.5,,41.3,,9517.46,OpenDART,,0.0,False,2.9,10.22,0.0,OpenDART,2025.0,11011.0,OpenDART,2025.0,CFS,11011.0,,,2026-07-01,4.25,0,8,0,0,8,5,5,5,31,D,8
028260.KS,028260,삼성물산,703807,,433000.0,292860.5,47.8519636482216,535000.0,-19.065420560747665,53.458213256482,nxt_web_latest,NXT 체결가,2026-07-01 22:52 KST,,,15.35,12.4,30.6,27.0,1.14,6.02,50.5,-3.23,10.37,9.45,11824 -> 12280 -> 14165,407422.0,32927.0,39067.0,8.08,9.59,30237.41,11182.11,34582.18,290357.96,-255775.78,0.65,18.8,2800.0,4582.52,OpenDART,-9.64,5.0,True,1.76,9.45,5.0,OpenDART,2025.0,11011.0,OpenDART,2025.0,CFS,11011.0,,,2026-07-01,4.25,0,8,6,5,8,8,5,5,45,C,9
207940.KS,207940,삼성바이오로직스,646221,,1393000.0,1607659.105,-13.352277502885164,1965000.0,-29.10941475826972,58.81410256410124,nxt_web_latest,NXT 체결가,2026-07-01 22:52 KST,,,74.57,82.79,12.68,33.0,8.15,19.44,48.44,30.31,56.59,48.49,12051 -> 15221 -> 26572,45570.0,20692.0,17844.0,45.41,39.16,22478.07,7727.33,1488.51,36096.31,-34607.8,,,,,,,,,0.44,48.49,,,,,OpenDART,2025.0,CFS,11011.0,,,2026-07-01,4.25,0,0,16,20,15,10,3,5,69,B,10
