yf_symbol,symbol,name,market_cap,listing_department,products,krx_market,security_group,krx_source,price,ma200,diff,peak,peak_diff,rsi,price_source,price_basis,price_time,after_market_price,after_market_change_pct,eps_growth,hist_per_avg,foreign_supply,per,pbr,roe,debt_ratio,revenue_growth,operating_growth,eps_cagr,eps3y,revenue,operating_income,net_income,operating_margin,net_margin,operating_cashflow,free_cashflow,cash,total_debt,net_cash,dividend_yield,payout_ratio,dividend_per_share,dividend_total,dividend_source,dividend_growth_3y,dividend_consecutive_years,dividend_cut_flag,analyst_buy_ratio,consensus_revision,target_mean,target_high,target_low,target_upside,earnings_surprise_pct,finnhub_source,cagr,dividend_year,dividend_report_code,dividend_history_years,dividend_history_source,peer_per_avg,peer_pbr_avg,peer_roe_avg,peer_group_count,peg,peer_per_gap,peer_pbr_gap,dart_source,dart_year,dart_fs_div,dart_report_code,sector,industry,data_date,us_10y_bond,score_per,score_pbr,score_roe,score_peg,score_cagr,score_eps3y,score_rsi,score_peak_diff,score,grade,rank
005930.KS,005930,삼성전자,17304984,,"통신 및 방송 장비 제조(무선) 제품, 반도체 제조(메모리) 제품, 전자부품 제조(디스플레이) 제품, 영상 및 음향기기 제조(영상기기) 제품 등",KOSPI,주권,KRX,291000.0,178341.0,63.17055528453916,362500.0,-19.724137931034484,40.4896421845553,nxt_web_latest,NXT 체결가,2026-07-07 22:40 KST,,,32.61,21.95,46.96,7.0,4.37,10.85,29.94,10.88,33.23,75.51,2131 -> 4950 -> 6564,3336059.0,436010.0,452068.0,13.07,13.55,853151.48,331619.99,578563.78,1306217.73,-727653.95,0.57,25.1,1668.0,111079.06,OpenDART,3.67,5.0,False,,,,,,,,,75.51,2025.0,11011.0,5.0,OpenDART,12.5,2.86,7.56,2,0.21,,,,,,,통신 및 방송 장비 제조업,통신 및 방송 장비 제조업,2026-07-07,4.5,15,0,12,20,15,10,5,5,82,A,1
000660.KS,000660,SK하이닉스,15686579,,"반도체,컴퓨터,통신기기 제조,도매",KOSPI,주권,KRX,2167000.0,1048780.0,106.62102633536108,2919000.0,-25.76224734498116,43.22033898305059,nxt_web_latest,NXT 체결가,2026-07-07 22:40 KST,,,116.89,8.72,50.36,8.0,10.77,44.15,45.95,46.76,101.16,,27182 -> 58955,971467.0,472063.0,429479.0,48.59,44.21,533731.26,247937.83,149237.66,554409.08,-405171.42,0.14,4.9,3000.0,20951.33,OpenDART,18.14,5.0,True,,,,,,,,,,2025.0,11011.0,5.0,OpenDART,8.0,10.77,44.15,1,0.07,,,,,,,반도체 제조업,반도체 제조업,2026-07-07,4.5,15,0,20,20,0,10,5,5,75,A,2
402340.KS,402340,SK스퀘어,1789355,,지주회사,KOSPI,주권,KRX,1316000.0,627300.5,109.78781301784393,1970000.0,-33.19796954314721,42.25806451612865,nxt_web_latest,NXT 체결가,2026-07-07 22:40 KST,,,143.06,4.22,45.92,6.0,6.42,37.82,9.01,77.76,124.39,,27346 -> 66468,104556.0,87974.0,88187.0,84.14,84.34,3872.02,3485.68,13107.18,25213.83,-12106.65,,,,,,,,,,,,,,,,,,,,,,12.67,1.48,11.49,17,0.04,-52.64,333.78,OpenDART,2025.0,CFS,11011,기타 금융업,기타 금융업,2026-07-07,4.5,15,0,20,20,0,10,5,5,75,A,3
005935.KS,005935,삼성전자우,1599125,,,KOSPI,주권,KRX,199300.0,124495.0,60.086750471906505,235000.0,-15.191489361702128,40.9814323607389,daily_close,NXT 미확인,2026-07-07 22:44 KST,,,32.61,21.95,46.96,5.0,2.84,10.85,29.94,10.88,33.23,75.51,2131 -> 4950 -> 6564,3336059.0,436010.0,452068.0,13.07,13.55,,,,,,,,,,,,,,,,,,,,,,75.51,,,,,5.5,1.66,9.63,2,0.15,,,,,,,,,2026-07-07,4.5,15,3,12,20,15,10,5,5,85,S,4
009150.KS,009150,삼성전기,1230952,,"수동소자 (MLCC, Inductor, Chip Resistor 등), 모듈(카메라모듈, 통신모듈), 반도체패키지 기판",KOSPI,주권,KRX,1619000.0,619640.0,161.28074365760764,2270000.0,-28.6784140969163,36.991869918698825,nxt_web_latest,NXT 체결가,2026-07-07 22:40 KST,,,3.96,23.43,39.73,133.0,16.97,7.7,48.98,9.91,24.26,29.21,5450 -> 8752 -> 9099,113145.0,9133.0,7310.0,8.07,6.46,14900.91,2437.67,27012.06,47985.51,-20973.45,0.15,25.2,2350.0,1776.79,OpenDART,2.85,5.0,True,,,,,,,,,29.21,2025.0,11011.0,5.0,OpenDART,55.71,8.29,9.13,7,33.59,138.74,104.7,,,,,전자부품 제조업,전자부품 제조업,2026-07-07,4.5,0,0,6,0,15,2,5,5,33,D,5
005380.KS,005380,현대차,981813,,"자동차(승용차,버스,트럭,특장차),자동차부품,자동차전착도료 제조,차량정비사업",KOSPI,주권,KRX,471000.0,429645.0,9.625388402052858,750000.0,-37.2,20.594479830147392,nxt_web_latest,NXT 체결가,2026-07-07 22:40 KST,,,-23.26,5.89,24.81,12.0,1.07,8.41,188.95,6.29,-19.46,-9.97,43589 -> 46042 -> 35331,1862545.0,114679.0,103648.0,6.16,5.56,-59912.7,-170611.26,183605.66,2411966.12,-2228360.46,2.12,27.7,10000.0,26182.63,OpenDART,18.92,5.0,True,,,,,,,,,-9.97,2025.0,11011.0,5.0,OpenDART,9.5,0.98,10.66,2,,,,,,,,자동차용 엔진 및 자동차 제조업,자동차용 엔진 및 자동차 제조업,2026-07-07,4.5,12,8,6,0,0,0,1,5,32,D,6
373220.KS,373220,LG에너지솔루션,776880,,"2차전지 (소형,ESS,자동차전지)",KOSPI,주권,KRX,331500.0,407492.5,-18.648809487291178,514000.0,-35.505836575875485,34.26966292134651,nxt_web_latest,NXT 체결가,2026-07-07 22:40 KST,,,,80.86,5.52,-257.0,3.67,-5.19,129.0,-7.6,133.94,,-,236718.0,13461.0,808.0,5.69,0.34,44322.77,-65663.98,37793.07,378262.77,-340469.7,,,,,,,,,,,,,,,,,,,,,,432.0,3.01,-2.47,3,,,21.93,OpenDART,2025.0,CFS,11011,일차전지 및 이차전지 제조업,일차전지 및 이차전지 제조업,2026-07-07,4.5,0,0,0,0,0,0,3,5,8,D,7
032830.KS,032830,삼성생명,750000,,"생명보험,부동산 임대",KOSPI,주권,KRX,371500.0,226942.0,63.69821364048964,497000.0,-25.251509054325954,36.25954198473088,nxt_web_latest,NXT 체결가,2026-07-07 22:40 KST,,,9.3,9.99,23.21,27.0,0.86,4.96,440.89,9.92,3.23,10.22,9477 -> 10534 -> 11514,371383.0,25805.0,24515.0,6.95,6.6,52562.61,48930.1,45378.33,2858503.83,-2813125.5,,41.3,,9517.46,OpenDART,,0.0,False,,,,,,,,,10.22,2025.0,11011.0,0.0,OpenDART,15.67,0.89,11.23,3,2.9,72.3,-3.37,OpenDART,2025.0,CFS,11011,보험업,보험업,2026-07-07,4.5,0,8,0,0,8,5,5,5,31,D,8
028260.KS,028260,삼성물산,688401,,"도소매, 건설, 남자용 정장 제조업 등",KOSPI,주권,KRX,419000.0,297951.5,40.626914111860486,535000.0,-21.682242990654206,40.602582496411564,nxt_web_latest,NXT 체결가,2026-07-07 22:40 KST,,,15.35,12.4,30.6,27.0,1.14,6.02,50.5,-3.23,10.37,9.45,11824 -> 12280 -> 14165,407422.0,32927.0,39067.0,8.08,9.59,30237.41,11182.11,34582.18,290357.96,-255775.78,0.67,18.8,2800.0,4582.52,OpenDART,-9.64,5.0,True,,,,,,,,,9.45,2025.0,11011.0,5.0,OpenDART,27.0,1.14,6.02,1,1.76,,,,,,,기타 전문 도매업,기타 전문 도매업,2026-07-07,4.5,0,8,6,5,8,8,5,5,45,C,9
207940.KS,207940,삼성바이오로직스,658257,,바이오의약품,KOSPI,주권,KRX,1414000.0,1605831.94,-11.945953696748612,1965000.0,-28.040712468193384,54.34782608695525,nxt_web_latest,NXT 체결가,2026-07-07 22:40 KST,,,74.57,82.79,12.68,33.0,8.15,19.44,48.44,30.31,56.59,48.49,12051 -> 15221 -> 26572,45570.0,20692.0,17844.0,45.41,39.16,22478.07,7727.33,1488.51,36096.31,-34607.8,,,,,,,,,,,,,,,,,48.49,,,,,30.5,5.21,12.69,2,0.44,,,OpenDART,2025.0,CFS,11011,기초 의약물질 제조업,기초 의약물질 제조업,2026-07-07,4.5,0,0,16,20,15,10,5,5,71,A,10
