yf_symbol,symbol,name,market_cap,listing_department,products,krx_market,security_group,krx_source,price,ma200,diff,peak,peak_diff,rsi,return_20d,return_60d,price_source,price_basis,price_time,after_market_price,after_market_change_pct,eps_growth,hist_per_avg,foreign_supply,per,pbr,roe,debt_ratio,revenue_growth,operating_growth,eps_cagr,eps3y,revenue,operating_income,net_income,operating_margin,net_margin,operating_cashflow,free_cashflow,cash,total_debt,net_cash,dividend_yield,payout_ratio,dividend_per_share,dividend_total,dividend_source,dividend_growth_3y,dividend_consecutive_years,dividend_cut_flag,analyst_buy_ratio,consensus_revision,target_mean,target_high,target_low,target_upside,earnings_surprise_pct,finnhub_source,cashflow_status,financial_currency,fundamental_refreshed_at,dart_year,dart_fs_div,dart_report_code,dart_source,peg,cagr,dividend_year,dividend_report_code,dividend_history_years,dividend_history_source,peer_per_avg,peer_pbr_avg,peer_roe_avg,peer_group_count,peer_pbr_gap,peer_per_gap,sector,industry,peer_per_count,peer_pbr_count,peer_roe_count,data_date,us_10y_bond,score_per,score_pbr,score_roe,score_peg,score_cagr,score_eps3y,score_rsi,score_peak_diff,score,grade,rank
005930.KS,005930,삼성전자,14878779,,"통신 및 방송 장비 제조(무선) 제품, 반도체 제조(메모리) 제품, 전자부품 제조(디스플레이) 제품, 영상 및 음향기기 제조(영상기기) 제품 등",KOSPI,주권,KRX,257500.0,182351.5,41.2107934401417,362500.0,-28.965517241379313,39.053254437867665,-23.59,24.7,nxt_web_latest,NXT 체결가,2026-07-13 22:38 KST,,,32.61,21.95,46.96,7.0,4.37,10.85,29.94,10.88,33.23,75.51,2131 -> 4950 -> 6564,3336059.0,436010.0,452068.0,13.07,13.55,853151.48,331619.99,578563.78,1306217.73,-727653.95,0.65,25.1,1668.0,111079.06,OpenDART,3.67,5.0,False,,,,,,,,,,,,,,,,0.21,75.51,2025.0,11011.0,5.0,OpenDART,,,,2,,,통신 및 방송 장비 제조업,통신 및 방송 장비 제조업,1,1,1,2026-07-13,4.59,15,0,12,20,15,10,5,5,82,A,1
000660.KS,000660,SK하이닉스,13149358,,"반도체,컴퓨터,통신기기 제조,도매",KOSPI,주권,KRX,1828000.0,1084077.5,68.62263076209956,2919000.0,-37.37581363480644,33.67065317387282,-20.1,65.73,nxt_web_latest,NXT 체결가,2026-07-13 22:38 KST,,,116.89,8.72,49.87,6.0,7.76,44.15,45.95,46.76,101.16,,27182 -> 58955,971467.0,472063.0,429479.0,48.59,44.21,533731.26,247937.83,149237.66,554409.08,-405171.42,0.16,4.9,3000.0,20951.33,OpenDART,35.72,5.0,True,,,,,,,,,,KRW,2026-07-13,2025.0,CFS,11011,OpenDART,0.05,,2025.0,11011,5.0,OpenDART,,,,1,,,반도체 제조업,반도체 제조업,0,0,0,2026-07-13,4.59,15,0,20,20,0,10,3,5,73,A,2
402340.KS,402340,SK스퀘어,1532036,,지주회사,KOSPI,주권,KRX,1160000.0,649557.0,78.58324981487384,1970000.0,-41.11675126903553,27.796161482461684,-17.91,81.25,nxt_web_latest,NXT 체결가,2026-07-13 22:38 KST,,,143.06,4.22,45.92,6.0,6.42,37.82,9.01,77.76,124.39,,27346 -> 66468,104556.0,87974.0,88187.0,84.14,84.34,3872.02,3485.68,13107.18,25213.83,-12106.65,,,,,,,,,,,,,,,,,,KRW,,2025.0,CFS,11011.0,OpenDART,0.04,,,,,,7.0,0.95,8.82,18,575.79,-14.29,기타 금융업,기타 금융업,17,17,16,2026-07-13,4.59,15,0,20,20,0,10,3,5,73,A,3
005935.KS,005935,삼성전자우,1419394,,,KOSPI,주권,KRX,176900.0,127024.5,39.264472601742185,235000.0,-24.72340425531915,41.92938209331282,-18.1,25.11,daily_close,NXT 미확인,2026-07-13 22:42 KST,,,32.61,21.95,46.96,5.0,2.84,10.85,29.94,10.88,33.23,75.51,2131 -> 4950 -> 6564,3336059.0,436010.0,452068.0,13.07,13.55,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.15,75.51,,,,,,,,2,,,,,1,1,1,2026-07-13,4.59,15,3,12,20,15,10,5,5,85,S,4
009150.KS,009150,삼성전기,962801,,"수동소자 (MLCC, Inductor, Chip Resistor 등), 모듈(카메라모듈, 통신모듈), 반도체패키지 기판",KOSPI,주권,KRX,1287000.0,645169.0,99.48261618273662,2270000.0,-43.30396475770925,27.0464963981661,-35.62,120.38,nxt_web_latest,NXT 체결가,2026-07-13 22:38 KST,,,3.96,23.43,40.11,75.0,9.92,7.7,48.98,9.91,24.26,29.21,5450 -> 8752 -> 9099,113145.0,9133.0,7310.0,8.07,6.46,14900.91,2437.67,27012.06,47985.51,-20973.45,0.18,25.2,2350.0,1776.79,OpenDART,3.82,5.0,True,,,,,,,,,,KRW,2026-07-13,2025.0,CFS,11011,OpenDART,18.94,29.21,2025.0,11011,5.0,OpenDART,40.0,8.66,6.14,6,14.55,87.5,전자부품 제조업,전자부품 제조업,5,5,5,2026-07-13,4.59,0,0,6,0,15,2,3,5,31,D,5
005380.KS,005380,현대차,909124,,"자동차(승용차,버스,트럭,특장차),자동차부품,자동차전착도료 제조,차량정비사업",KOSPI,주권,KRX,444000.0,434262.5,2.242307360179615,750000.0,-40.8,29.573170731704792,-31.38,-9.66,nxt_web_latest,NXT 체결가,2026-07-13 22:38 KST,,,-23.26,5.89,25.01,11.0,0.97,8.41,188.95,6.29,-19.46,-9.97,43589 -> 46042 -> 35331,1862545.0,114679.0,103648.0,6.16,5.56,-59912.7,-170611.26,183605.66,2411966.12,-2228360.46,2.25,27.7,10000.0,26182.63,OpenDART,12.62,5.0,True,,,,,,,,,,KRW,2026-07-13,2025.0,CFS,11011,OpenDART,,-9.97,2025.0,11011,5.0,OpenDART,,,,2,,,자동차용 엔진 및 자동차 제조업,자동차용 엔진 및 자동차 제조업,1,1,1,2026-07-13,4.59,12,8,6,0,0,0,3,5,34,D,6
373220.KS,373220,LG에너지솔루션,768690,,"2차전지 (소형,ESS,자동차전지)",KOSPI,주권,KRX,332000.0,406945.0,-18.416493629360232,514000.0,-35.40856031128405,42.94736842105009,-21.05,-17.0,nxt_web_latest,NXT 체결가,2026-07-13 22:38 KST,,,,80.86,5.52,-257.0,3.67,-5.19,129.0,-7.6,133.94,,-,236718.0,13461.0,808.0,5.69,0.34,44322.77,-65663.98,37793.07,378262.77,-340469.7,,,,,,,,,,,,,,,,,,KRW,,2025.0,CFS,11011.0,OpenDART,,,,,,,,,,3,,,일차전지 및 이차전지 제조업,일차전지 및 이차전지 제조업,2,2,2,2026-07-13,4.59,0,0,0,0,0,0,5,5,10,D,7
105560.KS,105560,KB금융,660428,,-,KOSPI,주권,KRX,192500.0,141382.0,36.15594630150938,186200.0,3.3834586466165413,84.64818763323699,13.5,23.48,nxt_web_latest,NXT 체결가,2026-07-13 22:38 KST,,,18.98,6.51,80.06,9.0,0.95,9.98,1211.73,-4.52,5.87,15.41,11349 -> 12705 -> 15116,812307.0,85177.0,58407.0,10.49,7.19,42263.78,34879.06,290205.64,7370930.44,-7080724.8,2.27,27.0,4367.0,15777.74,OpenDART,14.1,4.0,False,,,,,,,,,,,,,,,,0.47,15.41,2025.0,11011.0,4.0,OpenDART,7.0,1.04,8.82,18,-8.65,28.57,기타 금융업,기타 금융업,17,17,16,2026-07-13,4.59,12,8,6,20,12,8,1,0,67,B,8
032830.KS,032830,삼성생명,652000,,"생명보험,부동산 임대",KOSPI,주권,KRX,324500.0,230450.0,40.81145584725537,497000.0,-34.70824949698189,27.29357798164962,-23.29,31.91,nxt_web_latest,NXT 체결가,2026-07-13 22:38 KST,,,9.3,9.99,23.21,27.0,0.86,4.96,440.89,9.92,3.23,10.22,9477 -> 10534 -> 11514,371383.0,25805.0,24515.0,6.95,6.6,52562.61,48930.1,45378.33,2858503.83,-2813125.5,,41.3,,9517.46,OpenDART,,0.0,False,,,,,,,,,,KRW,,2025.0,CFS,11011.0,OpenDART,2.9,10.22,2025.0,11011.0,0.0,OpenDART,,,,3,,,보험업,보험업,2,2,2,2026-07-13,4.59,0,8,0,0,8,5,3,5,29,D,9
207940.KS,207940,삼성바이오로직스,648073,,바이오의약품,KOSPI,주권,KRX,1405000.0,1602715.615,-12.336288056942653,1965000.0,-28.498727735368956,61.48282097649031,5.48,-8.53,nxt_web_latest,NXT 체결가,2026-07-13 22:38 KST,,,74.57,82.79,12.76,33.0,8.17,19.44,48.44,30.31,56.59,48.49,12051 -> 15221 -> 26572,45570.0,20692.0,17844.0,45.41,39.16,22478.07,7727.33,1488.51,36096.31,-34607.8,,,,,,,,,,,,,,,,,,KRW,2026-07-13,2025.0,CFS,11011,OpenDART,0.44,48.49,,,,,,,,2,,,기초 의약물질 제조업,기초 의약물질 제조업,1,1,1,2026-07-13,4.59,0,0,16,20,15,10,3,5,69,B,10
