yf_symbol,symbol,name,market_cap,listing_department,products,krx_market,security_group,krx_source,price,ma200,diff,peak,peak_diff,rsi,return_20d,return_60d,price_source,price_basis,price_time,after_market_price,after_market_change_pct,eps_growth,hist_per_avg,foreign_supply,per,pbr,roe,debt_ratio,revenue_growth,operating_growth,eps_cagr,eps3y,revenue,operating_income,net_income,operating_margin,net_margin,operating_cashflow,free_cashflow,cash,total_debt,net_cash,dividend_yield,payout_ratio,dividend_per_share,dividend_total,dividend_source,dividend_growth_3y,dividend_consecutive_years,dividend_cut_flag,dividend_history_years,dividend_history_source,analyst_buy_ratio,analyst_opinion_score,analyst_opinion_count,consensus_revision,target_mean,target_high,target_low,target_upside,earnings_surprise_pct,finnhub_source,consensus_source,cashflow_status,financial_currency,fundamental_refreshed_at,dart_year,dart_fs_div,dart_report_code,dart_source,peg,dividend_year,dividend_report_code,peer_group_count,peer_per_count,peer_pbr_count,peer_roe_count,cagr,peer_per_avg,peer_pbr_avg,peer_roe_avg,peer_per_gap,peer_pbr_gap,sector,industry,data_date,us_10y_bond,score_per,score_pbr,score_roe,score_peg,score_cagr,score_eps3y,score_rsi,score_peak_diff,score,grade,rank
005930.KS,005930,삼성전자,15375712,,"통신 및 방송 장비 제조(무선) 제품, 반도체 제조(메모리) 제품, 전자부품 제조(디스플레이) 제품, 영상 및 음향기기 제조(영상기기) 제품 등",KOSPI,주권,KRX,268000.0,183284.0,46.221164968027765,362500.0,-26.068965517241377,33.26133909287056,-21.87,27.01,nxt_web_latest,NXT 체결가,2026-07-14 21:52 KST,,,32.61,21.95,46.96,7.0,4.37,10.85,29.94,10.88,33.23,75.51,2131 -> 4950 -> 6564,3336059.0,436010.0,452068.0,13.07,13.55,853151.48,331619.99,578563.78,1306217.73,-727653.95,0.62,25.1,1668.0,111079.06,OpenDART,3.67,5.0,False,5.0,OpenDART,,,,,,,,,,,,,,,,,,,0.21,2025.0,11011.0,2,1,1,1,75.51,,,,,,통신 및 방송 장비 제조업,통신 및 방송 장비 제조업,2026-07-14,4.25,15,0,12,20,15,10,3,5,80,A,1
000660.KS,000660,SK하이닉스,13633996,,"반도체,컴퓨터,통신기기 제조,도매",KOSPI,주권,KRX,1941000.0,1091987.5,77.74928742316189,2919000.0,-33.50462487153135,34.957149300856784,-18.51,70.86,nxt_web_latest,NXT 체결가,2026-07-14 21:52 KST,,,116.89,8.72,49.87,6.0,7.76,44.15,45.95,46.76,101.16,,27182 -> 58955,971467.0,472063.0,429479.0,48.59,44.21,533731.26,247937.83,149237.66,554409.08,-405171.42,0.15,4.9,3000.0,20951.33,OpenDART,35.72,5.0,True,5.0,OpenDART,,,,,,,,,,,,,KRW,2026-07-13,2025.0,CFS,11011.0,OpenDART,0.05,2025.0,11011.0,1,0,0,0,,,,,,,반도체 제조업,반도체 제조업,2026-07-14,4.25,15,0,20,20,0,10,3,5,73,A,2
402340.KS,402340,SK스퀘어,1570304,,지주회사,KOSPI,주권,KRX,1213000.0,654504.5,85.33104050468714,1970000.0,-38.42639593908629,29.79429329794266,-19.19,82.41,nxt_web_latest,NXT 체결가,2026-07-14 21:52 KST,,,143.06,4.22,45.59,4.0,4.35,37.82,9.01,77.76,124.39,,27346 -> 66468,104556.0,87974.0,88187.0,84.14,84.34,3872.02,3485.68,13107.18,25213.83,-12106.65,,,,,,,,,,,,4.0,,,1900000.0,,,56.64,,,Naver/FnGuide,,KRW,2026-07-14,2025.0,CFS,11011,OpenDART,0.03,,,17,16,16,15,,7.5,1.0,8.72,-46.67,335.0,기타 금융업,기타 금융업,2026-07-14,4.25,15,0,20,20,0,10,3,5,73,A,3
005935.KS,005935,삼성전자우,1461920,,,KOSPI,주권,KRX,182200.0,127626.0,42.76087944462727,235000.0,-22.46808510638298,39.76455199476418,-18.66,26.0,daily_close,NXT 미확인,2026-07-14 21:55 KST,,,32.61,21.95,46.58,4.0,2.53,10.85,29.94,10.88,33.23,75.51,2131 -> 4950 -> 6564,3336059.0,436010.0,452068.0,13.07,13.55,,,,,,,,,,,,,,,,,4.04,,,513958.0,,,182.08,,,Naver/FnGuide,,,2026-07-14,,,,,0.12,,,2,1,1,1,75.51,,,,,,,,2026-07-14,4.25,15,3,12,20,15,10,5,5,85,S,4
009150.KS,009150,삼성전기,941140,,"수동소자 (MLCC, Inductor, Chip Resistor 등), 모듈(카메라모듈, 통신모듈), 반도체패키지 기판",KOSPI,주권,KRX,1277000.0,650524.0,96.30328781105693,2270000.0,-43.74449339207048,26.993464052287337,-37.65,107.98,nxt_web_latest,NXT 체결가,2026-07-14 21:52 KST,,,3.96,23.43,40.11,75.0,9.92,7.7,48.98,9.91,24.26,29.21,5450 -> 8752 -> 9099,113145.0,9133.0,7310.0,8.07,6.46,14900.91,2437.67,27012.06,47985.51,-20973.45,0.18,25.2,2350.0,1776.79,OpenDART,3.82,5.0,True,5.0,OpenDART,,,,,,,,,,,,,KRW,2026-07-13,2025.0,CFS,11011.0,OpenDART,18.94,2025.0,11011.0,7,6,6,6,29.21,34.0,5.78,5.76,120.59,71.63,전자부품 제조업,전자부품 제조업,2026-07-14,4.25,0,0,6,0,15,2,3,5,31,D,5
005380.KS,005380,현대차,869196,,"자동차(승용차,버스,트럭,특장차),자동차부품,자동차전착도료 제조,차량정비사업",KOSPI,주권,KRX,426500.0,435310.0,-2.0238450759229054,750000.0,-43.13333333333333,26.7217630853974,-33.36,-16.04,nxt_web_latest,NXT 체결가,2026-07-14 21:52 KST,,,-23.26,5.89,25.01,11.0,0.97,8.41,188.95,6.29,-19.46,-9.97,43589 -> 46042 -> 35331,1862545.0,114679.0,103648.0,6.16,5.56,-59912.7,-170611.26,183605.66,2411966.12,-2228360.46,2.34,27.7,10000.0,26182.63,OpenDART,12.62,5.0,True,5.0,OpenDART,,,,,,,,,,,,,KRW,2026-07-13,2025.0,CFS,11011.0,OpenDART,,2025.0,11011.0,2,1,1,1,-9.97,,,,,,자동차용 엔진 및 자동차 제조업,자동차용 엔진 및 자동차 제조업,2026-07-14,4.25,12,8,6,0,0,0,3,5,34,D,6
373220.KS,373220,LG에너지솔루션,753480,,"2차전지 (소형,ESS,자동차전지)",KOSPI,주권,KRX,324500.0,406777.5,-20.226659537462126,514000.0,-36.86770428015564,40.95634095633857,-20.95,-20.47,nxt_web_latest,NXT 체결가,2026-07-14 21:52 KST,,,,80.86,5.52,-257.0,3.67,-5.19,129.0,-7.6,133.94,,-,236718.0,13461.0,808.0,5.69,0.34,44322.77,-65663.98,37793.07,378262.77,-340469.7,,,,,,,,,,,,,,,,,,,,,,,KRW,,2025.0,CFS,11011.0,OpenDART,,,,3,2,2,2,,,,,,,일차전지 및 이차전지 제조업,일차전지 및 이차전지 제조업,2026-07-14,4.25,0,0,0,0,0,0,5,5,10,D,7
105560.KS,105560,KB금융,638437,,-,KOSPI,주권,KRX,180200.0,141684.0,27.184438609864202,186200.0,-3.22234156820623,77.5390624999788,4.77,13.91,nxt_web_latest,NXT 체결가,2026-07-14 21:52 KST,,,18.98,6.51,80.06,9.0,0.95,9.98,1211.73,-4.52,5.87,15.41,11349 -> 12705 -> 15116,812307.0,85177.0,58407.0,10.49,7.19,42263.78,34879.06,290205.64,7370930.44,-7080724.8,2.42,27.0,4367.0,15777.74,OpenDART,14.1,4.0,False,4.0,OpenDART,,,,,,,,,,,,,,,,,,,0.47,2025.0,11011.0,17,16,16,15,15.41,7.0,1.2,8.72,28.57,-20.83,기타 금융업,기타 금융업,2026-07-14,4.25,12,8,6,20,12,8,1,0,67,B,8
032830.KS,032830,삼성생명,634000,,"생명보험,부동산 임대",KOSPI,주권,KRX,319000.0,231232.0,37.95668419595904,497000.0,-35.8148893360161,23.515981735158306,-25.99,23.64,nxt_web_latest,NXT 체결가,2026-07-14 21:52 KST,,,9.3,9.99,23.21,27.0,0.86,4.96,440.89,9.92,3.23,10.22,9477 -> 10534 -> 11514,371383.0,25805.0,24515.0,6.95,6.6,52562.61,48930.1,45378.33,2858503.83,-2813125.5,,41.3,,9517.46,OpenDART,,0.0,False,0.0,OpenDART,,,,,,,,,,,,,KRW,,2025.0,CFS,11011.0,OpenDART,2.9,2025.0,11011.0,3,2,2,2,10.22,,,,,,보험업,보험업,2026-07-14,4.25,0,8,0,0,8,5,1,5,27,D,9
207940.KS,207940,삼성바이오로직스,633260,,바이오의약품,KOSPI,주권,KRX,1369000.0,1601902.545,-14.539120730343802,1965000.0,-30.330788804071247,48.20295983086538,2.7,-14.54,nxt_web_latest,NXT 체결가,2026-07-14 21:52 KST,,,74.57,82.79,12.76,33.0,8.17,19.44,48.44,30.31,56.59,48.49,12051 -> 15221 -> 26572,45570.0,20692.0,17844.0,45.41,39.16,22478.07,7727.33,1488.51,36096.31,-34607.8,,,,,,,,,,,,,,,,,,,,,,,KRW,2026-07-13,2025.0,CFS,11011.0,OpenDART,0.44,,,2,1,1,1,48.49,,,,,,기초 의약물질 제조업,기초 의약물질 제조업,2026-07-14,4.25,0,0,16,20,15,10,5,5,71,A,10
