yf_symbol,symbol,name,market_cap,listing_department,products,krx_market,security_group,krx_source,price,ma20,ma60,ma120,ma200,diff,peak,peak_diff,rsi,return_20d,return_60d,price_source,price_basis,price_time,after_market_price,after_market_change_pct,eps_growth,hist_per_avg,foreign_supply,per,pbr,roe,debt_ratio,revenue_growth,operating_growth,eps_cagr,eps3y,revenue,operating_income,net_income,operating_margin,net_margin,operating_cashflow,free_cashflow,cash,total_debt,net_cash,dividend_yield,payout_ratio,dividend_per_share,dividend_total,dividend_source,dividend_growth_3y,dividend_consecutive_years,dividend_cut_flag,dividend_history_years,dividend_history_source,analyst_buy_ratio,analyst_opinion_score,analyst_opinion_count,consensus_revision,target_mean,target_high,target_low,target_upside,earnings_surprise_pct,finnhub_source,consensus_source,cashflow_status,financial_currency,fundamental_refreshed_at,dart_year,dart_fs_div,dart_report_code,dart_source,peg,cagr,dividend_year,dividend_report_code,peer_group_count,peer_per_count,peer_pbr_count,peer_roe_count,peer_per_avg,peer_pbr_avg,peer_roe_avg,peer_per_gap,peer_pbr_gap,sector,industry,data_date,us_10y_bond,score_per,score_pbr,score_roe,score_peg,score_cagr,score_eps3y,score_rsi,score_peak_diff,score,grade,rank
005930.KS,005930,삼성전자,12861812,,"통신 및 방송 장비 제조(무선) 제품, 반도체 제조(메모리) 제품, 전자부품 제조(디스플레이) 제품, 영상 및 음향기기 제조(영상기기) 제품 등",KOSPI,주권,KRX,218000.0,275375.0,295900.0,243650.0,191037.5,14.113721128050774,362500.0,-39.86206896551724,31.188118811879022,-32.51,-1.8,nxt_web_latest,NXT 체결가,2026-07-28 22:15 KST,,,32.61,21.95,46.71,5.0,3.53,10.85,29.94,10.88,33.23,75.51,2131 -> 4950 -> 6564,3336059.0,436010.0,452068.0,13.07,13.55,853151.48,331619.99,578563.78,1306217.73,-727653.95,0.77,25.1,1668.0,111079.06,OpenDART,4.92,5.0,False,5.0,OpenDART,,4.04,,,513958.0,,,135.76,,,Naver/FnGuide,,KRW,2026-07-27,2025.0,CFS,11011.0,OpenDART,0.15,75.51,2025.0,11011.0,2,1,1,1,,,,,,통신 및 방송 장비 제조업,통신 및 방송 장비 제조업,2026-07-28,4.63,15,0,12,20,15,10,3,5,80,A,1
000660.KS,000660,SK하이닉스,11046886,,"반도체,컴퓨터,통신기기 제조,도매",KOSPI,주권,KRX,1525000.0,2048200.0,2099450.0,1539891.6666666667,1158227.5,31.666706238627558,2919000.0,-47.75608084960603,31.723750701852637,-41.97,17.31,nxt_web_latest,NXT 체결가,2026-07-28 22:15 KST,,,116.89,8.72,52.39,5.0,6.68,44.15,45.95,46.76,101.16,,27182 -> 58955,971467.0,472063.0,429479.0,48.59,44.21,533731.26,247937.83,149237.66,554409.08,-405171.42,0.2,4.9,3000.0,20951.33,OpenDART,35.72,5.0,True,5.0,OpenDART,,4.0,,,3632609.0,,,138.2,,,Naver/FnGuide,,KRW,2026-07-28,2025.0,CFS,11011,OpenDART,0.04,,2025.0,11011,1,0,0,0,,,,,,반도체 제조업,반도체 제조업,2026-07-28,4.63,15,0,20,20,0,10,3,3,71,A,2
005935.KS,005935,삼성전자우,1269351,,,KOSPI,주권,KRX,158200.0,187820.0,195723.33333333334,164475.0,132708.0,19.209090635078518,235000.0,-32.680851063829785,35.09789702682747,-24.85,-1.12,daily_close,NXT 미확인,2026-07-28 22:18 KST,,,32.61,21.95,46.76,4.0,2.46,10.85,29.94,10.88,33.23,75.51,2131 -> 4950 -> 6564,3336059.0,436010.0,452068.0,13.07,13.55,,,,,,,,,,,,,,,,,4.04,,,513958.0,,,224.88,,,Naver/FnGuide,,,2026-07-24,,,,,0.12,75.51,,,2,1,1,1,,,,,,,,2026-07-28,4.63,15,3,12,20,15,10,5,5,85,S,3
402340.KS,402340,SK스퀘어,1220615,,지주회사,KOSPI,주권,KRX,901000.0,1319050.0,1312683.3333333333,949675.0,698075.5,29.069133639556178,1970000.0,-54.26395939086295,33.46124328472719,-45.06,11.1,nxt_web_latest,NXT 체결가,2026-07-28 22:15 KST,,,143.06,4.22,45.5,4.0,4.05,37.82,9.01,77.76,124.39,,27346 -> 66468,104556.0,87974.0,88187.0,84.14,84.34,3872.02,3485.68,13107.18,25213.83,-12106.65,,,,,,,,,,,,4.0,,,1900000.0,,,110.88,,,Naver/FnGuide,,KRW,2026-07-24,2025.0,CFS,11011.0,OpenDART,0.03,,,,18,17,17,16,8.0,0.97,8.82,-50.0,317.53,기타 금융업,기타 금융업,2026-07-28,4.63,15,0,20,20,0,10,3,3,71,A,4
009150.KS,009150,삼성전기,832087,,"수동소자 (MLCC, Inductor, Chip Resistor 등), 모듈(카메라모듈, 통신모듈), 반도체패키지 기판",KOSPI,주권,KRX,1090000.0,1535900.0,1546133.3333333333,1004962.5,700782.0,55.54052472808948,2270000.0,-51.98237885462555,30.873925501432353,-46.52,29.92,nxt_web_latest,NXT 체결가,2026-07-28 22:15 KST,,,3.96,23.43,39.39,64.0,8.58,7.7,48.98,9.91,24.26,29.21,5450 -> 8752 -> 9099,113145.0,9133.0,7310.0,8.07,6.46,14900.91,2437.67,27012.06,47985.51,-20973.45,0.22,25.2,2350.0,1776.79,OpenDART,3.82,5.0,True,5.0,OpenDART,,4.0,,,2503333.0,,,129.66,,,Naver/FnGuide,,KRW,2026-07-28,2025.0,CFS,11011,OpenDART,16.16,29.21,2025.0,11011,5,4,4,4,36.0,4.48,6.37,77.78,91.52,전자부품 제조업,전자부품 제조업,2026-07-28,4.63,0,0,6,0,15,2,3,3,29,D,5
005380.KS,005380,현대차,745318,,"자동차(승용차,버스,트럭,특장차),자동차부품,자동차전착도료 제조,차량정비사업",KOSPI,주권,KRX,359500.0,442350.0,562258.3333333334,537650.0,443937.5,-19.02013233844854,750000.0,-52.06666666666667,24.7264770240685,-27.67,-35.23,nxt_web_latest,NXT 체결가,2026-07-28 22:15 KST,,,-23.26,5.89,24.96,10.0,0.8,8.41,188.95,6.29,-19.46,-9.97,43589 -> 46042 -> 35331,1862545.0,114679.0,103648.0,6.16,5.56,-59912.7,-170611.26,183605.66,2411966.12,-2228360.46,2.78,27.7,10000.0,26182.63,OpenDART,12.62,5.0,True,5.0,OpenDART,,4.0,,,724000.0,,,101.39,,,Naver/FnGuide,,KRW,2026-07-28,2025.0,CFS,11011,OpenDART,,-9.97,2025.0,11011,2,1,1,1,,,,,,자동차용 엔진 및 자동차 제조업,자동차용 엔진 및 자동차 제조업,2026-07-28,4.63,12,10,6,0,0,0,1,3,32,D,6
373220.KS,373220,LG에너지솔루션,734760,,"2차전지 (소형,ESS,자동차전지)",KOSPI,주권,KRX,314000.0,333375.0,388775.0,395829.1666666667,405682.5,-22.5995698606669,514000.0,-38.91050583657588,43.70629370628943,-21.6,-33.47,nxt_web_latest,NXT 체결가,2026-07-28 22:15 KST,,,,80.86,5.53,-208.0,3.53,-5.19,129.0,-7.6,133.94,,-,236718.0,13461.0,808.0,5.69,0.34,44322.77,-65663.98,37793.07,378262.77,-340469.7,,,,,,,,,,,,3.95,,,549591.0,,,75.03,,,Naver/FnGuide,,KRW,2026-07-16,2025.0,CFS,11011.0,OpenDART,,,,,3,2,2,2,,,,,,일차전지 및 이차전지 제조업,일차전지 및 이차전지 제조업,2026-07-28,4.63,0,0,0,0,0,0,5,5,10,D,7
207940.KS,207940,삼성바이오로직스,717046,,바이오의약품,KOSPI,주권,KRX,1531000.0,1408700.0,1390766.6666666667,1508016.6666666667,1598325.33,-4.212241947013382,1965000.0,-22.08651399491094,61.9136960600359,5.73,1.8,nxt_web_latest,NXT 체결가,2026-07-28 22:15 KST,,,74.57,82.79,12.93,38.0,9.04,19.44,48.44,30.31,56.59,48.49,12051 -> 15221 -> 26572,45570.0,20692.0,17844.0,45.41,39.16,22478.07,7727.33,1488.51,36096.31,-34607.8,,,,,,,,,,,,4.0,,,2010909.0,,,31.35,,,Naver/FnGuide,,KRW,2026-07-28,2025.0,CFS,11011,OpenDART,0.51,48.49,,,2,1,1,1,,,,,,기초 의약물질 제조업,기초 의약물질 제조업,2026-07-28,4.63,0,0,16,20,15,10,3,5,69,B,8
105560.KS,105560,KB금융,585944,,-,KOSPI,주권,KRX,169300.0,172795.0,162320.0,157679.16666666666,144292.0,17.331522191112466,186200.0,-9.07626208378088,43.197278911554335,10.15,6.61,nxt_web_latest,NXT 체결가,2026-07-28 22:15 KST,,,18.98,6.51,79.39,10.0,1.08,9.98,1211.73,-4.52,5.87,15.41,11349 -> 12705 -> 15116,812307.0,85177.0,58407.0,10.49,7.19,42263.78,34879.06,290205.64,7370930.44,-7080724.8,2.58,27.0,4367.0,15777.74,OpenDART,14.1,1.0,False,4.0,OpenDART,,4.0,,,220842.0,,,30.44,,,Naver/FnGuide,,KRW,2026-07-16,2025.0,CFS,11011.0,OpenDART,0.53,15.41,2025.0,11011.0,18,17,17,16,8.0,0.97,8.82,25.0,11.34,기타 금융업,기타 금융업,2026-07-28,4.63,12,8,6,20,12,8,5,0,71,A,9
032830.KS,032830,삼성생명,570000,,"생명보험,부동산 임대",KOSPI,주권,KRX,282000.0,340775.0,360275.0,291210.8333333333,238522.0,18.228087975113407,497000.0,-43.25955734406438,29.16666666666478,-30.97,11.9,nxt_web_latest,NXT 체결가,2026-07-28 22:15 KST,,,9.3,9.99,23.4,22.0,0.69,4.96,440.89,9.92,3.23,10.22,9477 -> 10534 -> 11514,371383.0,25805.0,24515.0,6.95,6.6,52562.61,48930.1,45378.33,2858503.83,-2813125.5,,41.3,,9517.46,OpenDART,,0.0,False,0.0,OpenDART,,3.79,,,408607.0,,,44.9,,,Naver/FnGuide,,KRW,2026-07-27,2025.0,CFS,11011.0,OpenDART,2.37,10.22,2025.0,11011.0,3,2,2,2,,,,,,보험업,보험업,2026-07-28,4.63,4,10,0,0,8,5,3,5,35,D,10
028260.KS,028260,삼성물산,494611,,"도소매, 건설, 남자용 정장 제조업 등",KOSPI,주권,KRX,300500.0,378550.0,415350.0,356975.0,309346.0,-2.859581180943022,535000.0,-43.83177570093458,26.705653021441037,-36.2,-2.91,nxt_web_latest,NXT 체결가,2026-07-28 22:15 KST,,,15.35,12.4,30.76,22.0,0.91,6.02,50.5,-3.23,10.37,9.45,11824 -> 12280 -> 14165,407422.0,32927.0,39067.0,8.08,9.59,30237.41,11182.11,34582.18,290357.96,-255775.78,0.93,18.8,2800.0,4582.52,OpenDART,6.78,5.0,True,5.0,OpenDART,,4.0,,,585385.0,,,94.8,,,Naver/FnGuide,,KRW,2026-07-16,2025.0,CFS,11011.0,OpenDART,1.43,9.45,2025.0,11011.0,1,0,0,0,,,,,,기타 전문 도매업,기타 전문 도매업,2026-07-28,4.63,4,8,6,10,8,8,3,5,52,C,11
055550.KS,055550,신한지주,478926,,금융지주회사,KOSPI,주권,KRX,101900.0,104745.0,99991.66666666667,97437.5,89303.5,14.10527023017015,109200.0,-6.684981684981685,35.79335793356084,5.71,2.0,nxt_web_latest,NXT 체결가,2026-07-28 22:15 KST,,,15.39,5.95,61.58,8.0,0.81,8.72,1201.94,-12.67,8.74,9.58,8398 -> 8740 -> 10085,646820.0,70234.0,50845.0,10.86,7.86,97308.81,90892.48,352951.23,7256411.61,-6903460.38,2.54,25.06,2590.0,12457.3,OpenDART,7.84,5.0,False,5.0,OpenDART,,4.0,,,137000.0,,,34.45,,,Naver/FnGuide,,KRW,2026-07-28,2025.0,CFS,11011,OpenDART,0.52,9.58,2025.0,11011,18,17,17,16,8.0,1.08,9.04,0.0,-25.0,기타 금융업,기타 금융업,2026-07-28,4.63,15,8,6,20,8,8,5,0,70,A,12
000270.KS,000270,기아,475523,,"승용차,중대형버스,트럭,민수특수차량,군수차량 제조,판매,정비",KOSPI,주권,KRX,121200.0,144095.0,154628.33333333334,157825.0,143598.0,-15.597710274516357,206000.0,-41.16504854368932,30.85234093636936,-13.8,-22.11,nxt_web_latest,NXT 체결가,2026-07-28 22:15 KST,,,-21.72,5.03,38.85,7.0,0.94,12.92,61.76,6.23,-28.33,-6.31,21770 -> 24413 -> 19111,1141409.0,90781.0,75542.0,7.95,6.62,90541.4,40610.71,139981.06,377885.91,-237904.85,5.61,34.9,6800.0,26424.99,OpenDART,24.78,5.0,False,5.0,OpenDART,,4.0,,,232174.0,,,91.56,,,Naver/FnGuide,,KRW,2026-07-16,2025.0,CFS,11011.0,OpenDART,,-6.31,2025.0,11011.0,2,1,1,1,,,,,,자동차용 엔진 및 자동차 제조업,자동차용 엔진 및 자동차 제조업,2026-07-28,4.63,15,8,12,0,0,0,3,5,43,C,13
329180.KS,329180,HD현대중공업,473375,,"선박, 해양플랜트 및 엔진기계 등",KOSPI,주권,KRX,445500.0,511550.0,611200.0,580012.5,571370.0,-22.029508024572518,745000.0,-40.20134228187919,28.78151260504032,-24.75,-33.21,nxt_web_latest,NXT 체결가,2026-07-28 22:15 KST,,,124.28,179.12,13.8,16.0,5.26,18.82,180.07,21.36,188.93,651.55,278 -> 7001 -> 15702,175806.0,20375.0,14155.0,11.59,8.05,35103.92,29689.02,18699.18,168214.24,-149515.06,1.27,40.0,5661.0,5670.22,OpenDART,170.86,2.0,False,2.0,OpenDART,,4.0,,,911524.0,,,104.61,,,Naver/FnGuide,,KRW,2026-07-27,2025.0,CFS,11011.0,OpenDART,0.13,651.55,2025.0,11011.0,3,2,2,2,,,,,,선박 및 보트 건조업,선박 및 보트 건조업,2026-07-28,4.63,8,0,16,20,15,10,3,5,77,A,14
012450.KS,012450,한화에어로스페이스,451179,,"항공기엔진,특수방산장비 제조/정비사업",KOSPI,주권,KRX,862000.0,983750.0,1120733.3333333333,1237408.3333333333,1144325.0,-24.671749721451512,1537000.0,-43.9167208848406,30.733229329172502,-15.49,-38.21,nxt_web_latest,NXT 체결가,2026-07-28 22:15 KST,,,-38.13,15.96,45.35,21.0,4.52,19.14,221.38,137.57,78.38,34.11,15886 -> 46183 -> 28573,267029.0,30893.0,22020.0,11.57,8.25,40498.05,20557.23,77133.55,371654.85,-294521.3,0.81,25.63,7000.0,3601.42,OpenDART,91.29,4.0,False,4.0,OpenDART,,4.0,,,1736111.0,,,101.4,,,Naver/FnGuide,,KRW,2026-07-20,2025.0,CFS,11011.0,OpenDART,,34.11,2025.0,11011.0,2,1,1,1,,,,,,"항공기,우주선 및 부품 제조업","항공기,우주선 및 부품 제조업",2026-07-28,4.63,4,0,16,0,15,0,3,5,43,C,15
034020.KS,034020,두산에너빌리티,414443,,"기관,터어빈,선박용엔진,주단조품,제강제품 제조/종합건설",KOSPI,주권,KRX,63700.0,75420.0,95761.66666666667,98585.0,91382.0,-30.292617802192996,136400.0,-53.2991202346041,32.285115303973754,-27.61,-50.16,nxt_web_latest,NXT 체결가,2026-07-28 22:15 KST,,,-24.14,284.35,24.14,153.0,5.65,1.11,129.1,5.08,-25.05,23.18,87 -> 174 -> 132,170579.0,7627.0,2052.0,4.47,1.2,7518.01,536.28,30809.97,155038.53,-124228.56,,,,,,,,,,,,4.0,,,149133.0,,,134.12,,,Naver/FnGuide,,KRW,2026-07-27,2025.0,CFS,11011.0,OpenDART,,23.18,,,1,0,0,0,,,,,,일반 목적용 기계 제조업,일반 목적용 기계 제조업,2026-07-28,4.63,0,0,0,0,12,0,3,3,18,D,16
