yf_symbol,symbol,name,market_cap,listing_department,products,krx_market,security_group,krx_source,price,ma20,ma60,ma120,ma200,diff,peak,peak_diff,rsi,return_20d,return_60d,price_source,price_basis,price_time,after_market_price,after_market_change_pct,eps_growth,hist_per_avg,foreign_supply,per,pbr,roe,debt_ratio,revenue_growth,operating_growth,eps_cagr,eps3y,revenue,operating_income,net_income,operating_margin,net_margin,operating_cashflow,free_cashflow,cash,total_debt,net_cash,dividend_yield,payout_ratio,dividend_per_share,dividend_total,dividend_source,dividend_growth_3y,dividend_consecutive_years,dividend_cut_flag,dividend_history_years,dividend_history_source,analyst_buy_ratio,analyst_opinion_score,analyst_opinion_count,consensus_revision,target_mean,target_high,target_low,target_upside,earnings_surprise_pct,finnhub_source,consensus_source,cashflow_status,financial_currency,fundamental_refreshed_at,dart_year,dart_fs_div,dart_report_code,dart_source,peg,cagr,dividend_year,dividend_report_code,peer_per_avg,peer_pbr_avg,peer_roe_avg,peer_group_count,peer_per_count,peer_pbr_count,peer_roe_count,peer_per_gap,peer_pbr_gap,sector,industry,data_date,us_10y_bond,score_per,score_pbr,score_roe,score_peg,score_cagr,score_eps3y,score_rsi,score_peak_diff,score,grade,rank
005930.KS,005930,삼성전자,15024936,,"통신 및 방송 장비 제조(무선) 제품, 반도체 제조(메모리) 제품, 전자부품 제조(디스플레이) 제품, 영상 및 음향기기 제조(영상기기) 제품 등",KOSPI,주권,KRX,261000.0,246750.0,287316.6666666667,254633.33333333334,205569.5,26.964359985309105,362500.0,-28.000000000000004,55.55555555555047,2.76,-12.85,nxt_web_latest,NXT 체결가,2026-08-25 20:56 KST,,,32.61,21.95,46.86,6.0,3.27,10.85,29.94,10.88,33.23,75.51,2131 -> 4950 -> 6564,3336059.0,436010.0,452068.0,13.07,13.55,853151.48,331619.99,578563.78,1306217.73,-727653.95,0.64,25.1,1668.0,111079.06,OpenDART,4.92,5.0,False,5.0,OpenDART,,4.04,,,491875.0,,,88.46,,,Naver/FnGuide,,KRW,2026-08-21,2025.0,CFS,11011.0,OpenDART,0.18,75.51,2025.0,11011.0,,,,2,1,1,1,,,통신 및 방송 장비 제조업,통신 및 방송 장비 제조업,2026-08-25,4.7,15,0,12,20,15,10,3,5,80,A,1
000660.KS,000660,SK하이닉스,12257661,,"반도체,컴퓨터,통신기기 제조,도매",KOSPI,주권,KRX,1715000.0,1561950.0,2023566.6666666667,1641833.3333333333,1263355.0,35.749650731583756,2919000.0,-41.247002398081534,54.860442733396766,-5.56,-25.08,nxt_web_latest,NXT 체결가,2026-08-25 20:56 KST,,,116.89,8.72,50.74,4.0,6.48,44.15,45.95,46.76,101.16,,27182 -> 58955,971467.0,472063.0,429479.0,48.59,44.21,533731.26,247937.83,149237.66,554409.08,-405171.42,0.17,4.9,3000.0,20951.33,OpenDART,35.72,5.0,True,5.0,OpenDART,,4.0,,,3317917.0,,,93.46,,,Naver/FnGuide,,KRW,2026-08-12,2025.0,CFS,11011.0,OpenDART,0.03,,2025.0,11011.0,,,,1,0,0,0,,,반도체 제조업,반도체 제조업,2026-08-25,4.7,15,0,20,20,0,10,5,5,75,A,2
005935.KS,005935,삼성전자우,1560611,,,KOSPI,주권,KRX,194500.0,179990.0,195050.0,173273.33333333334,142811.5,36.19351382766794,235000.0,-17.23404255319149,57.245796637303435,8.18,1.89,daily_close,NXT 미확인,2026-08-25 20:59 KST,,,32.61,21.95,46.8,4.0,2.62,10.85,29.94,10.88,33.23,75.51,2131 -> 4950 -> 6564,3336059.0,436010.0,452068.0,13.07,13.55,,,,,,,,,,,,,,,,,4.04,,,491875.0,,,152.89,,,Naver/FnGuide,,,2026-08-18,,,,,0.12,75.51,,,,,,2,1,1,1,,,,,2026-08-25,4.7,15,3,12,20,15,10,3,5,83,A,3
402340.KS,402340,SK스퀘어,1398394,,지주회사,KOSPI,주권,KRX,1084000.0,1021750.0,1289183.3333333333,1021850.0,771887.5,40.434972712992504,1970000.0,-44.9746192893401,49.99999999999912,-1.09,-12.37,nxt_web_latest,NXT 체결가,2026-08-25 20:56 KST,,,143.06,4.22,46.29,4.0,4.15,37.82,9.01,77.76,124.39,,27346 -> 66468,104556.0,87974.0,88187.0,84.14,84.34,3872.02,3485.68,13107.18,25213.83,-12106.65,,,,,,,,,,,,4.0,,,1900000.0,,,75.28,,,Naver/FnGuide,,KRW,2026-08-18,2025.0,CFS,11011.0,OpenDART,0.03,,,,8.0,1.0,8.82,18,17,17,16,-50.0,315.0,기타 금융업,기타 금융업,2026-08-25,4.7,15,0,20,20,0,10,5,5,75,A,4
009150.KS,009150,삼성전기,1017328,,"수동소자 (MLCC, Inductor, Chip Resistor 등), 모듈(카메라모듈, 통신모듈), 반도체패키지 기판",KOSPI,주권,KRX,1376000.0,1277200.0,1604716.6666666667,1153783.3333333333,802917.5,71.37501673584148,2270000.0,-39.38325991189428,59.170984455957694,3.85,-25.58,nxt_web_latest,NXT 체결가,2026-08-25 20:56 KST,,,3.96,23.43,38.33,68.0,10.28,7.7,48.98,9.91,24.26,29.21,5450 -> 8752 -> 9099,113145.0,9133.0,7310.0,8.07,6.46,14900.91,2437.67,27012.06,47985.51,-20973.45,0.17,25.2,2350.0,1776.79,OpenDART,3.82,5.0,True,5.0,OpenDART,,4.0,,,2350500.0,,,70.82,,,Naver/FnGuide,,KRW,2026-08-12,2025.0,CFS,11011.0,OpenDART,17.17,29.21,2025.0,11011.0,25.0,5.52,6.14,6,5,5,5,172.0,86.23,전자부품 제조업,전자부품 제조업,2026-08-25,4.7,0,0,6,0,15,2,3,5,31,D,5
005380.KS,005380,현대차,862030,,"자동차(승용차,버스,트럭,특장차),자동차부품,자동차전착도료 제조,차량정비사업",KOSPI,주권,KRX,424000.0,402525.0,490333.3333333333,519587.5,459717.5,-7.769445365904061,750000.0,-43.46666666666666,60.070671378085926,5.21,-37.37,nxt_web_latest,NXT 체결가,2026-08-25 20:56 KST,,,-23.26,5.89,24.98,11.0,0.9,8.41,188.95,6.29,-19.46,-9.97,43589 -> 46042 -> 35331,1862545.0,114679.0,103648.0,6.16,5.56,-59912.7,-170611.26,183605.66,2411966.12,-2228360.46,2.36,27.7,10000.0,26182.63,OpenDART,12.62,5.0,True,5.0,OpenDART,,4.0,,,722000.0,,,70.28,,,Naver/FnGuide,,KRW,2026-08-12,2025.0,CFS,11011.0,OpenDART,,-9.97,2025.0,11011.0,,,,2,1,1,1,,,자동차용 엔진 및 자동차 제조업,자동차용 엔진 및 자동차 제조업,2026-08-25,4.7,12,8,6,0,0,0,3,5,34,D,6
373220.KS,373220,LG에너지솔루션,817830,,"2차전지 (소형,ESS,자동차전지)",KOSPI,주권,KRX,352500.0,344225.0,360550.0,386887.5,398235.0,-11.484425025424686,514000.0,-31.420233463035018,57.608695652168066,5.86,-20.25,nxt_web_latest,NXT 체결가,2026-08-25 20:56 KST,,,,80.86,5.53,-213.0,3.66,-5.19,129.0,-7.6,133.94,,-,236718.0,13461.0,808.0,5.69,0.34,44322.77,-65663.98,37793.07,378262.77,-340469.7,,,,,,,,,,,,3.95,,,509526.0,,,44.55,,,Naver/FnGuide,,KRW,2026-08-25,2025.0,CFS,11011,OpenDART,,,,,,,,3,2,2,2,,,일차전지 및 이차전지 제조업,일차전지 및 이차전지 제조업,2026-08-25,4.7,0,0,0,0,0,0,3,5,8,D,7
207940.KS,207940,삼성바이오로직스,733711,,바이오의약품,KOSPI,주권,KRX,1582000.0,1534850.0,1425100.0,1477408.3333333333,1588605.0,-0.4157735875186091,1965000.0,-19.491094147582697,65.9824046920794,2.39,15.22,nxt_web_latest,NXT 체결가,2026-08-25 20:56 KST,,,74.57,82.79,13.13,38.0,9.04,19.44,48.44,30.31,56.59,48.49,12051 -> 15221 -> 26572,45570.0,20692.0,17844.0,45.41,39.16,22478.07,7727.33,1488.51,36096.31,-34607.8,,,,,,,,,,,,4.0,,,2011429.0,,,27.14,,,Naver/FnGuide,,KRW,2026-08-12,2025.0,CFS,11011.0,OpenDART,0.51,48.49,,,,,,2,1,1,1,,,기초 의약물질 제조업,기초 의약물질 제조업,2026-08-25,4.7,0,0,16,20,15,10,1,5,67,B,8
028260.KS,028260,삼성물산,595155,,"도소매, 건설, 남자용 정장 제조업 등",KOSPI,주권,KRX,372500.0,344725.0,400266.6666666667,361066.6666666667,322757.5,15.411725521482847,535000.0,-30.373831775700932,62.464985994392855,9.72,-6.76,nxt_web_latest,NXT 체결가,2026-08-25 20:56 KST,,,15.35,12.4,31.0,22.0,0.57,6.02,50.5,-3.23,10.37,9.45,11824 -> 12280 -> 14165,407422.0,32927.0,39067.0,8.08,9.59,30237.41,11182.11,34582.18,290357.96,-255775.78,0.75,18.8,2800.0,4582.52,OpenDART,6.78,5.0,True,5.0,OpenDART,,4.0,,,503333.0,,,35.12,,,Naver/FnGuide,,KRW,2026-08-25,2025.0,CFS,11011,OpenDART,1.43,9.45,2025.0,11011,,,,1,0,0,0,,,기타 전문 도매업,기타 전문 도매업,2026-08-25,4.7,4,10,6,10,8,8,3,5,54,C,9
105560.KS,105560,KB금융,590200,,-,KOSPI,주권,KRX,165800.0,167355.0,165838.33333333334,159637.5,149260.0,11.081334583947475,186200.0,-10.955961331901182,46.721311475391964,-3.94,10.75,nxt_web_latest,NXT 체결가,2026-08-25 20:56 KST,,,18.98,6.51,79.25,9.0,1.0,9.98,1211.73,-4.52,5.87,15.41,11349 -> 12705 -> 15116,812307.0,85177.0,58407.0,10.49,7.19,42263.78,34879.06,290205.64,7370930.44,-7080724.8,2.63,27.0,4367.0,15777.74,OpenDART,14.1,1.0,False,4.0,OpenDART,,4.0,,,224889.0,,,35.64,,,Naver/FnGuide,,KRW,2026-08-25,2025.0,CFS,11011,OpenDART,0.47,15.41,2025.0,11011,8.0,1.02,8.82,18,17,17,16,12.5,-1.96,기타 금융업,기타 금융업,2026-08-25,4.7,12,8,6,20,12,8,5,5,76,A,10
032830.KS,032830,삼성생명,570000,,"생명보험,부동산 임대",KOSPI,주권,KRX,289500.0,289800.0,353433.3333333333,304475.0,250902.0,15.38369562618074,497000.0,-41.75050301810865,51.576576576573316,-7.06,-19.02,nxt_web_latest,NXT 체결가,2026-08-25 20:56 KST,,,9.3,9.99,23.4,23.0,0.73,4.96,440.89,9.92,3.23,10.22,9477 -> 10534 -> 11514,371383.0,25805.0,24515.0,6.95,6.6,52562.61,48930.1,45378.33,2858503.83,-2813125.5,,41.3,,9517.46,OpenDART,,0.0,False,0.0,OpenDART,,3.85,,,393538.0,,,35.94,,,Naver/FnGuide,,KRW,2026-08-21,2025.0,CFS,11011.0,OpenDART,2.47,10.22,2025.0,11011.0,,,,3,2,2,2,,,보험업,보험업,2026-08-25,4.7,4,10,0,0,8,5,5,5,37,D,11
012450.KS,012450,한화에어로스페이스,568228,,"항공기엔진,특수방산장비 제조/정비사업",KOSPI,주권,KRX,1105000.0,1054050.0,1045300.0,1213758.3333333333,1149605.0,-3.8800283575662946,1537000.0,-28.106701366297983,60.33755274261425,22.91,-7.92,nxt_web_latest,NXT 체결가,2026-08-25 20:56 KST,,,-38.13,15.96,45.54,25.0,4.74,19.14,221.38,137.57,78.38,34.11,15886 -> 46183 -> 28573,267029.0,30893.0,22020.0,11.57,8.25,40498.05,20557.23,77133.55,371654.85,-294521.3,0.63,25.63,7000.0,3601.42,OpenDART,91.29,4.0,False,4.0,OpenDART,,4.0,,,1650000.0,,,49.32,,,Naver/FnGuide,,KRW,2026-08-24,2025.0,CFS,11011.0,OpenDART,,34.11,2025.0,11011.0,,,,2,1,1,1,,,"항공기,우주선 및 부품 제조업","항공기,우주선 및 부품 제조업",2026-08-25,4.7,4,0,16,0,15,0,3,5,43,C,12
000270.KS,000270,기아,526667,,"승용차,중대형버스,트럭,민수특수차량,군수차량 제조,판매,정비",KOSPI,주권,KRX,134900.0,131935.0,144851.66666666666,152355.0,145801.0,-7.476629104052784,206000.0,-34.51456310679612,59.04436860065439,3.45,-17.89,nxt_web_latest,NXT 체결가,2026-08-25 20:56 KST,,,-21.72,5.03,39.34,6.0,0.85,12.92,61.76,6.23,-28.33,-6.31,21770 -> 24413 -> 19111,1141409.0,90781.0,75542.0,7.95,6.62,90541.4,40610.71,139981.06,377885.91,-237904.85,5.04,34.9,6800.0,26424.99,OpenDART,24.78,5.0,False,5.0,OpenDART,,4.0,,,216600.0,,,60.56,,,Naver/FnGuide,,KRW,2026-08-25,2025.0,CFS,11011,OpenDART,,-6.31,2025.0,11011,,,,2,1,1,1,,,자동차용 엔진 및 자동차 제조업,자동차용 엔진 및 자동차 제조업,2026-08-25,4.7,15,8,12,0,0,0,3,5,43,C,13
