yf_symbol,symbol,name,market_cap,listing_department,products,krx_market,security_group,krx_source,price,ma20,ma60,ma120,ma200,diff,peak,peak_diff,rsi,return_20d,return_60d,price_source,price_basis,price_time,after_market_price,after_market_change_pct,eps_growth,hist_per_avg,foreign_supply,per,pbr,roe,debt_ratio,revenue_growth,operating_growth,eps_cagr,eps3y,revenue,operating_income,net_income,operating_margin,net_margin,operating_cashflow,free_cashflow,cash,total_debt,net_cash,dividend_yield,payout_ratio,dividend_per_share,dividend_total,dividend_source,dividend_growth_3y,dividend_consecutive_years,dividend_cut_flag,dividend_history_years,dividend_history_source,analyst_buy_ratio,analyst_opinion_score,analyst_opinion_count,consensus_revision,target_mean,target_high,target_low,target_upside,earnings_surprise_pct,finnhub_source,consensus_source,cashflow_status,financial_currency,fundamental_refreshed_at,dart_year,dart_fs_div,dart_report_code,dart_source,peg,dividend_year,dividend_report_code,peer_group_count,peer_per_count,peer_pbr_count,peer_roe_count,cagr,peer_per_avg,peer_pbr_avg,peer_roe_avg,peer_per_gap,peer_pbr_gap,sector,industry,data_date,us_10y_bond,score_per,score_pbr,score_roe,score_peg,score_cagr,score_eps3y,score_rsi,score_peak_diff,score,grade,rank
005930.KS,005930,삼성전자,15200324,,"통신 및 방송 장비 제조(무선) 제품, 반도체 제조(메모리) 제품, 전자부품 제조(디스플레이) 제품, 영상 및 음향기기 제조(영상기기) 제품 등",KOSPI,주권,KRX,260000.0,254075.0,281758.3333333333,257111.66666666666,208671.5,24.597752927448166,362500.0,-28.27586206896552,59.933774834431524,-0.95,-26.03,daily_close,NXT 미확인,2026-09-01 03:09 KST,,,32.61,21.95,46.72,5.0,3.02,10.85,29.94,10.88,33.23,75.51,2131 -> 4950 -> 6564,3336059.0,436010.0,452068.0,13.07,13.55,853151.48,331619.99,578563.78,1306217.73,-727653.95,0.64,25.1,1668.0,111079.06,OpenDART,4.92,5.0,False,5.0,OpenDART,,4.04,,,491875.0,,,89.18,,,Naver/FnGuide,,KRW,2026-09-01,2025.0,CFS,11011,OpenDART,0.15,2025.0,11011,2,1,1,1,75.51,,,,,,통신 및 방송 장비 제조업,통신 및 방송 장비 제조업,2026-08-31,4.25,15,0,12,20,15,10,3,5,80,A,1
000660.KS,000660,SK하이닉스,12228442,,"반도체,컴퓨터,통신기기 제조,도매",KOSPI,주권,KRX,1674000.0,1599650.0,1980083.3333333333,1667600.0,1285360.0,30.235887222256803,2919000.0,-42.65159301130524,64.94117647058717,-2.56,-27.15,daily_close,NXT 미확인,2026-09-01 03:09 KST,,,116.89,8.72,50.65,5.0,4.67,44.15,45.95,46.76,101.16,,27182 -> 58955,971467.0,472063.0,429479.0,48.59,44.21,533731.26,247937.83,149237.66,554409.08,-405171.42,0.18,4.9,3000.0,20951.33,OpenDART,35.72,5.0,True,5.0,OpenDART,,4.0,,,3317917.0,,,98.2,,,Naver/FnGuide,,KRW,2026-08-28,2025.0,CFS,11011.0,OpenDART,0.04,2025.0,11011.0,1,0,0,0,,,,,,,반도체 제조업,반도체 제조업,2026-08-31,4.25,15,0,20,20,0,10,3,5,73,A,2
005935.KS,005935,삼성전자우,1496422,,,KOSPI,주권,KRX,186500.0,185530.0,193073.33333333334,175471.66666666666,144977.5,28.64065113552103,235000.0,-20.638297872340424,56.342957130351806,-2.36,-15.23,daily_close,NXT 미확인,2026-09-01 03:09 KST,,,32.61,21.95,46.8,4.0,2.62,10.85,29.94,10.88,33.23,75.51,2131 -> 4950 -> 6564,3336059.0,436010.0,452068.0,13.07,13.55,,,,,,,,,,,,,,,,,4.04,,,491875.0,,,163.74,,,Naver/FnGuide,,,2026-08-18,,,,,0.12,,,2,1,1,1,75.51,,,,,,,,2026-08-31,4.25,15,3,12,20,15,10,3,5,83,A,3
402340.KS,402340,SK스퀘어,1368051,,지주회사,KOSPI,주권,KRX,1037000.0,1050700.0,1272433.3333333333,1038383.3333333334,787460.0,31.689228659233486,1970000.0,-47.360406091370564,57.260726072605934,-0.1,-23.81,daily_close,NXT 미확인,2026-09-01 03:09 KST,,,143.06,4.22,46.29,4.0,4.15,37.82,9.01,77.76,124.39,,27346 -> 66468,104556.0,87974.0,88187.0,84.14,84.34,3872.02,3485.68,13107.18,25213.83,-12106.65,,,,,,,,,,,,4.0,,,1900000.0,,,83.22,,,Naver/FnGuide,,KRW,2026-08-18,2025.0,CFS,11011.0,OpenDART,0.03,,,17,16,16,15,,8.0,0.94,8.91,-50.0,341.49,기타 금융업,기타 금융업,2026-08-31,4.25,15,0,20,20,0,10,3,3,71,A,4
009150.KS,009150,삼성전기,1089034,,"수동소자 (MLCC, Inductor, Chip Resistor 등), 모듈(카메라모듈, 통신모듈), 반도체패키지 기판",KOSPI,주권,KRX,1458000.0,1348700.0,1570266.6666666667,1187254.1666666667,826105.0,76.4908819096846,2270000.0,-35.770925110132154,61.8863049095596,27.67,-15.03,daily_close,NXT 미확인,2026-09-01 03:09 KST,,,3.96,23.43,37.43,70.0,10.23,7.7,48.98,9.91,24.26,29.21,5450 -> 8752 -> 9099,113145.0,9133.0,7310.0,8.07,6.46,14900.91,2437.67,27012.06,47985.51,-20973.45,0.16,25.2,2350.0,1776.79,OpenDART,3.82,5.0,True,5.0,OpenDART,,4.0,,,2350500.0,,,61.21,,,Naver/FnGuide,,KRW,2026-08-28,2025.0,CFS,11011.0,OpenDART,17.68,2025.0,11011.0,6,5,5,5,29.21,31.0,5.52,6.14,125.81,85.33,전자부품 제조업,전자부품 제조업,2026-08-31,4.25,0,0,6,0,15,2,3,5,31,D,5
373220.KS,373220,LG에너지솔루션,884520,,"2차전지 (소형,ESS,자동차전지)",KOSPI,주권,KRX,378000.0,354575.0,355416.6666666667,386720.8333333333,396155.0,-4.58280218601305,514000.0,-26.459143968871597,54.08560311283457,15.24,-10.43,daily_close,NXT 미확인,2026-09-01 03:09 KST,,,,80.86,5.53,-213.0,3.66,-5.19,129.0,-7.6,133.94,,-,236718.0,13461.0,808.0,5.69,0.34,44322.77,-65663.98,37793.07,378262.77,-340469.7,,,,,,,,,,,,3.95,,,509526.0,,,34.8,,,Naver/FnGuide,,KRW,2026-08-25,2025.0,CFS,11011.0,OpenDART,,,,4,2,3,3,,,4.25,-3.15,,-13.88,일차전지 및 이차전지 제조업,일차전지 및 이차전지 제조업,2026-08-31,4.25,0,0,0,0,0,0,5,5,10,D,6
005380.KS,005380,현대차,826197,,"자동차(승용차,버스,트럭,특장차),자동차부품,자동차전착도료 제조,차량정비사업",KOSPI,주권,KRX,403500.0,410150.0,468783.3333333333,514687.5,462132.5,-12.687378619768138,750000.0,-46.2,48.3516483516434,3.99,-42.36,daily_close,NXT 미확인,2026-09-01 03:09 KST,,,-23.26,5.89,24.41,10.0,0.85,8.41,188.95,6.29,-19.46,-9.97,43589 -> 46042 -> 35331,1862545.0,114679.0,103648.0,6.16,5.56,-59912.7,-170611.26,183605.66,2411966.12,-2228360.46,2.48,27.7,10000.0,26182.63,OpenDART,12.62,5.0,True,5.0,OpenDART,,4.0,,,712000.0,,,76.46,,,Naver/FnGuide,,KRW,2026-08-28,2025.0,CFS,11011.0,OpenDART,,2025.0,11011.0,2,1,1,1,-9.97,,,,,,자동차용 엔진 및 자동차 제조업,자동차용 엔진 및 자동차 제조업,2026-08-31,4.25,12,8,6,0,0,0,5,3,34,D,7
207940.KS,207940,삼성바이오로직스,702696,,바이오의약품,KOSPI,주권,KRX,1518000.0,1542700.0,1437433.3333333333,1474983.3333333333,1583650.0,-4.145486692135257,1965000.0,-22.748091603053435,43.734643734642226,2.22,12.44,daily_close,NXT 미확인,2026-09-01 03:09 KST,,,74.57,82.79,13.22,39.0,8.81,19.44,48.44,30.31,56.59,48.49,12051 -> 15221 -> 26572,45570.0,20692.0,17844.0,45.41,39.16,22478.07,7727.33,1488.51,36096.31,-34607.8,,,,,,,,,,,,4.0,,,2011429.0,,,32.51,,,Naver/FnGuide,,KRW,2026-08-28,2025.0,CFS,11011.0,OpenDART,0.52,,,2,1,1,1,48.49,,,,,,기초 의약물질 제조업,기초 의약물질 제조업,2026-08-31,4.25,0,0,16,20,15,10,5,5,71,A,8
105560.KS,105560,KB금융,614673,,-,KOSPI,주권,KRX,173300.0,168275.0,166773.33333333334,160404.16666666666,150267.5,15.327665662901161,186200.0,-6.9280343716433945,52.46913580244646,2.85,5.54,daily_close,NXT 미확인,2026-09-01 03:09 KST,,,18.98,6.51,79.25,9.0,1.0,9.98,1211.73,-4.52,5.87,15.41,11349 -> 12705 -> 15116,812307.0,85177.0,58407.0,10.49,7.19,42263.78,34879.06,290205.64,7370930.44,-7080724.8,2.52,27.0,4367.0,15777.74,OpenDART,14.1,1.0,False,4.0,OpenDART,,4.0,,,224889.0,,,29.77,,,Naver/FnGuide,,KRW,2026-08-25,2025.0,CFS,11011.0,OpenDART,0.47,2025.0,11011.0,17,16,16,15,15.41,8.0,0.95,8.91,12.5,5.26,기타 금융업,기타 금융업,2026-08-31,4.25,12,8,6,20,12,8,5,0,71,A,9
032830.KS,032830,삼성생명,612000,,"생명보험,부동산 임대",KOSPI,주권,KRX,306000.0,295125.0,345366.6666666667,307720.8333333333,254027.0,20.459636180406022,497000.0,-38.43058350100604,55.88914549653218,-1.77,-30.14,daily_close,NXT 미확인,2026-09-01 03:09 KST,,,9.3,9.99,23.21,19.0,0.68,4.96,440.89,9.92,3.23,10.22,9477 -> 10534 -> 11514,371383.0,25805.0,24515.0,6.95,6.6,52562.61,48930.1,45378.33,2858503.83,-2813125.5,,41.3,,9517.46,OpenDART,,0.0,False,0.0,OpenDART,,3.85,,,402538.0,,,31.55,,,Naver/FnGuide,,KRW,2026-09-01,2025.0,CFS,11011,OpenDART,2.04,2025.0,11011,3,2,2,2,10.22,,,,,,보험업,보험업,2026-08-31,4.25,4,10,0,0,8,5,3,5,35,D,10
