yf_symbol,symbol,name,market_cap,listing_department,products,krx_market,security_group,krx_source,price,ma20,ma60,ma120,ma200,diff,peak,peak_diff,rsi,return_20d,return_60d,price_source,price_basis,price_time,after_market_price,after_market_change_pct,eps_growth,hist_per_avg,foreign_supply,per,pbr,roe,debt_ratio,revenue_growth,operating_growth,eps_cagr,eps3y,revenue,operating_income,net_income,operating_margin,net_margin,operating_cashflow,free_cashflow,cash,total_debt,net_cash,dividend_yield,payout_ratio,dividend_per_share,dividend_total,dividend_source,dividend_growth_3y,dividend_consecutive_years,dividend_cut_flag,dividend_history_years,dividend_history_source,analyst_buy_ratio,analyst_opinion_score,analyst_opinion_count,consensus_revision,target_mean,target_high,target_low,target_upside,earnings_surprise_pct,finnhub_source,consensus_source,cashflow_status,financial_currency,fundamental_refreshed_at,dart_year,dart_fs_div,dart_report_code,dart_source,peg,cagr,dividend_year,dividend_report_code,peer_group_count,peer_per_count,peer_pbr_count,peer_roe_count,peer_pbr_avg,peer_roe_avg,peer_pbr_gap,peer_per_avg,peer_per_gap,sector,industry,data_date,us_10y_bond,score_per,score_pbr,score_roe,score_peg,score_cagr,score_eps3y,score_rsi,score_peak_diff,score,grade,rank
005930.KS,005930,삼성전자,15258787,,"통신 및 방송 장비 제조(무선) 제품, 반도체 제조(메모리) 제품, 전자부품 제조(디스플레이) 제품, 영상 및 음향기기 제조(영상기기) 제품 등",KOSPI,주권,KRX,261000.0,255150.0,280625.0,257840.83333333334,209480.5,24.59393595107898,362500.0,-28.000000000000004,57.54385964911715,8.98,-20.67,daily_close,NXT 미확인,2026-09-02 00:39 KST,,,32.61,21.95,46.72,5.0,3.02,10.85,29.94,10.88,33.23,75.51,2131 -> 4950 -> 6564,3336059.0,436010.0,452068.0,13.07,13.55,853151.48,331619.99,578563.78,1306217.73,-727653.95,0.64,25.1,1668.0,111079.06,OpenDART,4.92,5.0,False,5.0,OpenDART,,4.04,,,491875.0,,,88.46,,,Naver/FnGuide,,KRW,2026-09-01,2025.0,CFS,11011.0,OpenDART,0.15,75.51,2025.0,11011.0,2,1,1,1,,,,,,통신 및 방송 장비 제조업,통신 및 방송 장비 제조업,2026-09-01,4.77,15,0,12,20,15,10,3,5,80,A,1
000660.KS,000660,SK하이닉스,12367235,,"반도체,컴퓨터,통신기기 제조,도매",KOSPI,주권,KRX,1693000.0,1605950.0,1973800.0,1674741.6666666667,1290860.0,31.152874827634292,2919000.0,-42.00068516615279,65.50925925925819,8.04,-18.21,daily_close,NXT 미확인,2026-09-02 00:39 KST,,,116.89,8.72,50.56,5.0,4.57,44.15,45.95,46.76,101.16,,27182 -> 58955,971467.0,472063.0,429479.0,48.59,44.21,533731.26,247937.83,149237.66,554409.08,-405171.42,0.18,4.9,3000.0,20951.33,OpenDART,35.72,5.0,True,5.0,OpenDART,,4.0,,,3280417.0,,,93.76,,,Naver/FnGuide,,KRW,2026-09-02,2025.0,CFS,11011,OpenDART,0.04,,2025.0,11011,1,0,0,0,,,,,,반도체 제조업,반도체 제조업,2026-09-01,4.77,15,0,20,20,0,10,1,5,71,A,2
005935.KS,005935,삼성전자우,1526912,,,KOSPI,주권,KRX,190300.0,186145.0,192728.33333333334,176045.0,145545.0,30.749939881136417,235000.0,-19.02127659574468,54.59508644221325,6.91,-9.81,daily_close,NXT 미확인,2026-09-02 00:39 KST,,,32.61,21.95,46.8,4.0,2.62,10.85,29.94,10.88,33.23,75.51,2131 -> 4950 -> 6564,3336059.0,436010.0,452068.0,13.07,13.55,,,,,,,,,,,,,,,,,4.04,,,491875.0,,,158.47,,,Naver/FnGuide,,,2026-08-18,,,,,0.12,75.51,,,2,1,1,1,,,,,,,,2026-09-01,4.77,15,3,12,20,15,10,5,5,85,S,3
402340.KS,402340,SK스퀘어,1407629,,지주회사,KOSPI,주권,KRX,1067000.0,1052800.0,1269250.0,1043033.3333333334,791445.0,34.81669604331318,1970000.0,-45.837563451776646,59.651898734175894,4.1,-15.18,daily_close,NXT 미확인,2026-09-02 00:39 KST,,,143.06,4.22,46.29,4.0,4.15,37.82,9.01,77.76,124.39,,27346 -> 66468,104556.0,87974.0,88187.0,84.14,84.34,3872.02,3485.68,13107.18,25213.83,-12106.65,,,,,,,,,,,,4.0,,,1900000.0,,,78.07,,,Naver/FnGuide,,KRW,2026-08-18,2025.0,CFS,11011.0,OpenDART,0.03,,,,17,16,16,15,0.94,8.91,341.49,8.5,-52.94,기타 금융업,기타 금융업,2026-09-01,4.77,15,0,20,20,0,10,3,3,71,A,4
009150.KS,009150,삼성전기,1068119,,"수동소자 (MLCC, Inductor, Chip Resistor 등), 모듈(카메라모듈, 통신모듈), 반도체패키지 기판",KOSPI,주권,KRX,1430000.0,1361150.0,1564816.6666666667,1195987.5,832095.0,71.85537709035627,2270000.0,-37.00440528634361,60.63291139240399,21.08,-18.61,daily_close,NXT 미확인,2026-09-02 00:39 KST,,,3.96,23.43,37.93,72.0,10.56,7.7,48.98,9.91,24.26,29.21,5450 -> 8752 -> 9099,113145.0,9133.0,7310.0,8.07,6.46,14900.91,2437.67,27012.06,47985.51,-20973.45,0.16,25.2,2350.0,1776.79,OpenDART,3.82,5.0,True,5.0,OpenDART,,4.0,,,2325500.0,,,62.62,,,Naver/FnGuide,,KRW,2026-09-02,2025.0,CFS,11011,OpenDART,18.18,29.21,2025.0,11011,6,5,5,5,5.52,6.14,91.3,30.0,140.0,전자부품 제조업,전자부품 제조업,2026-09-01,4.77,0,0,6,0,15,2,3,5,31,D,5
373220.KS,373220,LG에너지솔루션,858780,,"2차전지 (소형,ESS,자동차전지)",KOSPI,주권,KRX,367000.0,357125.0,354633.3333333333,386783.3333333333,395640.0,-7.238904054190678,514000.0,-28.599221789883266,54.94071146244452,16.14,-11.35,daily_close,NXT 미확인,2026-09-02 00:39 KST,,,,80.86,5.53,-213.0,3.66,-5.19,129.0,-7.6,133.94,,-,236718.0,13461.0,808.0,5.69,0.34,44322.77,-65663.98,37793.07,378262.77,-340469.7,,,,,,,,,,,,3.95,,,509526.0,,,38.84,,,Naver/FnGuide,,KRW,2026-08-25,2025.0,CFS,11011.0,OpenDART,,,,,4,2,3,3,4.25,-3.15,-13.88,,,일차전지 및 이차전지 제조업,일차전지 및 이차전지 제조업,2026-09-01,4.77,0,0,0,0,0,0,5,5,10,D,6
005380.KS,005380,현대차,820054,,"자동차(승용차,버스,트럭,특장차),자동차부품,자동차전착도료 제조,차량정비사업",KOSPI,주권,KRX,400500.0,410525.0,463791.6666666667,513800.0,462790.0,-13.459668532163615,750000.0,-46.6,49.070631970255114,1.91,-42.79,daily_close,NXT 미확인,2026-09-02 00:39 KST,,,-23.26,5.89,24.37,11.0,0.86,8.41,188.95,6.29,-19.46,-9.97,43589 -> 46042 -> 35331,1862545.0,114679.0,103648.0,6.16,5.56,-59912.7,-170611.26,183605.66,2411966.12,-2228360.46,2.5,27.7,10000.0,26182.63,OpenDART,12.62,5.0,True,5.0,OpenDART,,4.0,,,704400.0,,,75.88,,,Naver/FnGuide,,KRW,2026-09-02,2025.0,CFS,11011,OpenDART,,-9.97,2025.0,11011,2,1,1,1,,,,,,자동차용 엔진 및 자동차 제조업,자동차용 엔진 및 자동차 제조업,2026-09-01,4.77,12,8,6,0,0,0,5,3,34,D,7
207940.KS,207940,삼성바이오로직스,703622,,바이오의약품,KOSPI,주권,KRX,1520000.0,1547550.0,1440433.3333333333,1474491.6666666667,1582265.0,-3.9351815277466167,1965000.0,-22.646310432569976,37.9403794037926,6.82,13.43,daily_close,NXT 미확인,2026-09-02 00:39 KST,,,74.57,82.79,13.1,38.0,8.41,19.44,48.44,30.31,56.59,48.49,12051 -> 15221 -> 26572,45570.0,20692.0,17844.0,45.41,39.16,22478.07,7727.33,1488.51,36096.31,-34607.8,,,,,,,,,,,,4.0,,,1997143.0,,,31.39,,,Naver/FnGuide,,KRW,2026-09-02,2025.0,CFS,11011,OpenDART,0.51,48.49,,,2,1,1,1,,,,,,기초 의약물질 제조업,기초 의약물질 제조업,2026-09-01,4.77,0,0,16,20,15,10,5,5,71,A,8
028260.KS,028260,삼성물산,633264,,"도소매, 건설, 남자용 정장 제조업 등",KOSPI,주권,KRX,390500.0,361725.0,392541.6666666667,364975.0,326752.5,19.509414618097797,535000.0,-27.009345794392527,62.994350282480895,18.69,-15.2,daily_close,NXT 미확인,2026-09-02 00:39 KST,,,15.35,12.4,31.0,22.0,0.57,6.02,50.5,-3.23,10.37,9.45,11824 -> 12280 -> 14165,407422.0,32927.0,39067.0,8.08,9.59,30237.41,11182.11,34582.18,290357.96,-255775.78,0.72,18.8,2800.0,4582.52,OpenDART,6.78,5.0,True,5.0,OpenDART,,4.0,,,503333.0,,,28.89,,,Naver/FnGuide,,KRW,2026-08-25,2025.0,CFS,11011.0,OpenDART,1.43,9.45,2025.0,11011.0,1,0,0,0,,,,,,기타 전문 도매업,기타 전문 도매업,2026-09-01,4.77,4,10,6,10,8,8,3,5,54,C,9
032830.KS,032830,삼성생명,619000,,"생명보험,부동산 임대",KOSPI,주권,KRX,309500.0,296225.0,343650.0,308629.1666666667,254794.5,21.4704399035301,497000.0,-37.726358148893354,54.73933649288736,7.65,-24.97,daily_close,NXT 미확인,2026-09-02 00:39 KST,,,9.3,9.99,23.21,19.0,0.68,4.96,440.89,9.92,3.23,10.22,9477 -> 10534 -> 11514,371383.0,25805.0,24515.0,6.95,6.6,52562.61,48930.1,45378.33,2858503.83,-2813125.5,,41.3,,9517.46,OpenDART,,0.0,False,0.0,OpenDART,,3.85,,,402538.0,,,30.06,,,Naver/FnGuide,,KRW,2026-09-01,2025.0,CFS,11011.0,OpenDART,2.04,10.22,2025.0,11011.0,3,2,2,2,,,,,,보험업,보험업,2026-09-01,4.77,4,10,0,0,8,5,5,5,37,D,10
